Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Sean Day,"$775,000","$775,000",1,0.9%,26,75in,218lbs,D,L,2025,Standard,UFA-Group6,UFA-Group6,2023,2023-24,Patrick Sullivan
Valtteri Puustinen,"$775,000","$775,000",1,0.9%,24,69in,183lbs,RW,R,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Markus Lehto
Gabriel Fortier,"$775,000","$775,000",1,0.9%,24,70in,183lbs,LW,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Erik Lupien
Carson Meyer,"$775,000","$775,000",1,0.9%,26,71in,183lbs,RW,R,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,Allain Roy
Scott Perunovich,"$775,000","$775,000",1,0.9%,25,70in,174lbs,D,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Ian Pulver
Ryan Mcgregor,"$775,000","$775,000",1,0.9%,25,72in,194lbs,C,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,No Agent
Shane Bowers,"$775,000","$775,000",1,0.9%,24,74in,185lbs,C,L,2027,Standard,RFA +arb,RFA +arb,2023,2023-24,Judd Moldaver
Nick Swaney,"$775,000","$775,000",1,0.9%,26,71in,190lbs,RW,R,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,Ian Pulver
Marcus Bjork,"$775,000","$775,000",1,0.9%,26,75in,203lbs,D,R,2025,Standard,RFA +arb,RFA +arb,2023,2023-24,Lewis Gross
Jacob Peterson,"$775,000","$775,000",1,0.9%,24,73in,181lbs,C,L,2027,Standard,RFA +arb,RFA +arb,2023,2023-24,Craig Oster
Taylor Ward,"$775,000","$775,000",1,0.9%,26,74in,194lbs,RW,R,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Justin Duberman
Cameron Crotty,"$775,000","$775,000",1,0.9%,24,75in,212lbs,D,R,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Murray Koontz
Jaret Anderson-Dolan,"$775,000","$775,000",1,0.9%,24,71in,201lbs,C,L,2027,Standard,UFA no QO,RFA +arb,2023,2023-24,J.P. Barry
Travis Barron,"$775,000","$775,000",1,0.9%,25,73in,205lbs,LW,L,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Darren Ferris
Lucas Carlsson,"$775,000","$775,000",1,0.9%,26,72in,190lbs,D,L,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Peter Wallen
Justin Richards,"$775,000","$775,000",1,0.9%,26,71in,190lbs,C,R,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Ben Hankinson
Alexander True,"$775,000","$775,000",1,0.9%,26,77in,201lbs,C,L,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Claude Lemieux
Garrett Pilon,"$775,000","$775,000",1,0.9%,26,71in,187lbs,C,R,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,David Kaye
Riley Tufte,"$775,000","$775,000",1,0.9%,26,78in,231lbs,LW,L,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Ben Hankinson
Mikhail Maltsev,"$775,000","$775,000",1,0.9%,26,75in,198lbs,C,L,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Paul Theofanous
Marian Studenic,"$775,000","$775,000",1,0.9%,25,73in,181lbs,LW,L,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Allan Walsh
Matthew Phillips,"$775,000","$775,000",1,0.9%,26,67in,141lbs,C,R,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Allain Roy
Alex Limoges,"$775,000","$775,000",1,0.9%,26,73in,201lbs,C,L,2025,Standard,UFA no QO +arb,RFA +arb,2023,2023-24,Lewis Gross
Mitchell Chaffee,"$775,000","$775,000",1,0.9%,26,73in,201lbs,RW,R,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Donald Meehan
Brady Lyle,"$775,000","$775,000",1,0.9%,24,75in,216lbs,D,R,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Ian Pulver
Lias Andersson,"$775,000","$775,000",1,0.9%,25,71in,185lbs,C,L,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Jarrett Bousquet
John Leonard,"$775,000","$775,000",1,0.9%,25,71in,196lbs,LW,L,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Matt Keator
Jasper Weatherby,"$775,000","$775,000",1,0.9%,26,76in,223lbs,C,L,2025,Standard,UFA no QO,UFA-Group6,2023,2023-24,Pat Brisson
Maxime Lajoie,"$775,000","$775,000",1,0.9%,26,73in,181lbs,D,L,2025,Standard,UFA-Group6 +arb,UFA-Group6,2023,2023-24,Craig Oster
Riley Sutter,"$775,000","$775,000",1,0.9%,24,76in,207lbs,RW,R,2027,Standard,RFA,RFA +arb,2023,2023-24,J.P. Barry
Rasmus Asplund,"$775,000","$775,000",1,0.9%,26,71in,190lbs,C,L,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Peter Wallen
Kale Clague,"$775,000","$775,000",1,0.9%,25,72in,187lbs,D,L,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Judd Moldaver
Hugh McGing,"$775,000","$775,000",1,0.9%,25,68in,176lbs,LW,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Richard Evans
Ben Jones,"$775,000","$775,000",1,0.9%,25,72in,187lbs,C,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Jason Harshaw
Emilio Pettersen,"$775,000","$775,000",1,0.9%,24,70in,170lbs,C,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Shawn Hunwick
Samuel Fagemo,"$775,000","$775,000",1,0.9%,24,72in,201lbs,LW,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Craig Oster
Tyler Madden,"$775,000","$775,000",1,0.9%,24,71in,170lbs,C,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Pete Rutili
Nathan Smith,"$775,000","$775,000",1,0.9%,25,73in,198lbs,C,R,2026,Standard,RFA,UFA-Group6,2023,2023-24,Richard Evans
Kole Lind,"$775,000","$775,000",1,0.9%,25,73in,179lbs,RW,R,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Gerry Johannson
Ian Mitchell,"$775,000","$775,000",1,0.9%,25,71in,174lbs,D,R,2026,Standard,RFA +arb,RFA +arb,2023,2023-24,Gregory Landry
Jesper Boqvist,"$775,000","$775,000",1,0.9%,25,72in,181lbs,C,L,2026,Standard,UFA no QO,RFA +arb,2023,2023-24,Peter Wallen
Ty Emberson,"$775,000","$775,000",1,0.9%,23,73in,194lbs,D,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Daniel Plante
Jonathan Gruden,"$775,000","$775,000",1,0.9%,23,72in,172lbs,LW,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Cameron Stewart
Riley Damiani,"$775,000","$775,000",1,0.9%,24,70in,170lbs,C,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Cameron Stewart
Ty Smith,"$775,000","$775,000",1,0.9%,24,71in,179lbs,D,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Gerry Johannson
Benoit-Olivier Groulx,"$775,000","$775,000",1,0.9%,24,74in,201lbs,C,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Pat Brisson
Alec Regula,"$775,000","$775,000",1,0.9%,23,76in,207lbs,D,R,2028,Standard,RFA,RFA +arb,2023,2023-24,Scott Bartlett
Ben Meyers,"$775,000","$775,000",1,0.9%,25,71in,194lbs,C,L,2026,Standard,RFA,UFA-Group6,2023,2023-24,Daniel Plante
Jesse Ylonen,"$775,000","$775,000",1,0.9%,24,73in,190lbs,RW,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Ian Pulver
Logan Brown,"$775,000","$775,000",1,0.9%,26,78in,227lbs,C,L,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Judd Moldaver
Mac Hollowell,"$775,000","$775,000",1,0.9%,25,69in,187lbs,D,R,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,David Gagner
Brett Murray,"$775,000","$775,000",1,0.9%,25,77in,227lbs,LW,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,David Gagner
Declan Chisholm,"$775,000","$775,000",1,0.9%,24,73in,190lbs,D,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Richard Evans
Egor Sokolov,"$775,000","$775,000",1,0.9%,23,75in,223lbs,LW,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Andy Scott
Jan Jenik,"$775,000","$775,000",1,0.9%,23,73in,192lbs,C,L,2028,Standard,RFA,RFA +arb,2023,2023-24,Allan Walsh
Noah Gregor,"$775,000","$775,000",1,0.9%,25,72in,190lbs,C,L,2026,Standard,UFA no QO,RFA +arb,2023,2023-24,Craig Oster
Reilly Walsh,"$775,000","$775,000",1,0.9%,24,72in,185lbs,D,R,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Matt Keator
Linus Weissbach,"$775,000","$775,000",1,0.9%,25,69in,174lbs,LW,L,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,Matt Keator
Marc McLaughlin,"$775,000","$775,000",1,0.9%,24,72in,203lbs,C,R,2027,Standard,RFA +arb,RFA +arb,2023,2023-24,Matt Keator
Scott Reedy,"$775,000","$775,000",1,0.9%,25,74in,214lbs,C,R,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Pat Brisson
Nicholas Caamano,"$775,000","$775,000",1,0.9%,25,75in,205lbs,LW,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Robert Hooper
Dmitri Samorukov,"$775,000","$775,000",1,0.9%,24,75in,187lbs,D,L,2026,Standard,UFA no QO,UFA-Group6,2023,2023-24,Patrick Morris
Shane Pinto,"$775,000","$775,000",1,0.9%,23,74in,192lbs,C,R,2028,Standard,RFA,RFA +arb,2023,2023-24,Lewis Gross
Mason Shaw,"$775,000","$775,000",1,0.9%,25,70in,183lbs,C,L,2026,Standard,UFA no QO,RFA +arb,2023,2023-24,Kevin Epp
Akil Thomas,"$775,000","$775,000",1,0.9%,24,71in,185lbs,C,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Eustace King
Jett Woo,"$775,000","$775,000",1,0.9%,23,72in,205lbs,D,R,2028,Standard,RFA,RFA +arb,2023,2023-24,Eustace King
Max Comtois,"$775,000","$775,000",1,0.9%,25,74in,209lbs,LW,L,2026,Standard,UFA no QO,RFA +arb,2023,2023-24,Allain Roy
Joey Abate,"$775,000","$775,000",1,0.9%,25,74in,187lbs,LW,L,2026,Standard,No Signing Status,RFA +arb,2023,2023-24,No Agent
Adam Ruzicka,"$762,500","$750,000",2,0.9%,24,76in,216lbs,C,L,2026,Standard,RFA,RFA +arb,2022,2023-24,Craig Oster
Parker Kelly,"$762,500","$775,000",2,0.9%,24,72in,187lbs,LW,L,2026,Standard,RFA,RFA +arb,2022,2023-24,Allain Roy
Markus Niemelainen,"$762,500","$775,000",2,0.9%,25,78in,190lbs,D,L,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,Mark Gandler & Todd Diamond
Liam Foudy,"$762,500","$775,000",2,0.9%,24,74in,187lbs,C,L,2027,Standard,RFA,RFA +arb,2022,2023-24,Thane Campbell
Beck Malenstyn,"$762,500","$775,000",2,0.9%,26,74in,194lbs,LW,L,2025,Standard,RFA +arb,RFA +arb,2022,2023-24,J.P. Barry
Matt Kiersted,"$762,500","$775,000",2,0.9%,26,72in,181lbs,D,L,2025,Standard,RFA,UFA-Group6,2022,2023-24,Neil Sheehy
Brandon Biro,"$762,500","$775,000",2,0.9%,26,71in,170lbs,LW,L,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,Allain Roy
Lucas Johansen,"$762,500","$775,000",2,0.9%,26,74in,183lbs,D,L,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,Kurt Overhardt
William Bitten,"$762,500","$775,000",2,0.9%,25,71in,192lbs,RW,R,2026,Standard,RFA +arb,UFA-Group6,2022,2023-24,Serge Payer
Kyle Capobianco,"$762,500","$775,000",2,0.9%,26,73in,196lbs,D,L,2025,Standard,UFA no QO,UFA-Group6,2022,2023-24,Paul Capizzano
Jack Studnicka,"$762,500","$775,000",2,0.9%,25,74in,194lbs,C,R,2026,Standard,RFA,RFA +arb,2022,2023-24,Darren Ferris
Tyce Thompson,"$762,500","$775,000",2,0.9%,24,73in,174lbs,RW,R,2027,Standard,RFA +arb,RFA +arb,2022,2023-24,Jerry Buckley
Arnaud Durandeau,"$762,500","$775,000",2,0.9%,25,72in,194lbs,LW,L,2026,Standard,RFA,UFA-Group6,2022,2023-24,Paul Corbeil
Dennis Cholowski,"$762,500","$775,000",2,0.9%,26,74in,209lbs,D,L,2025,Standard,UFA no QO,RFA +arb,2022,2023-24,Allain Roy
Taylor Raddysh,"$758,333","$775,000",3,0.9%,26,75in,198lbs,RW,R,2025,Standard,RFA,RFA +arb,2021,2023-24,David Gagner
Boris Katchouk,"$758,333","$775,000",3,0.9%,25,74in,205lbs,LW,L,2025,Standard,RFA,RFA +arb,2021,2023-24,Robert Hooper
