Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Linus Karlsson,"$883,750","$925,000",2,1.1%,24,73in,179lbs,C,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,No Agent
Ville Petman,"$883,750","$925,000",2,1.1%,24,70in,181lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Allain Roy
Adam Ginning,"$883,750","$925,000",2,1.1%,24,76in,205lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Patrik Aronsson
Filip Johansson,"$883,750","$925,000",2,1.1%,24,73in,176lbs,D,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Craig Oster
Alex Beaucage,"$878,333","$925,000",3,1.1%,22,73in,192lbs,RW,R,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Robert Sauve
Raphael Lavoie,"$874,125","$874,125",1,1%,23,76in,216lbs,C,R,2028,Standard,RFA,RFA +arb,2023,2023-24,Philippe Lecavalier
Oliver Wahlstrom,"$874,125","$874,125",1,1%,23,74in,205lbs,RW,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Pat Brisson
Yan Kuznetsov,"$870,000","$825,000",3,1%,22,76in,209lbs,D,L,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Mark Gandler & Todd Diamond
Karl Henriksson,"$870,000","$925,000",3,1%,23,69in,176lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Craig Oster
Jason Polin,"$870,000","$870,000",1,1%,24,72in,198lbs,RW,R,2026,Entry Level,No Signing Status,RFA +arb,2023,2023-24,Richard Evans
Waltteri Merela,"$870,000","$870,000",1,1%,25,74in,196lbs,RW,R,2026,Entry Level,No Signing Status,RFA +arb,2023,2023-24,Mark Gandler & Todd Diamond
Hardy Haman Aktell,"$870,000","$870,000",1,1%,25,76in,198lbs,D,L,2026,Entry Level,No Signing Status,RFA +arb,2023,2023-24,Craig Oster
Brayden Tracey,"$863,334","$832,500",3,1%,22,72in,176lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Michael Kaye
Thomas Harley,"$863,334","$832,500",3,1%,22,75in,205lbs,D,L,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Andy Scott
Moritz Seider,"$863,334","$832,500",3,1%,23,76in,205lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Claude Lemieux
Philip Broberg,"$863,334","$832,500",3,1%,22,75in,198lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Darren Ferris
Philip Tomasino,"$863,334","$832,500",3,1%,22,73in,198lbs,C,R,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Wade Arnott
Nolan Foote,"$863,334","$832,500",3,1%,23,75in,201lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Kurt Overhardt
