Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Philip Broberg,EDM,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Darren Ferris
Victor Soderstrom,ARI,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Darren Ferris
Simon Holmstrom,NYI,"$863,334","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,J.P. Barry
Pavel Dorofeyev,VGK,"$825,000","$825,000",1.0,1%,2028.0,Standard,RFA +arb,2023-24,Rick Komarow
Jackson LaCombe,ANA,"$925,000","$925,000",2.0,1.1%,2028.0,Entry Level,RFA,2023-24,Pat Brisson
Jordan Spence,L.A,"$820,000","$775,000",3.0,1%,2028.0,Entry Level,RFA,2023-24,Peter MacTavish
Vladislav Kolyachonok,ARI,"$789,167","$775,000",3.0,0.9%,2028.0,Entry Level,RFA,2023-24,Daniel Milstein
Vasily Podkolzin,VAN,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Craig Oster
Joel Kiviranta,COL,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Mika Rautakallio
Cole Schwindt,CGY,"$855,833","$832,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Patrick Morris
Maxence Guenette,OTT,"$813,333","$830,000",3.0,1%,2028.0,Entry Level,RFA,2023-24,Dom Deblois
Tyler Angle,CBJ,"$850,833","$867,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Patrick Morris
Santeri Hatakka,N.J,"$850,833","$867,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,J.P. Barry
Valtteri Puustinen,PIT,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Markus Lehto
Valtteri Puustinen,PIT,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Markus Lehto
Juuso Parssinen,NSH,"$850,833","$867,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Jerry Buckley
Marc Del Gaizo,NSH,"$850,833","$867,500",3.0,1%,2027.0,Entry Level,RFA +arb,2023-24,Michael Curran
Louis Crevier,CHI,"$850,833","$867,500",3.0,1%,2028.0,Entry Level,RFA,2023-24,Paul Corbeil
Brandon Biro,BUF,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Brandon Biro,BUF,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Mitchell Chaffee,T.B,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Donald Meehan
Mitchell Chaffee,T.B,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Donald Meehan
Dylan Holloway,EDM,"$925,000","$925,000",3.0,1.1%,2029.0,Entry Level,RFA,2023-24,Blake Robson
Lucas Raymond,DET,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,J.P. Barry
Seth Jarvis,CAR,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Gerry Johannson
Dawson Mercer,N.J,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,No Agent
Justin Barron,MTL,"$925,000","$925,000",3.0,1.1%,2029.0,Entry Level,RFA,2023-24,Wade Arnott
Anton Lundell,FLA,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Markus Lehto
Quinton Byfield,L.A,"$894,167","$832,500",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,David Gagner
Thomas Bordeleau,S.J,"$916,667","$925,000",3.0,1.1%,2029.0,Entry Level,RFA,2023-24,Pat Brisson
Cole Perfetti,WPG,"$894,167","$832,500",3.0,1.1%,2029.0,Entry Level,RFA,2023-24,Cameron Stewart
Yan Kuznetsov,CGY,"$870,000","$825,000",3.0,1%,2029.0,Entry Level,RFA,2023-24,Mark Gandler & Todd Diamond
Adam Raska,MIN,"$848,333","$865,000",3.0,1%,2029.0,Entry Level,RFA,2023-24,Allan Walsh
Gage Goncalves,T.B,"$820,000","$775,000",3.0,1%,2028.0,Entry Level,RFA,2023-24,Allain Roy
Alexander Barabanov,S.J,"$2,500,000","$2,500,000",2.0,3%,2021.0,Standard,UFA,2023-24,Daniel Milstein
Radim Zohorna,PIT,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Craig Oster
Ilya Solovyov,CGY,"$828,333","$845,000",3.0,1%,2028.0,Entry Level,RFA +arb,2023-24,Daniel Milstein
Yegor Chinakhov,CBJ,"$800,000","$800,000",1.0,1%,2028.0,Standard,RFA +arb,2023-24,Shumi Babaev
Alex Steeves,TOR,"$834,167","$852,500",3.0,1%,2027.0,Entry Level,RFA +arb,2023-24,Allain Roy
Kent Johnson,CBJ,"$925,000","$925,000",3.0,1.1%,2029.0,Entry Level,RFA,2023-24,Pat Brisson
Cole Sillinger,CBJ,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA,2023-24,Craig Oster
Arber Xhekaj,MTL,"$828,333","$835,000",3.0,1%,2028.0,Entry Level,RFA,2023-24,Viktor Saljanin
Marc McLaughlin,BOS,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Matt Keator
Brian Halonen,N.J,"$925,000","$925,000",2.0,1.1%,2026.0,Entry Level,RFA +arb,2023-24,Jeff Helperl
Nick Blankenburg,CBJ,"$825,000","$850,000",2.0,1%,2025.0,Standard,UFA-Group6,2023-24,Blake Robson
Nick Blankenburg,CBJ,"$825,000","$850,000",2.0,1%,2025.0,Standard,UFA-Group6,2023-24,Blake Robson
Ben Meyers,COL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Daniel Plante
Ben Meyers,COL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Daniel Plante
Milos Kelemen,ARI,"$817,500","$830,000",2.0,1%,2027.0,Entry Level,RFA +arb,2023-24,J.P. Barry
Adam Klapka,CGY,"$832,500","$845,000",2.0,1%,2028.0,Entry Level,RFA +arb,2023-24,Gerry Johannson
Filip Roos,CHI,"$925,000","$925,000",2.0,1.1%,2026.0,Entry Level,RFA +arb,2023-24,Patrik Aronsson
Pavol Regenda,ANA,"$855,000","$867,500",2.0,1%,2027.0,Entry Level,RFA +arb,2023-24,J.P. Barry
Jason Polin,COL,"$870,000","$870,000",1.0,1%,2026.0,Entry Level,RFA +arb,2023-24,Richard Evans
Cole McWard,VAN,"$922,500","$895,000",2.0,1.1%,2028.0,Entry Level,RFA,2023-24,Allain Roy
Jiri Smejkal,OTT,"$870,000","$870,000",1.0,1%,2024.0,Entry Level,UFA,2023-24,Craig Oster
Nikolas Matinpalo,OTT,"$885,000","$885,000",1.0,1.1%,2026.0,Entry Level,RFA +arb,2023-24,Murray Koontz
Waltteri Merela,T.B,"$870,000","$870,000",1.0,1%,2026.0,Entry Level,RFA +arb,2023-24,Mark Gandler & Todd Diamond
Patrik Koch,ARI,"$847,500","$847,500",1.0,1%,2024.0,Entry Level,UFA,2023-24,Serge Payer
