Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Dennis Gilbert,CGY,"$762,500","$775,000",2.0,0.9%,2024.0,Standard,UFA,2023-24,Scott Bartlett
Yakov Trenin,NSH,"$1,700,000","$1,700,000",2.0,2%,2024.0,Standard,UFA,2023-24,Shumi Babaev
Austin Czarnik,DET,"$762,500","$775,000",2.0,0.9%,2020.0,Standard,UFA,2023-24,Brian Bartlett
Kevin Stenlund,FLA,"$1,000,000","$1,000,000",1.0,1.2%,2024.0,Standard,UFA,2023-24,Jarrett Bousquet
Alexandre Carrier,NSH,"$2,500,000","$2,500,000",1.0,3%,2024.0,Standard,UFA,2023-24,Philippe Lecavalier
Ryan Shea,PIT,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Matt Keator
Adam Gaudette,STL,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Matt Keator
Brett Seney,CHI,"$775,000","$775,000",1.0,0.9%,2023.0,Standard,UFA,2023-24,Pete Rutili
Steven Lorentz,FLA,"$1,050,000","$1,150,000",2.0,1.3%,2023.0,Standard,UFA,2023-24,Robert Hooper
Matt Roy,L.A,"$3,150,000","$4,200,000",3.0,3.8%,2022.0,Standard,UFA,2023-24,Richard Evans
Samuel Laberge,N.J,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,No Agent
Jalen Chatfield,CAR,"$762,500","$775,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Darren Ferris
Philippe Myers,T.B,"$1,400,000","$1,400,000",1.0,1.7%,2024.0,Standard,UFA,2023-24,Allain Roy
Ryan Lomberg,FLA,"$800,000","$825,000",2.0,1%,2022.0,Standard,UFA,2023-24,Brian Bartlett
Andrew Poturalski,SEA,"$762,500","$775,000",2.0,0.9%,2021.0,Standard,UFA,2023-24,Brian Bartlett
Joey Anderson,CHI,"$800,000","$800,000",1.0,1%,2025.0,Standard,RFA +arb,2023-24,Jay Grossman
Luke Kunin,S.J,"$2,750,000","$3,000,000",2.0,3.3%,2025.0,Standard,RFA +arb,2023-24,Pete Rutili
Lucas Johansen,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Kurt Overhardt
