Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Patrick Kane,CHI,R,78,1401.45,17,44,31,13,61,78.21,199,8.54,14.09,358,259,161,47,4,9,16,8,8,0,0,15,41,39,9,57,24,4,4,50.00
Robert Bortuzzo,STL,D,73,844.36666666667,1,5,2,3,6,22.22,46,2.17,2.41,86,67,32,5,1,3,34,14,12,2,0,7,14,7,126,83,68,0,0,-
Evgenii Dadonov,VGK,R,78,1046.3166666667,15,20,16,4,35,61.40,148,10.14,14.18,257,194,151,69,9,22,18,9,9,0,0,11,26,16,60,123,22,1,4,20.00
Mikael Backlund,CGY,C,82,1119.3,12,20,15,5,32,59.26,166,7.23,15.35,282,227,155,55,15,17,26,13,13,0,0,11,38,45,60,52,20,515,484,51.55
Ryan McDonagh,T.B,D,71,1331.45,4,21,8,13,25,40.98,82,4.88,4.99,175,128,52,12,2,6,14,7,7,0,0,6,24,21,85,87,51,0,0,-
Max Pacioretty,VGK,L,39,573.3,15,10,4,6,25,73.53,109,13.76,10.5,189,151,115,39,9,8,31,10,8,1,1,7,21,15,30,54,21,2,6,25.00
Jakub Voracek,CBJ,R,79,1120.1833333333,4,33,28,5,37,67.27,108,3.70,8.54,187,141,102,39,7,9,44,14,12,0,2,25,36,41,27,54,26,4,23,14.81
Jake Muzzin,TOR,D,47,838.35,3,10,4,6,13,33.33,69,4.35,2.57,158,96,46,3,3,4,16,8,8,0,0,5,37,9,101,116,49,0,0,-
Alec Martinez,VGK,D,26,463.05,3,5,1,4,8,34.78,30,10.00,1.33,67,43,16,2,1,1,2,1,1,0,0,2,17,6,24,40,59,0,0,-
Carl Hagelin,WSH,L,53,651.96666666667,3,10,4,6,13,50.00,66,4.55,7.15,109,90,56,29,2,6,18,8,8,0,0,5,14,9,30,43,10,2,8,20.00
Lars Eller,WSH,C,72,957.65,13,16,14,2,29,61.70,99,13.13,8.9,187,148,109,43,6,7,40,20,20,0,0,14,37,29,90,81,28,414,399,50.92
Wayne Simmonds,TOR,R,72,652.13333333333,5,10,4,6,15,65.22,77,6.49,8.9,130,102,96,54,5,3,96,23,13,6,4,22,18,15,148,70,11,2,3,40.00
Nick Holden,OTT,D,76,1258.75,5,14,9,5,19,35.85,68,7.35,3.41,159,110,49,8,2,10,12,6,6,0,0,3,41,13,105,136,86,0,0,-
Jay Beagle,ARI,C,33,381.56666666667,1,1,1,0,2,40.00,21,4.76,2.3,37,26,22,13,1,4,27,8,6,1,1,1,6,7,50,26,13,209,153,57.73
Drew Doughty,L.A,D,39,801.15,3,15,7,8,18,40.91,69,4.35,3.04,136,92,45,5,2,9,30,15,15,0,0,6,21,5,57,75,7,0,0,-
Steven Stamkos,T.B,C,81,1158.2833333333,26,44,31,13,70,79.55,137,18.98,13.48,238,188,147,61,16,14,30,15,15,0,0,10,19,28,87,69,15,406,410,49.75
