"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"771","Ryan Poehling","MTL","C","57","599.81666666667","516","601","46.20","375","466","44.59","288","337","46.08","19","34","35.85","24.35","28.67","45.93","252","289","46.58","105","109","49.07","7","19","26.92","147","180","44.95","7","11","38.89","221","274","44.65","5","4","55.56","6.60","89.91","0.965","99","144","79","508","55.62","157","198","169","48.16"
"421","Ryan Pulock","NYI","D","56","1011.8833333333","881","1040","45.86","670","774","46.40","491","569","46.32","48","49","49.48","44.86","48.27","48.17","444","547","44.80","194","188","50.79","28","22","56.00","250","359","41.05","8","17","32.00","399","451","46.94","8","7","53.33","9.78","91.39","1.012","114","214","175","731","39.45","262","324","355","42.46"
"41","Ryan Reaves","NYR","R","69","728.41666666667","435","695","38.50","328","519","38.72","244","386","38.73","18","31","36.73","19.28","31.08","38.29","220","332","39.86","93","131","41.52","10","21","32.26","127","201","38.72","5","4","55.56","189","328","36.56","3","6","33.33","7.38","91.97","0.993","86","151","72","639","54.43","165","233","193","46.09"
"263","Ryan Strome","NYR","C","74","1109.3666666667","1049","1049","50.00","786","809","49.28","569","572","49.87","65","50","56.52","49.48","52.16","48.68","519","560","48.10","205","225","47.67","34","25","57.63","314","335","48.38","19","12","61.29","495","438","53.05","10","11","47.62","11.42","91.26","1.027","151","163","110","888","57.85","338","291","281","54.60"
"5","Ryan Suter","DAL","D","82","1633.7166666667","1600","1538","50.99","1157","1176","49.59","814","835","49.36","67","69","49.26","78.83","74.37","51.45","841","738","53.26","352","326","51.92","42","36","53.85","489","412","54.27","12","20","37.50","648","676","48.94","7","11","38.89","8.23","91.74","1.000","251","317","259","999","49.22","568","455","555","50.58"
"443","Sam Bennett","FLA","C","71","989.08333333333","1115","831","57.30","860","650","56.95","660","489","57.44","69","42","62.16","61.22","47.21","56.46","617","476","56.45","256","232","52.46","47","23","67.14","361","244","59.67","13","13","50.00","450","307","59.45","5","4","55.56","10.45","91.41","1.019","194","247","60","720","76.38","429","349","181","70.33"
"213","Sam Carrick","ANA","C","64","669.33333333333","576","669","46.27","433","506","46.11","314","368","46.04","21","34","38.18","24.24","30.18","44.54","262","293","47.21","113","131","46.31","16","19","45.71","149","162","47.91","1","5","16.67","253","329","43.47","3","6","33.33","6.69","90.76","0.974","120","146","127","533","48.58","178","200","222","44.50"
"71","Sam Gagner","DET","C","81","856.23333333333","705","819","46.26","547","627","46.59","406","466","46.56","41","45","47.67","36.9","41.46","47.09","317","429","42.49","135","197","40.66","16","25","39.02","182","232","43.96","11","11","50.00","338","353","48.91","11","8","57.89","10.10","90.34","1.004","115","168","161","649","41.67","208","228","298","41.11"
"482","Sam Lafferty","CHI, PIT","C, R","56","648.73333333333","509","655","43.73","383","476","44.59","288","356","44.72","21","37","36.21","24.84","26.37","48.51","260","297","46.68","106","93","53.27","15","20","42.86","154","204","43.02","4","8","33.33","212","337","38.62","2","9","18.18","7.29","89.61","0.969","49","164","159","515","23.56","82","228","282","22.53"
"441","Sam Reinhart","FLA","C","78","1072.5833333333","1179","868","57.60","901","659","57.76","681","509","57.23","77","48","61.60","66.23","41.2","61.65","632","420","60.08","260","179","59.23","40","23","63.49","372","241","60.69","23","15","60.53","482","392","55.15","12","7","63.16","11.31","90.57","1.019","148","217","128","820","53.62","368","337","277","57.05"
"637","Sam Steel","ANA","C","68","769.86666666667","648","761","45.99","487","571","46.03","361","408","46.94","26","42","38.24","26.07","35.42","42.40","297","358","45.34","124","150","45.26","15","24","38.46","173","208","45.41","5","11","31.25","304","355","46.13","5","6","45.45","7.20","89.71","0.969","123","154","125","613","49.60","192","217","225","46.04"
"599","Sami Niku","MTL","D","13","167.6","141","162","46.53","108","115","48.43","87","85","50.58","9","6","60.00","7.11","6.45","52.44","74","79","48.37","39","27","59.09","6","4","60.00","35","52","40.23","2","0","100.00","63","71","47.01","1","2","33.33","10.34","92.94","1.033","20","35","20","125","50.00","53","56","48","52.48"
"495","Sammy Blais","NYR","L","14","171.85","143","173","45.25","107","130","45.15","82","98","45.56","8","5","61.54","6.41","8.76","42.25","70","99","41.42","30","41","42.25","4","3","57.14","40","58","40.82","3","2","60.00","62","68","47.69","1","0","100.00","9.76","94.90","1.047","20","23","20","141","50.00","36","40","43","45.57"
"845","Sampo Ranta","COL","L","10","91.633333333333","82","103","44.32","54","70","43.55","44","56","44.00","1","5","16.67","2.83","4.07","40.97","40","43","48.19","15","15","50.00","0","3","0.00","25","28","47.17","0","2","0.00","33","53","38.37","1","0","100.00","2.27","91.07","0.933","11","18","15","90","42.31","18","23","26","40.91"
"891","Samuel Fagemo","L.A","L","4","48.05","50","43","53.76","36","28","56.25","29","22","56.86","1","2","33.33","2.08","2.17","49.01","18","16","52.94","6","6","50.00","0","0","-","12","10","54.55","0","2","0.00","33","28","54.10","1","0","100.00","3.45","90.91","0.944","7","7","7","42","50.00","10","10","12","45.45"
"663","Samuel Girard","COL","D","67","1282.6333333333","1321","1234","51.70","949","939","50.26","711","699","50.43","62","64","49.21","52.36","55.88","48.37","641","581","52.45","227","251","47.49","31","30","50.82","414","330","55.65","20","22","47.62","593","567","51.12","10","10","50.00","8.72","90.84","0.996","175","249","179","968","49.44","444","412","409","52.05"
"944","Santeri Hatakka","S.J","D","9","110.68333333333","92","138","40.00","75","103","42.13","47","71","39.83","4","9","30.77","4.37","6.7","39.43","47","77","37.90","15","28","34.88","2","5","28.57","32","49","39.51","1","3","25.00","46","78","37.10","1","1","50.00","8.51","87.32","0.958","15","20","21","117","41.67","19","29","41","31.67"
