"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"591","Troy Terry","ANA","C, R","75","1367.7333333333","18.236444444444","60.71","50.89","54.40","45.8","39.26","53.84","32.64","28.38","53.49","3.9","3.51","52.66","3.22","2.71","54.32","31.28","25.93","54.68","11.93","10.66","52.82","2.02","1.84","52.27","25.79","20.35","55.89","1.4","1.35","51.06","38.53","31.43","55.07","1.08","0.76","58.62","11.96","87.64","0.996","12.55","12.15","9.52","39.79","56.86","21.23","16.23","17.37","55.00"
"688","Lucas Carlsson","FLA","D","40","508.45","12.71125","63.96","50.86","55.70","47.67","39.41","54.74","36.58","30.92","54.20","3.07","2.6","54.17","3.29","2.67","55.21","36.82","26.55","58.10","14.51","11.8","55.16","1.89","1.3","59.26","29.74","19.67","60.19","1.42","0.94","60.00","34.77","30.85","52.99","0.17","0.85","16.67","8.39","91.60","1.000","12.04","15.22","5.19","53.93","69.86","22.89","20.06","13.57","62.78"
"847","Ty Dellandrea","DAL","C","1","10.616666666667","10.616666666667","28.26","50.86","35.71","28.26","33.91","45.45","11.3","28.26","28.57","0","5.65","0.00","1.64","1.73","48.76","5.65","28.26","16.67","5.65","11.3","33.33","0","5.65","0.00","0","22.61","0.00","0","0","-","32.65","24.49","57.14","0","0","-","0.00","80.00","0.800","0","16.95","5.65","45.21","0.00","11.3","28.26","16.95","40.00"
"447","Nikolaj Ehlers","WPG","L","62","1120.2666666667","18.068817204301","70.86","50.83","58.23","54.52","39.26","58.14","39.69","29.24","57.58","4.23","2.46","63.20","3.92","3.1","55.86","40.28","27.53","59.40","15.42","12.75","54.75","2.09","1.66","55.71","33.13","19.71","62.70","1.71","0.21","88.89","42.47","29.32","59.16","1.16","0.46","71.43","10.66","91.58","1.022","12.05","10.28","5.84","43.06","67.37","25.39","16.66","12","67.91"
"214","Brendan Gallagher","MTL","R","56","841.03333333333","15.018452380952","66.42","50.79","56.66","48.08","37.88","55.93","35.88","28.25","55.95","3.21","3.07","51.14","3.53","3.01","54.01","34.17","26.82","56.02","14.91","12.13","55.15","1.64","1.78","47.92","25.68","19.59","56.72","1.24","0.86","59.09","40.81","28.54","58.84","0.82","0.62","57.14","8.95","89.14","0.981","12.13","13.06","7.85","48.08","60.71","23.04","18.69","16.12","58.83"
"696","Tanner Laczynski","PHI","C","1","9.45","9.45","31.75","50.79","38.46","25.4","44.44","36.36","19.05","38.1","33.33","0","6.35","0.00","0.94","3.21","22.56","12.7","19.05","40.00","12.7","12.7","50.00","0","6.35","0.00","0","8.47","0.00","0","0","-","27.51","45.86","37.50","0","0","-","0.00","83.33","0.833","6.35","12.7","6.35","76.19","50.00","12.7","12.7","6.35","66.67"
"622","Charlie McAvoy","BOS","D","78","1923.4833333333","24.660042735043","66.54","50.78","56.71","53.47","37.78","58.60","40.71","27.95","59.29","3.96","2.4","62.25","3.8","2.54","59.93","33.56","24.33","57.97","13.51","8.95","60.14","2.06","1.31","61.11","26.74","20.5","56.60","1.79","0.83","68.25","44.7","34.24","56.62","0.77","0.59","56.67","9.73","91.41","1.011","11.88","10.2","9.73","37.31","54.98","28.79","16.22","20.68","58.20"
"135","John Tavares","TOR","C","79","1427.5166666667","18.069831223629","74.9","50.77","59.60","58.21","39.21","59.75","41.11","29.93","57.87","5","3.32","60.10","4.43","2.63","62.71","42.66","25.3","62.77","17.36","9.63","64.33","2.4","1.77","57.58","33.74","20.9","61.74","2.41","1.23","66.15","44.08","31.99","57.94","1.03","0.85","54.84","12.17","88.90","1.011","16.06","10.21","6.18","37.83","72.21","30.98","14.92","15.34","66.88"
"933","Pavel Dorofeyev","VGK","L","2","13","6.5","27.69","50.77","35.29","23.08","27.69","45.45","18.46","18.46","50.00","0","4.62","0.00","2","0.72","73.48","18.46","18.46","50.00","13.85","0","100.00","0","0","-","6.15","24.62","20.00","0","6.15","0.00","13.33","40","25.00","0","0","-","0.00","75.00","0.750","9.23","13.85","9.23","64.62","50.00","13.85","23.08","18.46","42.86"
"250","Dmitrij Jaskin","ARI","R","12","177.41666666667","14.784722222222","52.42","50.73","50.82","38.22","40.92","48.29","27.39","27.73","49.69","1.35","3.38","28.57","2.13","2.56","45.45","22.66","21.64","51.15","8.12","9.13","47.06","0.68","1.69","28.57","19.39","16.68","53.75","0.9","0.9","50.00","38.59","37.13","50.97","0","0.98","0.00","4.94","87.80","0.927","12.51","12.17","9.81","42.61","56.06","16.91","15.56","17.25","49.50"
