Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Adam Boqvist,CBJ,D,52,2.1833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rasmus Sandin,TOR,D,51,2.7666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-
Nils Lundkvist,NYR,D,25,3.9666666666667,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
Jacob Bernard-Docker,OTT,D,8,1.0333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Ty Smith,N.J,D,66,5.8833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jordan Harris,MTL,D,10,2.6333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Karson Kuhlman,"BOS, SEA",C,44,37.633333333333,0,0,0,0,0,-,4,0.00,0.42,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.00
Ilya Lyubushkin,"ARI, TOR",D,77,143.48333333333,0,1,0,1,1,50.00,2,0.00,0.05,3,2,2,0,0,0,6,3,3,0,0,2,4,2,16,1,16,0,0,-
Nathan Smith,ARI,C,10,0.78333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Connor Dewar,MIN,C,35,25.75,0,0,0,0,0,-,2,0.00,0.4,6,4,4,3,1,0,0,0,0,0,0,2,1,0,5,3,5,9,8,52.94
Declan Chisholm,WPG,D,2,0.033333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Josiah Slavin,CHI,L,15,15.566666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.00
Alexander Romanov,MTL,D,79,203.3,0,0,0,0,0,0.00,3,0.00,0.07,4,4,1,0,0,0,2,1,1,0,0,0,13,1,22,5,43,0,0,-
Scott Perunovich,STL,D,19,0.9,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jasper Weatherby,S.J,C,50,4.1833333333333,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,40.00
Yegor Sharangovich,N.J,C,76,77.883333333333,2,0,0,0,2,100.00,12,16.67,1.51,17,14,7,3,3,0,0,0,0,0,0,0,3,8,0,0,2,1,0,100.00
John Leonard,S.J,L,14,0.95,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Rafael Harvey-Pinard,MTL,L,4,0.88333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Simon Benoit,ANA,D,53,38.516666666667,0,0,0,0,0,-,1,0.00,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,6,1,1,0,0,-
Reese Johnson,CHI,C,37,44.166666666667,0,0,0,0,0,-,1,0.00,0.05,2,1,1,0,0,0,0,0,0,0,0,1,2,1,5,1,3,6,8,42.86
Jake Christiansen,CBJ,D,8,1.0,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Egor Zamula,PHI,D,10,9.95,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-
Logan O'Connor,COL,R,81,169.88333333333,1,3,3,0,4,100.00,19,5.26,1.46,23,21,13,10,2,0,2,1,1,0,0,3,1,8,3,4,12,4,7,36.36
Samuel Fagemo,L.A,L,4,1.5166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Joe Snively,WSH,C,12,0.016666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Corey Schueneman,MTL,D,24,21.8,0,0,0,0,0,-,1,0.00,0.0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,4,0,0,-
Nico Sturm,"COL, MIN",C,74,116.08333333333,1,0,0,0,1,100.00,10,10.00,0.52,10,10,5,0,0,0,0,0,0,0,0,0,1,2,3,0,5,50,47,51.55
Blake Lizotte,L.A,C,70,76.9,1,2,1,1,3,60.00,4,25.00,0.59,7,6,6,2,1,0,2,1,1,0,0,0,1,3,1,2,1,28,26,51.85
Jon Lizotte,MIN,D,1,1.0166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Brett Leason,WSH,R,36,0.46666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nolan Foote,N.J,L,7,0.2,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Ronnie Attard,PHI,D,15,16.5,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,-
Peyton Krebs,"BUF, VGK",C,57,5.7166666666667,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
Kirby Dach,CHI,C,70,77.683333333333,0,1,0,1,1,100.00,3,0.00,0.1,3,3,1,0,0,0,2,1,1,0,0,0,2,3,0,2,1,6,8,42.86
