Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Jesper Bratt,N.J,L,76,205.73333333333,3,15,10,5,18,69.23,20,15.00,2.02,39,26,24,7,0,2,2,1,1,0,0,0,9,0,3,2,1,0,0,-
Mikhail Sergachev,T.B,D,78,119.83333333333,1,6,3,3,7,63.64,22,4.55,1.25,35,27,10,0,1,3,2,1,1,0,0,0,4,0,3,3,1,0,0,-
Nathan Bastian,"N.J, SEA",R,72,115.05,3,1,0,1,4,22.22,16,18.75,4.46,30,30,30,23,1,2,2,1,1,0,0,1,1,1,8,11,0,1,3,25.00
Michael McLeod,N.J,C,77,13.216666666667,0,0,0,0,0,-,1,0.00,0.07,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,8,61.90
Brett Murray,BUF,L,19,11.05,0,1,1,0,1,100.00,1,0.00,0.29,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Tage Thompson,BUF,R,78,205.86666666667,10,6,3,3,16,69.57,57,17.54,5.3,95,78,38,3,0,9,2,1,1,0,0,0,7,2,1,8,1,42,56,42.86
Jacob Moverare,L.A,D,19,1.4666666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Filip Hronek,DET,D,78,147.9,2,5,4,1,7,63.64,20,10.00,2.47,49,33,20,3,0,1,2,1,1,0,0,1,4,2,4,4,0,0,0,-
Jacob MacDonald,COL,D,8,3.3666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Troy Stecher,"DET, L.A",D,29,3.5833333333333,0,0,0,0,0,-,1,0.00,0.07,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
Nikita Zaitsev,OTT,D,62,4.1166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Drake Caggiula,BUF,C,18,2.3666666666667,0,1,1,0,1,100.00,1,0.00,0.11,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Michal Kempny,WSH,D,15,0.21666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
