"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"129","Jakob Silfverberg","ANA","R","53","114.5","2.1603773584906","0","0","0","0","0","0.00","5.24","0.00","0.32","5.76","5.24","3.67","0","0","0","1.05","0.52","0.52","0","0","0.52","1.05","2.1","0.52","0.52","3.67","1.05","1.57","20.96"
"130","John Tavares","TOR","C","79","1.3833333333333","0.017510548523207","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.75","43.37","2891.57"
"131","Victor Hedman","T.B","D","82","163.75","1.9969512195122","0","0","0","0","0","0.00","0.73","0.00","0.09","2.2","1.47","0.73","0.37","0","0","0","0","0","0","0","0.73","1.47","2.2","1.83","2.2","2.93","0","0","-"
"132","Matt Duchene","NSH","C","78","2.7666666666667","0.035470085470085","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","43.37","21.69","21.69","0","0","0","0","0","0","0","0","43.37","0","2168.67"
"133","Evander Kane","EDM","L","43","17","0.3953488372093","7.06","3.53","3.53","0","10.59","75.00","10.59","66.67","1.22","10.59","10.59","7.06","7.06","3.53","0","7.06","3.53","3.53","0","0","3.53","0","0","0","0","0","0","0","-"
"134","Brayden Schenn","STL","C","62","30.266666666667","0.48817204301075","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1.98","1.98","1.98","3.96","0","0","13.88","23.79","73.04"
"135","Oliver Ekman-Larsson","VAN","D","79","159.21666666667","2.0154008438819","0","0","0","0","0","0.00","3.39","0.00","0.05","5.28","4.52","0.38","0","0.75","0","2.26","1.13","1.13","0","0","0.75","0.38","1.13","1.88","1.51","5.65","0","0","-"
"136","Nazem Kadri","COL","C","71","33.65","0.47394366197183","0","0","0","0","0","-","3.57","0.00","0.47","5.35","3.57","3.57","0","0","0","0","0","0","0","0","3.57","0","1.78","3.57","0","0","44.58","55.27","79.60"
"137","Ryan Ellis","PHI","D","4","9.65","2.4125","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"138","Calvin de Haan","CHI","D","69","111.08333333333","1.6099033816425","0","0","0","0","0","0.00","2.16","0.00","0.03","2.7","2.7","0","0","1.08","0","0","0","0","0","0","0","4.86","1.08","6.48","0.54","12.42","0","0","-"
"139","Zack Kassian","EDM","R","58","2.2833333333333","0.039367816091954","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","262.77","26.28","0","0","26.28","0","0","0","0","0","0","0","0","-"
"140","Dmitry Kulikov","MIN","D","80","154.41666666667","1.9302083333333","0","0","0","0","0","-","1.94","0.00","0.06","2.33","1.94","0.78","0.39","0","0","0","0","0","0","0","0.78","0.78","0","1.17","0.78","6.61","0","0","-"
"141","Nick Leddy","DET, STL","D","75","27.166666666667","0.36222222222222","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2.21","2.21","4.42","0","2.21","0","0","-"
"142","Chris Kreider","NYR","L","81","120.36666666667","1.4860082304527","1.5","0","0","0","1.5","100.00","5.48","27.27","0.58","7.98","6.48","3.99","2.49","1","1","0","0","0","0","0","0","1","3.49","1.99","1","2.99","1.5","1.5","24.92"
"143","John Moore","BOS","D","7","18.316666666667","2.6166666666667","0","3.28","3.28","0","3.28","100.00","3.28","0.00","0.33","3.28","3.28","3.28","0","0","3.28","0","0","0","0","0","0","0","0","0","3.28","9.83","0","0","-"
"144","Brayden McNabb","VGK","D","69","181.48333333333","2.630193236715","0","0.33","0.33","0","0.33","25.00","0.66","0.00","0","0.66","0.66","0","0","0","0","1.32","0.66","0.66","0","0","0.66","0.33","0.66","4.3","1.98","14.22","0","0","-"
"145","Reilly Smith","VGK","R","56","98.85","1.7651785714286","1.21","1.21","1.21","0","2.43","100.00","6.07","20.00","0.8","7.89","7.28","4.86","3.03","2.43","0","0","0","0","0","0","0.61","1.82","2.43","4.25","1.21","2.43","1.21","1.21","30.35"
