"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"484","Erik Cernak","T.B","D","55","155.88333333333","0","0","0","0","0","-","2","0.00","0","2","2","0","0","0","0","2","1","1","0","0","0","1","3","20","4","22","0","0","-"
"485","Mikko Rantanen","COL","R","75","2.9833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","50.00"
"486","A.J. Greer","N.J","L","9","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"487","Jansen Harkins","WPG","C","77","2.0833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","1","0","0","0","-"
"488","Brendan Guhle","ANA","D","6","0.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"490","Oliver Kylington","CGY","D","73","6.25","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"491","Evgeny Svechnikov","WPG","L","72","0.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"492","Christian Fischer","ARI","R","53","43.516666666667","0","0","0","0","0","-","0","-","0.01","1","1","0","0","0","0","0","0","0","0","0","0","2","2","1","0","3","2","6","25.00"
"494","Thomas Novak","NSH","C","27","1.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"495","Travis Konecny","PHI","C, R","79","13.2","0","0","0","0","0","-","2","0.00","0.08","2","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","100.00"
"496","Dylan Strome","CHI","C","69","2.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"499","Mathew Barzal","NYI","C","73","2.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"500","Glenn Gawdin","CGY","C","2","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"502","Ethan Bear","CAR","D","58","53.183333333333","0","0","0","0","0","-","0","-","0.23","2","2","1","1","0","0","0","0","0","0","0","1","0","1","5","1","6","0","0","-"
"503","Caleb Jones","CHI","D","51","19.7","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","0","0","-"
"504","Noah Juulsen","VAN","D","8","11.566666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","4","0","0","-"
"505","Jack Roslovic","CBJ","C","81","62.533333333333","0","0","0","0","0","-","2","0.00","0.14","4","3","2","0","0","0","0","0","0","0","0","0","0","5","1","0","2","8","22","26.67"
"508","Anthony Beauvillier","NYI","L","75","29.566666666667","0","0","0","0","0","-","1","0.00","0.19","2","2","2","0","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","-"
"509","Daniel Sprong","SEA, WSH","R","63","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"511","Jeremy Lauzon","NSH, SEA","D","66","123.58333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","17","3","17","0","0","-"
"512","Thomas Chabot","OTT","D","59","10.933333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","-"
"515","Kyle Capobianco","ARI","D","45","6.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"516","Mitchell Stephens","DET","C","27","38","0","0","0","0","0","-","3","0.00","0.07","3","3","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","22","28","44.00"
"517","Blake Speers","ARI","C","2","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"519","Jacob Larsson","ANA","D","6","1.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"520","Joel Eriksson Ek","MIN","C","77","166.26666666667","0","0","0","0","0","-","7","0.00","0.64","14","10","5","0","3","0","2","1","1","0","0","2","1","10","9","1","13","95","136","41.13"
"521","Denis Gurianov","DAL","R","73","2.2666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"522","Jake DeBrusk","BOS","L","77","48.5","0","0","0","0","0","-","5","0.00","0.37","6","6","4","0","0","0","2","1","1","0","0","0","0","2","1","2","4","0","0","-"
"524","Gabriel Carlsson","CBJ","D","38","26.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","0","0","-"
"526","Yakov Trenin","NSH","C","80","133.93333333333","0","0","0","0","0","-","9","0.00","1.06","20","14","10","4","5","0","0","0","0","0","0","0","1","14","4","4","5","0","1","0.00"
"527","Austin Czarnik","NYI, SEA","C","17","2.3666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100.00"
"529","Tanner Kero","DAL","C","23","10.633333333333","0","0","0","0","0","-","1","0.00","0.04","2","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","-"
"530","Evan Rodrigues","PIT","C","82","34.65","0","0","0","0","0","-","3","0.00","0.19","4","3","4","2","0","1","0","0","0","0","0","0","2","0","1","1","1","10","14","41.67"
"531","Artemi Panarin","NYR","L","75","1.0166666666667","0","0","0","0","0","-","1","0.00","0.06","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"532","Dean Kukan","CBJ","D","41","28.233333333333","0","0","0","0","0","-","1","0.00","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","-"
"533","Noel Acciari","FLA","C","20","23.816666666667","0","0","0","0","0","-","1","0.00","0.1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","3","0","4","4","13","23.53"
"535","Lukas Vejdemo","MTL","C","6","12.85","0","0","0","0","0","-","0","-","0.15","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","3","0","4","0.00"
"536","Will Borgen","SEA","D","36","30.216666666667","0","0","0","0","0","0.00","3","0.00","0.09","3","3","1","0","0","0","0","0","0","0","0","0","0","0","6","0","7","0","0","-"
"537","Colton White","N.J","D","27","7.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"538","Christian Wolanin","BUF, L.A","D","9","5.5833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"540","Conor Garland","VAN","R","77","3.7166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","10","1","0","0","1","0","0","0","0","0","0","0","0","-"
"542","Kirill Kaprizov","MIN","L","81","4.35","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"543","Dominik Simon","ANA, PIT","C","72","0.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"544","Christian Jaros","N.J","D","11","3.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"546","Troy Terry","ANA","C, R","75","1.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"547","Adam Gaudette","CHI, OTT","C","58","0.38333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"549","Mason Appleton","SEA, WPG","C","68","53.233333333333","0","0","0","0","0","-","1","0.00","0","2","1","0","0","0","0","12","2","1","0","1","0","0","0","2","0","3","0","0","-"
"550","Steven Lorentz","CAR","C","67","29.016666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","3","5","37.50"
"552","Sami Niku","MTL","D","13","3.4166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"553","Lane Pederson","S.J","C","29","2.1333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"554","Jalen Chatfield","CAR","D","16","5.9833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"555","Mason Marchment","FLA","L","54","1.45","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"556","Adam Brooks","MTL, VGK, WPG","C","25","1.9166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"557","Philippe Myers","NSH","D","27","27.316666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0","2","0","1","0","0","-"
"559","Dan Renouf","DET","D","4","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"560","Ethan Prow","BUF","D","4","4.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"561","Kevin Rooney","NYR","C","61","129.38333333333","0","0","0","0","0","-","7","0.00","0.55","11","9","6","2","1","1","0","0","0","0","0","3","2","4","2","1","15","10","15","40.00"
"563","Matthew Tkachuk","CGY","L","82","3.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","0","0","0","0","-"
"564","Joey Anderson","TOR","R","5","0.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"565","Luke Kunin","NSH","C","82","61.5","0","0","0","0","0","-","1","0.00","0.26","4","4","3","0","0","0","2","1","1","0","0","1","0","0","0","0","5","5","4","55.56"
"566","Auston Matthews","TOR","C","73","5.6666666666667","0","0","0","0","0","-","1","0.00","0.04","3","2","2","1","0","1","0","0","0","0","0","0","0","0","2","0","0","7","6","53.85"
"568","Ryan Lindgren","NYR","D","78","174.13333333333","0","0","0","0","0","0.00","1","0.00","0","2","1","0","0","0","0","0","0","0","0","0","0","7","3","16","4","25","0","0","-"
"570","Libor Hajek","NYR","D","17","4.4166666666667","0","0","0","0","0","-","1","0.00","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"572","Carl Grundstrom","L.A","R","54","5.1833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"573","Alex DeBrincat","CHI","L","82","53.233333333333","0","0","0","0","0","-","8","0.00","1.58","11","10","8","4","3","0","0","0","0","0","0","1","2","4","2","0","2","0","1","0.00"
"574","Markus Niemelainen","EDM","D","20","29.216666666667","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","11","0","4","0","0","-"
"575","Patrik Laine","CBJ","L","56","0.61666666666667","0","0","0","0","0","-","0","-","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"576","Cam Dineen","ARI","D","34","36.516666666667","0","0","0","0","0","-","1","0.00","0.06","2","2","0","0","1","0","0","0","0","0","0","0","1","0","0","0","5","0","0","-"
"578","Jesse Puljujarvi","EDM","R","65","1.4166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"579","Jakob Chychrun","ARI","D","47","80.116666666667","0","0","0","0","0","-","3","0.00","0","4","4","0","0","0","0","0","0","0","0","0","2","3","2","4","3","8","0","0","-"
"581","Tyler Benson","EDM","L","29","0.28333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"582","Kale Clague","L.A, MTL","D","36","13.033333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"583","Sam Steel","ANA","C","68","21.816666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","6","14.29"
"585","Olli Juolevi","DET, FLA","D","18","6.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"586","Kieffer Bellows","NYI","L","45","0.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"587","Beck Malenstyn","WSH","L","12","8.8833333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","3","0.00"
"588","Tim Gettinger","NYR","L","8","0.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"589","Trent Frederic","BOS","C","60","32.416666666667","0","0","0","0","0","-","2","0.00","0.33","6","4","5","1","0","0","2","1","1","0","0","0","0","2","2","2","1","0","1","0.00"
"590","Logan Brown","STL","C","39","3.2666666666667","0","0","0","0","0","-","1","0.00","0.13","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"591","William Lockwood","VAN","R","13","0.86666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"592","Max Jones","ANA","L","2","2.1333333333333","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"593","Andrew Peeke","CBJ","D","82","263.66666666667","0","0","0","0","0","0.00","4","0.00","0.05","6","6","1","0","0","0","2","1","1","0","0","0","1","2","23","3","38","0","0","-"
"595","Dante Fabbro","NSH","D","66","65.7","0","0","0","0","0","0.00","1","0.00","0.02","1","1","0","0","0","0","2","1","1","0","0","1","4","0","2","1","14","0","0","-"
"596","Josh Mahura","ANA","D","38","7.3","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","3","0","0","0","0","-"
"597","Jonathan Dahlen","S.J","C","61","2.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"598","Victor Mete","OTT","D","37","60.666666666667","0","0","0","0","0","0.00","1","0.00","0.01","2","1","0","0","1","0","0","0","0","0","0","0","1","2","1","3","8","0","0","-"
"600","Givani Smith","DET","R","46","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"601","Connor Bunnaman","PHI","C","15","3.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","4","33.33"
"602","Boris Katchouk","CHI, T.B","L","59","36.266666666667","0","0","0","0","0","-","4","0.00","0.57","6","5","4","2","1","0","2","1","1","0","0","3","0","1","3","0","1","0","2","0.00"
"604","Riley Stillman","CHI","D","52","58.116666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","2","12","0","0","-"
"606","Noah Gregor","S.J","C","63","20.133333333333","0","0","0","0","0","-","2","0.00","0.24","3","3","3","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","-"
"607","Dennis Cholowski","SEA, WSH","D","11","1.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"608","Samuel Girard","COL","D","67","42.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","2","0","3","2","4","0","0","-"
"609","Pierre-Luc Dubois","WPG","L","81","2.4333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"611","Henrik Borgstrom","CHI","C","52","3.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.00"
"612","Jesper Bratt","N.J","L","76","3.5166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"614","Sean Day","T.B","D","2","0.31666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"615","Nathan Bastian","N.J, SEA","R","72","16.616666666667","0","0","0","0","0","0.00","1","0.00","0.23","2","1","1","1","1","0","0","0","0","0","0","0","0","0","4","1","0","2","0","100.00"
"618","Jacob Moverare","L.A","D","19","24.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","0","-"
"619","Filip Hronek","DET","D","78","123.36666666667","0","0","0","0","0","0.00","7","0.00","0.1","8","7","0","0","2","0","4","2","2","0","0","1","2","1","10","1","10","0","0","-"
"620","Jacob MacDonald","COL","D","8","3.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"621","Troy Stecher","DET, L.A","D","29","24.333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","-"
"623","Drake Caggiula","BUF","C","18","29.216666666667","0","0","0","0","0","-","1","0.00","0.15","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","1","3","25.00"
"624","Michal Kempny","WSH","D","15","15.533333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","1","0","0","-"
