"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"479","Devon Toews","COL","D","66","1674.3666666667","13","44","11","33","57","46.34","158","8.23","8.1","267","202","77","22","6","14","20","10","10","0","0","5","34","45","54","40","78","0","0","-"
"960","Lucas Raymond","DET","L","82","1488.8666666667","23","34","15","19","57","65.52","184","12.50","19.32","287","224","191","79","5","20","16","8","8","0","0","20","36","26","62","110","24","12","19","38.71"
"72","Logan Couture","S.J","C","77","1457.8166666667","23","33","21","12","56","68.29","199","11.56","21.75","314","260","202","95","23","25","18","9","9","0","0","18","31","62","92","78","17","621","654","48.71"
"622","Charlie McAvoy","BOS","D","78","1923.4833333333","10","46","16","30","56","44.09","166","6.02","9.87","295","227","95","18","0","19","66","30","28","2","0","26","65","29","155","187","121","0","0","-"
"629","Patrik Laine","CBJ","L","56","1054.2666666667","26","30","15","15","56","74.67","167","15.57","15.04","317","238","149","30","6","21","24","12","12","0","0","7","52","27","34","46","13","14","24","36.84"
"920","Jack Hughes","N.J","C","49","958.73333333333","26","30","21","9","56","77.78","165","15.76","17.54","296","223","182","69","11","16","0","0","0","0","0","16","60","49","6","73","9","122","231","34.56"
"380","Carter Verhaeghe","FLA","C","78","1252.1333333333","24","31","19","12","55","71.43","167","14.37","19.3","312","232","217","84","9","23","44","21","21","0","0","14","47","63","50","132","16","19","10","65.52"
"447","Nikolaj Ehlers","WPG","L","62","1120.2666666667","28","27","18","9","55","69.62","245","11.43","22.59","450","342","246","73","13","31","20","10","10","0","0","24","44","41","32","55","22","2","1","66.67"
"507","Andrew Mangiapane","CGY","L","82","1289.6166666667","35","20","13","7","55","72.37","185","18.92","23.59","300","235","227","115","10","20","38","15","14","0","1","19","42","52","73","63","29","21","34","38.18"
"770","Josh Norris","OTT","C","66","1226.2166666667","35","20","7","13","55","61.11","172","20.35","20.3","319","246","189","68","6","20","16","8","8","0","0","18","32","24","79","96","39","529","507","51.06"
"10","Brent Burns","S.J","D","82","2144.0333333333","10","44","25","19","54","46.96","203","4.93","9.13","446","293","90","9","10","34","42","21","21","0","0","8","97","68","55","60","40","0","1","0.00"
"200","Zach Hyman","EDM","C, L","76","1479.3333333333","27","27","18","9","54","60.67","213","12.68","29.78","353","293","265","160","3","29","36","18","18","0","0","20","33","29","74","137","23","41","44","48.24"
"263","Ryan Strome","NYR","C","74","1356.0833333333","21","33","18","15","54","49.09","161","13.04","18.62","257","216","155","79","10","13","69","29","27","1","1","15","37","32","41","61","17","362","456","44.25"
"462","Adrian Kempe","L.A","C, L","78","1449.5333333333","35","19","8","11","54","67.50","247","14.17","28.1","443","331","240","96","22","33","46","22","22","0","0","26","43","34","111","66","9","25","25","50.00"
"116","Gustav Nyquist","CBJ","C","82","1463.2333333333","18","35","24","11","53","55.79","122","14.75","14.13","208","169","137","65","6","16","26","13","13","0","0","17","25","46","41","87","49","14","16","46.67"
"385","Andrew Copp","NYR, WPG","C","72","1380.6833333333","21","32","18","14","53","65.43","183","11.48","23.72","283","242","208","90","9","22","16","8","8","0","0","7","43","34","45","78","38","377","332","53.17"
"841","Rasmus Dahlin","BUF","D","80","1922.3","13","40","21","19","53","55.21","171","7.60","8.4","322","224","77","14","4","13","68","33","33","0","0","21","51","27","121","128","87","0","0","-"
"58","Phil Kessel","ARI","C, R","82","1367.6333333333","8","44","24","20","52","65.82","175","4.57","18.06","310","230","168","62","8","28","40","16","15","0","1","5","53","39","6","19","20","4","8","33.33"
"305","Tom Wilson","WSH","R","78","1449.4166666667","24","28","14","14","52","53.06","151","15.89","20.17","279","226","187","96","12","17","98","32","24","6","2","33","44","36","240","142","50","22","30","42.31"
"390","Shea Theodore","VGK","D","78","1804.7","14","38","22","16","52","49.52","205","6.83","11.64","417","273","130","34","6","31","24","12","12","0","0","9","58","60","37","118","91","0","0","-"
