"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"687","Brandon Biro","BUF","L","5","2.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"689","Mitchell Chaffee","T.B","R","29","0.91666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"691","Connor Zary","CGY","C","62","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"692","Dylan Holloway","EDM","L","36","6.3","0","0","0","0","0","-","2","0.00","0.17","2","2","2","1","1","0","0","0","0","0","0","0","0","0","1","0","3","0","0","-"
"693","Lucas Raymond","DET","L","82","9.9333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"694","Marco Rossi","MIN","C","81","8.6666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0.00"
"695","Kaiden Guhle","MTL","D","70","143.13333333333","0","0","0","0","0","0.00","3","0.00","0.09","4","3","1","0","1","0","16","5","3","2","0","3","5","4","10","2","34","0","0","-"
"696","Jake Neighbours","STL","L","77","25.2","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2","2","50.00"
"699","Daemon Hunt","MIN","D","12","9.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","6","0","0","-"
"700","Tyler Kleven","OTT","D","9","5.1333333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"701","Jack Quinn","BUF","R","27","30.416666666667","0","0","0","0","0","-","3","0.00","0.34","4","4","2","2","0","1","2","1","1","0","0","0","0","2","1","1","1","0","0","-"
"702","Jake Sanderson","OTT","D","79","234.18333333333","0","0","0","0","0","0.00","5","0.00","0.39","5","5","1","0","1","0","0","0","0","0","0","1","10","6","8","4","32","1","0","100.00"
"703","Alexis Lafrenière","NYR","L","82","4.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"704","Dawson Mercer","N.J","C","82","143.68333333333","0","0","0","0","0","0.00","8","0.00","0.54","13","12","6","1","1","0","0","0","0","0","0","0","2","1","1","6","9","7","3","70.00"
"705","Justin Barron","MTL","D","48","33.083333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","3","0","2","0","0","-"
"707","Tim Stützle","OTT","C","75","53","0","0","0","0","0","-","3","0.00","0.27","5","4","3","3","1","1","4","2","2","0","0","1","1","5","1","0","2","9","7","56.25"
"708","Lukas Reichel","CHI","L","64","8.9666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0.00"
"709","Brock Faber","MIN","D","81","238.85","0","0","0","0","0","-","2","0.00","0","2","2","0","0","1","0","0","0","0","0","0","0","6","1","8","6","29","0","0","-"
"710","Quinton Byfield","L.A","C, R","79","3.0333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"711","Alexander Holtz","N.J","R","82","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"712","Thomas Bordeleau","S.J","C","26","0.066666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"714","Jack Thompson","S.J, T.B","D","2","1.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"715","Luke Evangelista","NSH","R","80","0.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"716","Hendrix Lapierre","WSH","C","51","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"717","Cole Perfetti","WPG","C","70","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"718","Brendan Brisson","VGK","C","15","0.63333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"719","Alex Laferriere","L.A","R","80","6.5833333333333","0","0","0","0","0","-","1","0.00","0.09","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.00"
"720","Will Cuylle","NYR","L","81","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"722","Shakir Mukhamadullin","S.J","D","3","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"723","Landon Slaggert","CHI","L","15","8.2666666666667","0","0","0","0","0","-","0","-","0.06","2","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.00"
"724","JJ Peterka","BUF","R","82","1.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"725","Wyatt Kaiser","CHI","D","32","56.866666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","13","0","0","-"
"726","Marat Khusnutdinov","MIN","C","15","16.266666666667","0","0","0","0","0","-","0","-","0.14","2","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","100.00"
"727","Isaak Phillips","CHI","D","33","46.616666666667","0","0","0","0","0","0.00","3","0.00","0.01","4","3","0","0","1","0","0","0","0","0","0","0","0","1","0","0","5","0","0","-"
"728","Adam Raska","MIN","R","5","0.4","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"729","Alexander Barabanov","S.J","L","46","0.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"731","Bobby McMann","TOR","C","56","27.15","0","0","0","0","0","-","5","0.00","0.45","6","6","2","2","2","0","0","0","0","0","0","0","0","3","2","0","0","0","1","0.00"
"732","Mikael Pyyhtia","CBJ","L","17","21.716666666667","0","0","0","0","0","-","0","-","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","-"
"733","Matt Rempe","NYR","C","17","0.033333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"735","Yegor Chinakhov","CBJ","R","53","18.233333333333","0","0","0","0","0","0.00","1","0.00","0.05","3","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0","-"
"736","Nils Aman","VAN","C","42","59.983333333333","0","0","0","0","0","0.00","4","0.00","0.4","4","4","2","2","1","0","0","0","0","0","0","1","1","3","1","1","1","3","2","60.00"
"737","Mason Lohrei","BOS","D","41","22.95","0","0","0","0","0","-","0","-","0.05","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","-"
"738","Matthew Kessel","STL","D","38","21.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","5","0","0","-"
"739","Daniil Miromanov","CGY, VGK","D","23","1.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"740","Walker Duehr","CGY","R","40","2.7333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"742","Kent Johnson","CBJ","C","42","0.73333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"743","Matty Beniers","SEA","C","76","18.233333333333","0","0","0","0","0","0.00","1","0.00","0.03","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","8","27.27"
"744","Scott Morrow","CAR","D","2","0.48333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"747","Matt Coronato","CGY","R","33","0.53333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"748","Luke Hughes","N.J","D","82","7.4166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","-"
"750","Logan Stankoven","DAL","C","23","0.16666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"752","Matthew Knies","TOR","L","79","20.966666666667","0","0","0","0","0","-","1","0.00","0.08","2","1","1","1","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","-"
"753","Zack Bolduc","STL","C","24","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"756","Simon Edvinsson","DET","D","16","19.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","3","0","0","-"
"757","Zach Dean","STL","C","8","3.1166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","-"
"758","Olen Zellweger","ANA","D","25","4.1833333333333","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"759","Ethan Del Mastro","CHI","D","2","2.3166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"760","Ryker Evans","SEA","D","35","13.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","3","0","0","-"
"761","Zack Ostapchuk","OTT","C","7","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"762","Emil Lilleberg","T.B","D","36","40.883333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","2","4","5","6","0","0","-"
"763","Arber Xhekaj","MTL","D","44","15.266666666667","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","2","0","0","-"
"764","Marc McLaughlin","BOS","C","1","1.4833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"765","Marc Johnstone","PIT","R","1","1.1666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"767","David Jiricek","CBJ","D","43","7.7166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"768","Kevin Korchinski","CHI","D","75","14.683333333333","0","0","0","0","0","0.00","0","-","0.13","2","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","-"
"769","Tristan Luneau","ANA","D","7","0.066666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
