"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"199","Tanner Pearson","MTL","L","54","698.68333333333","599","773","43.66","426","545","43.87","284","366","43.69","22","36","37.93","29.4","42.08","41.13","275","388","41.48","127","180","41.37","13","23","36.11","148","208","41.57","5","8","38.46","337","413","44.93","4","5","44.44","7.75","90.16","0.979","96","135","122","568","44.04","165","201","213","43.65"
"308","Trevor van Riemsdyk","WSH","D","70","1306.5166666667","1060","1368","43.66","722","953","43.10","498","641","43.72","46","68","40.35","47.88","59.08","44.76","507","603","45.68","220","235","48.35","28","37","43.08","287","368","43.82","11","18","37.93","557","809","40.78","7","13","35.00","9.24","89.39","0.986","89","225","170","1133","34.36","300","367","407","42.43"
"527","Justin Danforth","CBJ","R","71","1013.4333333333","937","1209","43.66","677","869","43.79","461","603","43.33","45","71","38.79","44.09","58.15","43.13","431","567","43.19","183","241","43.16","21","29","42.00","248","326","43.21","18","23","43.90","513","771","39.95","6","19","24.00","9.76","88.23","0.980","141","186","214","745","39.72","256","257","403","38.85"
"675","Hugh McGing","STL","L","5","41.9","31","40","43.66","24","23","51.06","18","15","54.55","1","5","16.67","1.61","1.31","55.14","15","20","42.86","5","5","50.00","0","3","0.00","10","15","40.00","1","1","50.00","16","20","44.44","0","1","0.00","5.56","66.67","0.722","4","6","4","38","50.00","10","9","6","62.50"
"273","Jason Dickinson","CHI","C","81","1342.5833333333","1080","1395","43.64","764","977","43.88","547","671","44.91","55","71","43.65","48.55","76.11","38.95","481","666","41.94","189","299","38.73","32","35","47.76","292","367","44.31","14","15","48.28","625","932","40.14","8","16","33.33","10.05","89.42","0.995","136","286","359","908","27.47","313","406","666","31.97"
"616","Oliver Wahlstrom","NYI","R","31","337.48333333333","302","390","43.64","218","269","44.76","155","180","46.27","12","16","42.86","13.61","16.67","44.95","132","195","40.37","60","73","45.11","7","9","43.75","72","122","37.11","3","4","42.86","206","198","50.99","2","3","40.00","7.74","91.11","0.989","68","61","53","294","56.20","108","90","92","54.00"
"741","Joel Kiviranta","COL","L","56","551","429","555","43.60","301","393","43.37","221","274","44.65","18","25","41.86","19.92","27.78","41.76","194","251","43.60","84","111","43.08","7","16","30.43","110","140","44.00","8","4","66.67","224","339","39.79","3","5","37.50","8.14","90.88","0.990","54","122","97","602","35.76","91","162","166","35.41"
"679","Reese Johnson","CHI","C","42","459.18333333333","384","501","43.39","280","364","43.48","194","260","42.73","10","38","20.83","16.04","25.33","38.78","173","264","39.59","73","116","38.62","4","21","16.00","100","148","40.32","3","9","25.00","211","284","42.63","3","8","27.27","5.15","85.38","0.905","36","75","55","413","39.56","68","121","126","35.05"
"603","Carson Meyer","CBJ","R","14","127.7","108","141","43.37","70","94","42.68","44","65","40.37","3","5","37.50","4.51","6.07","42.58","40","71","36.04","18","32","36.00","3","4","42.86","22","39","36.07","0","1","0.00","58","71","44.96","0","0","-","6.82","92.31","0.991","10","23","10","115","50.00","23","31","33","41.07"
"654","Jan Jenik","ARI","R","5","41.883333333333","36","47","43.37","24","25","48.98","16","15","51.61","1","2","33.33","1.24","1.65","42.84","10","19","34.48","4","4","50.00","0","0","-","6","15","28.57","0","2","0.00","27","29","48.21","1","0","100.00","6.25","86.67","0.929","2","13","6","37","25.00","12","18","11","52.17"
