"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"367","Pavel Zacha","BOS","C","78","222.11666666667","6","9","5","4","15","45.45","48","12.50","7.82","82","65","69","36","1","10","0","0","0","0","0","0","4","0","3","9","0","118","70","62.77"
"562","Fabian Zetterlund","S.J","L","81","200.33333333333","5","10","8","2","15","53.57","33","15.15","5.88","77","52","45","21","0","6","2","1","1","0","0","0","5","4","2","1","1","5","10","33.33"
"748","Brock Faber","MIN","D","81","206.55","2","13","4","9","15","51.72","32","6.25","2.26","64","43","18","1","0","8","0","0","0","0","0","0","4","0","0","5","3","0","0","-"
"829","Juraj Slafkovsky","MTL","L","82","243.38333333333","6","9","8","1","15","48.39","33","18.18","5.93","77","49","39","15","0","8","15","6","5","1","0","3","3","2","1","11","0","0","0","-"
"143","Mark Stone","VGK","R","56","208.7","4","10","6","4","14","58.33","34","11.76","6.62","55","46","47","31","1","8","10","5","5","0","0","2","8","2","3","6","0","0","0","-"
"164","William Karlsson","VGK","C","69","177.1","7","7","6","1","14","63.64","36","19.44","6.22","57","47","40","22","0","4","2","1","1","0","0","0","5","3","2","7","1","99","63","61.11"
"169","Ryan Strome","ANA","C","78","190.21666666667","2","12","6","6","14","63.64","24","8.33","2.71","36","31","14","5","0","3","14","7","7","0","0","3","7","1","1","2","0","40","49","44.94"
"259","Nicholas Paul","T.B","L","81","246.36666666667","9","5","3","2","14","27.45","29","31.03","8.73","53","46","48","38","0","6","7","2","1","1","0","1","3","0","1","9","1","95","78","54.91"
"264","Shea Theodore","VGK","D","46","151.93333333333","2","12","4","8","14","82.35","17","11.76","1.27","54","30","7","1","0","3","0","0","0","0","0","1","2","0","1","2","2","0","0","-"
"532","Gabriel Vilardi","WPG","C","46","151.55","9","5","4","1","14","73.68","39","23.08","7.87","58","53","57","42","0","7","0","0","0","0","0","1","4","1","0","7","0","4","14","22.22"
"734","Jake Neighbours","STL","L","77","169.51666666667","8","6","4","2","14","51.85","35","22.86","7.77","51","44","46","36","1","9","6","3","3","0","0","3","1","1","1","7","0","0","1","0.00"
"741","Jake Sanderson","OTT","D","79","238.48333333333","3","11","6","5","14","51.85","40","7.50","2.9","80","55","25","2","0","6","2","1","1","0","0","0","13","1","0","5","6","0","0","-"
"186","Torey Krug","STL","D","77","225.51666666667","0","13","5","8","13","56.52","37","0.00","3","79","49","27","3","0","5","2","1","1","0","0","1","5","1","1","2","4","0","0","-"
"213","Chandler Stephenson","VGK","C","75","215.95","4","9","3","6","13","56.52","21","19.05","3.52","36","29","22","10","0","3","4","2","2","0","0","2","1","4","1","15","0","87","48","64.44"
"362","Noah Hanifin","CGY, VGK","D","80","149.05","5","8","4","4","13","76.47","31","16.13","2.81","81","47","19","2","0","9","2","1","1","0","0","1","5","6","1","4","4","0","0","-"
"425","Troy Terry","ANA","R","75","183.4","4","9","5","4","13","68.42","27","14.81","4.2","57","44","28","7","0","4","6","2","2","0","0","2","4","1","0","10","1","0","1","0.00"
"447","Charlie McAvoy","BOS","D","74","241.8","1","12","7","5","13","46.43","25","4.00","2.39","64","36","27","2","0","5","4","2","2","0","0","1","11","2","1","9","4","0","0","-"
"543","Martin Necas","CAR","C","77","164.31666666667","8","5","2","3","13","61.90","37","21.62","3.25","70","49","27","4","0","4","2","1","1","0","0","2","5","2","0","10","0","1","1","50.00"
"628","Kirill Marchenko","CBJ","R","78","191.01666666667","9","4","3","1","13","50.00","48","18.75","6.36","79","65","51","11","2","3","2","1","1","0","0","0","7","1","4","9","0","5","7","41.67"
"817","Logan Cooley","ARI","C","81","169.03333333333","3","10","6","4","13","65.00","26","11.54","3.41","51","38","25","11","0","4","0","0","0","0","0","1","12","0","0","10","1","17","20","45.95"
"38","James van Riemsdyk","BOS","L","71","181.35","6","6","3","3","12","52.17","37","16.22","8.67","59","53","54","49","0","9","8","4","4","0","0","0","3","0","0","3","0","4","5","44.44"
"58","Jordan Eberle","SEA","R","77","202.08333333333","6","6","2","4","12","54.55","26","23.08","7.62","50","44","46","38","0","5","0","0","0","0","0","0","4","4","2","3","0","4","3","57.14"
"80","Brayden Schenn","STL","C","81","207.11666666667","4","8","5","3","12","52.17","50","8.00","7.5","94","74","53","15","1","6","9","3","2","1","0","3","5","4","5","11","0","62","36","63.27"
"128","Jeff Skinner","BUF","L","74","191.18333333333","8","4","1","3","12","50.00","53","15.09","7.83","85","68","54","23","0","12","0","0","0","0","0","1","6","4","2","5","0","9","8","52.94"
"194","Brady Skjei","CAR","D","80","80.7","1","11","6","5","12","63.16","16","6.25","1.16","30","22","6","0","0","0","2","1","1","0","0","0","0","0","0","0","2","0","0","-"
"255","Anthony Duclair","S.J, T.B","L","72","127.6","5","7","3","4","12","54.55","26","19.23","4.83","47","32","32","19","0","8","4","2","2","0","0","1","2","2","1","5","0","0","2","0.00"
"271","Artturi Lehkonen","COL","L","44","126.96666666667","7","5","2","3","12","66.67","25","28.00","5.36","37","33","35","26","0","3","0","0","0","0","0","0","1","1","1","1","0","0","0","-"
"309","Sam Bennett","FLA","C","69","138.55","5","7","4","3","12","60.00","41","12.20","5.69","70","52","47","16","1","7","12","2","1","0","1","1","6","1","2","9","0","30","23","56.60"
"321","Robby Fabbri","DET","C","68","139.23333333333","5","7","3","4","12","60.00","24","20.83","3.71","30","26","26","16","0","2","6","3","3","0","0","1","4","0","6","8","0","42","19","68.85"
"382","Tommy Novak","NSH","C","71","145.76666666667","6","6","2","4","12","66.67","28","21.43","4.48","49","38","32","9","0","6","4","2","2","0","0","1","4","1","1","7","0","24","15","61.54"
"395","Zach Werenski","CBJ","D","70","190.93333333333","2","10","2","8","12","66.67","28","7.14","2.13","66","41","21","2","0","6","6","3","3","0","0","0","0","0","1","3","2","0","0","-"
"398","Daniel Sprong","DET","R","76","137.7","3","9","5","4","12","60.00","29","10.34","4.68","68","53","41","7","0","9","2","1","1","0","0","2","3","2","1","5","0","2","0","100.00"
"518","Morgan Geekie","BOS","C","76","142.18333333333","4","8","3","5","12","54.55","23","17.39","3.6","36","28","25","8","1","3","4","2","2","0","0","0","2","2","4","10","0","31","34","47.69"
"547","Josh Norris","OTT","C","50","157.63333333333","5","7","2","5","12","75.00","33","15.15","3.92","63","47","40","6","0","6","2","1","1","0","0","1","6","0","0","6","0","26","21","55.32"
"716","Matias Maccelli","ARI","L","81","153.25","2","10","8","2","12","57.14","26","7.69","2.11","44","30","20","3","1","3","2","1","1","0","0","1","6","2","0","4","0","0","0","-"
