"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"193","Scott Laughton","PHI","C","76","136.66666666667","2","5","4","1","7","100.00","19","10.53","2.43","25","23","18","8","3","1","8","4","4","0","0","5","2","4","3","2","9","67","69","49.26"
"658","Simon Holmstrom","NYI","R","70","103.4","5","2","2","0","7","87.50","11","45.45","1.18","14","11","9","6","3","0","2","1","1","0","0","2","2","10","0","0","6","1","3","25.00"
"153","Blake Coleman","CGY","C","73","113.1","4","2","2","0","6","85.71","10","40.00","1.08","15","13","11","6","2","1","13","5","4","1","0","4","3","5","2","1","8","0","2","0.00"
"154","Jean-Gabriel Pageau","NYI","C","75","146.05","1","5","5","0","6","85.71","14","7.14","1.36","20","20","10","4","4","0","0","0","0","0","0","1","5","2","3","2","12","83","91","47.70"
"373","Travis Konecny","PHI","R","70","115.53333333333","5","1","0","1","6","85.71","23","21.74","1.89","30","27","17","5","6","2","4","2","2","0","0","1","3","8","14","1","4","3","6","33.33"
"613","Yegor Sharangovich","CGY","C","73","110.9","3","3","3","0","6","100.00","11","27.27","1.22","17","13","11","5","3","1","0","0","0","0","0","0","3","7","1","3","3","15","17","46.88"
"60","Adam Henrique","ANA, EDM","C","73","168.46666666667","2","3","3","0","5","100.00","9","22.22","1.49","14","13","6","2","0","0","0","0","0","0","0","2","0","8","3","1","22","92","102","47.42"
"300","Sam Reinhart","FLA","C","76","166.08333333333","5","0","0","0","5","100.00","13","38.46","2.28","22","16","14","7","7","1","2","1","1","0","0","4","2","9","3","1","10","31","42","42.47"
"16","Andrew Cogliano","COL","C","68","152.38333333333","1","3","3","0","4","100.00","5","20.00","0.7","7","7","5","2","0","0","0","0","0","0","0","6","2","2","1","1","13","34","67","33.66"
"111","Charlie Coyle","BOS","C","76","192.2","1","3","3","0","4","100.00","13","7.69","1.19","21","17","10","8","6","0","4","2","2","0","0","3","3","11","7","1","10","109","136","44.49"
