"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"552","Cole Guttman","CHI","C","27","3.2666666666667","0.12098765432099","18.37","128.57","12.50","0","91.84","0.00","0","73.47","0.00","0","0","-","0","11.76","0.00","0","110.2","0.00","0","55.1","0.00","0","0","-","0","73.47","0.00","0","0","-","26.53","159.18","14.29","0","0","-","-","100.00","1.00","0","0","55.1","55.1","0.00","0","0","91.84","0.00"
"157","Scott Mayfield","NYI","D","41","105.5","2.5731707317073","9.67","128.53","7.00","8.53","92.7","8.43","6.26","65.97","8.66","1.14","9.67","10.53","0.59","9.97","5.54","4.55","73.93","5.80","1.71","35.83","4.55","0.57","6.26","8.33","3.79","50.81","6.94","0.76","0.76","50.00","3.29","130.62","2.45","0","4.11","0.00","18.18","85.34","1.035","0","7.96","42.65","13.65","0.00","1.71","10.81","70.52","2.36"
"330","Jake Walman","DET","D","63","154.25","2.4484126984127","15.17","128.36","10.57","14","93.74","13.00","12.06","62.63","16.15","1.94","6.61","22.73","1.34","10.92","10.90","7.39","79.35","8.52","5.45","34.62","13.59","1.17","1.56","42.86","2.59","59.64","4.17","1.04","5.71","15.38","6.74","125.86","5.08","0","1.12","0.00","16.13","89.44","1.056","0.39","5.83","51.73","21.78","0.75","1.56","7.78","68.46","2.22"
"593","Bo Groulx","ANA","C","45","59.083333333333","1.312962962963","12.19","127.95","8.70","11.17","98.5","10.19","8.12","64.99","11.11","0","11.17","0.00","0.54","9.27","5.52","3.05","64.99","4.48","1.02","28.43","3.45","0","5.08","0.00","2.71","48.74","5.26","0","2.71","0.00","10.27","134.95","7.07","0","5.87","0.00","0.00","82.81","0.828","1.02","7.11","51.79","38.59","1.92","1.02","7.11","68.04","1.47"
"166","Adam Larsson","SEA","D","80","231.5","2.89375","10.89","127.78","7.85","10.63","90.45","10.51","8.29","56.76","12.75","0.52","8.03","6.06","0.9","9.32","8.80","4.15","62.98","6.18","1.56","24.36","6.00","0","3.89","0.00","3.46","51.49","6.29","0.35","2.76","11.11","5.62","144.13","3.75","0.37","2.99","11.11","6.25","85.84","0.921","0.26","5.18","34.99","15.03","0.74","1.56","8.55","61.68","2.46"
"56","John Carlson","WSH","D","82","226.53333333333","2.7626016260163","8.74","127.4","6.42","8.48","94.03","8.27","6.09","65.95","8.46","0.53","8.74","5.71","0.51","9.99","4.87","3.18","68.33","4.44","1.59","29.4","5.13","0.26","3.44","7.14","2.12","51.91","3.92","0.35","3.18","10.00","3.06","144.61","2.07","0","4.21","0.00","8.70","86.75","0.954","0.79","4.24","35.49","16.95","2.19","2.12","8.21","69.92","2.94"
"426","Brandon Tanev","SEA","L","65","167","2.5692307692308","9.34","126.47","6.88","9.34","88.02","9.59","7.9","54.25","12.72","0","7.19","0.00","0.92","8.85","9.40","3.59","60","5.65","1.44","24.79","5.48","0","4.67","0.00","2.87","46.95","5.77","0","1.44","0.00","5.19","147.39","3.40","0","2.08","0.00","0.00","86.75","0.868","1.44","5.39","43.47","25.15","3.20","2.16","7.9","64.67","3.23"
"632","Brett Leason","ANA","R","67","148.7","2.2194029850746","14.53","126.29","10.32","11.7","88.37","11.69","9.28","60.93","13.22","1.21","10.49","10.34","0.64","9.52","6.27","4.84","68.59","6.59","2.02","30.67","6.17","0.4","5.65","6.67","3.77","50.57","6.93","1.08","2.69","28.57","5.83","123.56","4.50","0","4.08","0.00","13.04","82.78","0.958","0.4","4.03","45.6","40.35","0.88","1.21","5.25","54.88","2.16"
"352","Frank Vatrano","ANA","R","81","162.06666666667","2.0008230452675","14.81","126.24","10.50","13.7","96.63","12.42","10.74","65.16","14.15","1.11","10.74","9.38","0.78","9.05","7.90","4.44","65.16","6.38","2.59","25.92","9.09","0.74","3.7","16.67","2.47","52.32","4.50","0.49","3.95","11.11","8.02","128.88","5.86","0","5.88","0.00","10.34","83.52","0.939","0.74","7.03","41.46","44.8","1.75","1.85","9.26","54.05","3.31"
"549","Sebastian Aho","NYI","D","57","29.95","0.52543859649123","8.01","126.21","5.97","8.01","90.15","8.16","6.01","68.11","8.11","0","12.02","0.00","0.3","8.65","3.38","6.01","68.11","8.11","0","18.03","0.00","0","4.01","0.00","8.01","66.78","10.71","0","8.01","0.00","5.79","107.07","5.13","0","2.89","0.00","0.00","82.35","0.824","0","4.01","22.04","84.14","0.00","2","10.02","32.05","5.88"
