"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"31","Nicklas Backstrom","WSH","C","8","116.46666666667","14.558333333333","58.73","46.88","55.61","43.79","31.94","57.82","30.91","22.67","57.69","1.03","2.06","33.33","3.57","2.26","61.20","26.27","23.18","53.13","12.88","8.24","60.98","1.03","1.55","40.00","17.86","19.92","47.27","0","0.69","0.00","53.58","37.21","59.02","0","0","-","3.33","90.91","0.942","13.91","14.94","6.18","38.12","69.23","27.82","18.55","10.3","72.97"
"793","Lukas Cormier","VGK","D","2","34.566666666667","17.283333333333","72.9","46.87","60.87","50.34","32.98","60.42","38.19","24.3","61.11","3.47","0","100.00","4.4","1.55","73.92","38.19","17.36","68.75","24.3","8.68","73.68","1.74","0","100.00","18.51","11.57","61.54","0","0","-","62.68","42.62","59.52","2.51","0","100.00","9.09","100.00","1.091","8.68","13.89","6.94","38.19","55.56","20.83","22.57","10.41","66.67"
"800","Cole Perfetti","WPG","C","70","947.5","13.535714285714","66.3","46.86","58.59","48.51","33.18","59.38","34.39","22.61","60.33","3.67","1.84","66.67","3.07","2.13","59.01","28.05","20.77","57.46","12.28","8.74","58.43","1.84","0.89","67.44","21.02","16.04","56.72","1.52","1.01","60.00","62.56","34.94","64.17","0.91","0.09","90.91","10.68","91.88","1.026","13.17","8.55","3.17","46.92","80.62","24.63","12.98","9.44","72.30"
"354","Viktor Arvidsson","L.A","R","17","284.36666666667","16.727450980392","70.26","46.84","60.00","52.75","32.92","61.58","37.77","21.31","63.93","4.43","1.9","70.00","3.84","2.54","60.18","32.07","21.31","60.08","12.66","10.55","54.55","1.48","1.05","58.33","25.88","14.35","64.34","1.97","0.56","77.78","71.01","39.01","64.54","1.83","0.3","85.71","11.73","91.09","1.028","13.71","12.66","5.27","37.35","72.22","28.06","16.25","11.18","71.51"
"715","Jack Hughes","N.J","C","62","1300.35","20.973387096774","81.58","46.83","63.53","56.94","36.36","61.03","40.93","25.79","61.34","4.52","3.14","59.04","4.52","2.91","60.82","41.71","22.19","65.27","15.32","9.14","62.64","1.98","1.38","58.90","35.19","17.41","66.90","2.4","1.48","61.90","72.45","35.59","67.06","1.07","0.6","64.00","11.05","87.84","0.989","14.12","8.91","3.69","39.22","79.27","29.39","13.57","9.37","75.83"
"736","Jordan Spence","L.A","D","70","1008.95","14.413571428571","69.93","46.74","59.94","50.49","34.79","59.21","34.43","24.44","58.48","3.39","2.38","58.76","3.23","2.1","60.64","33.48","22.78","59.51","13.14","9.99","56.81","1.61","1.19","57.45","27.12","17.05","61.40","1.27","0.95","57.14","60.9","36.42","62.58","1.2","0.6","66.67","9.84","90.27","1.001","12.19","7.97","6.3","44.24","65.92","23.31","13.62","13.14","63.95"
"861","Ryker Evans","SEA","D","35","670.46666666667","19.15619047619","61.39","46.71","56.79","41.25","35.44","53.79","27.92","24.16","53.61","2.15","2.06","51.06","2.63","2","56.85","27.12","19.78","57.82","10.2","7.16","58.76","1.07","1.25","46.15","22.55","16.82","57.27","0.72","0.72","50.00","53.13","40.46","56.77","0.78","0.26","75.00","7.69","91.48","0.992","7.07","9.13","5.1","47.7","58.09","18.79","14.23","9.49","66.46"
"561","Jason Robertson","DAL","L","81","1482.2","18.298765432099","76.67","46.59","62.20","54.57","33.19","62.18","37.73","21.9","63.27","4.74","2.35","66.86","4.16","1.93","68.32","39.71","19.43","67.15","16.68","7.57","68.78","2.35","1.3","64.44","30.71","15.81","66.01","2.37","0.92","72.13","66.01","42.04","61.09","0.7","0.29","70.59","12.55","89.28","1.018","14.05","10.93","7.33","37.16","65.72","27.41","16.39","16.31","62.69"
"686","Samuel Fagemo","L.A, NSH","L","8","73.483333333333","9.1854166666667","58.79","46.54","55.81","44.91","31.03","59.14","31.84","25.31","55.71","1.63","0.82","66.67","3.32","1.68","66.36","31.03","20.41","60.32","10.61","8.98","54.17","0.82","0","100.00","27.22","15.24","64.10","1.09","1.09","50.00","49.54","33.02","60.00","0","0","-","5.13","96.77","1.019","13.88","11.43","7.35","54.71","65.38","26.94","17.15","9.8","73.33"
"779","Vasily Ponomarev","CAR","C","2","19.35","9.675","89.92","46.51","65.91","62.02","34.11","64.52","37.21","21.71","63.16","6.2","3.1","66.67","5.59","2.05","73.20","55.81","27.91","66.67","21.71","6.2","77.78","3.1","0","100.00","45.48","28.94","61.11","4.13","4.13","50.00","53.75","26.87","66.67","0","0","-","16.67","85.71","1.024","6.2","3.1","6.2","49.61","50.00","15.5","9.3","9.3","62.50"
"392","Sebastian Aho","CAR","C","78","1530.95","19.627564102564","74.35","46.48","61.53","54.36","35.7","60.36","36.29","25.32","58.91","4.94","2.39","67.38","4.25","2.87","59.65","34.65","22.77","60.34","14.03","9.64","59.27","2.16","1.18","64.71","27.49","17.51","61.09","2.35","0.94","71.43","71.38","36","66.47","1.19","0.4","75.00","13.61","90.56","1.042","14.93","8.27","5.72","42.17","72.30","28.22","12.66","13.56","67.54"
"264","Carter Verhaeghe","FLA","C","76","1365.15","17.9625","86.19","46.46","64.98","60.83","36.48","62.51","42.85","25.76","62.46","4.97","2.42","67.26","4.82","2.35","67.20","44.48","19.91","69.08","18.9","8.61","68.69","2.42","1.05","69.62","34.11","15.06","69.37","2.17","1.29","62.71","73.77","40.19","64.74","1.14","0.32","78.26","11.59","90.61","1.022","15.25","12.39","6.15","37.67","71.25","29.01","16.83","12.88","69.25"
"716","Arthur Kaliyev","L.A","R","51","601.91666666667","11.802287581699","73.76","46.45","61.36","56.42","32.89","63.17","37.68","23.62","61.46","2.89","2.39","54.72","3.79","2.19","63.37","35.09","22.13","61.32","14.95","9.47","61.22","1.69","1.3","56.67","26.85","16.88","61.40","1.06","0.53","66.67","63.21","37.44","62.80","0.58","0.72","44.44","7.67","89.87","0.975","12.16","10.67","6.38","47.25","65.59","20.83","15.75","13.26","61.11"
