"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"850","James Malatesta","CBJ","L","11","112.38333333333","10.216666666667","1.07","1.07","0","1.07","2.14","100.00","6.41","16.67","0.68","12.28","10.68","6.94","3.74","0.53","0.53","2.67","0.53","0","0.53","0","1.6","1.07","0.53","21.89","5.34","1.07","0","0.53","0.00"
"272","Shea Theodore","VGK","D","46","1015.0666666667","22.066666666667","0.3","2.13","1.06","1.06","2.42","63.08","5.91","5.00","0.32","15.78","8.93","3.9","0.35","0.18","1.42","0.35","0.12","0.12","0","0","0.24","1.24","1.48","0.53","2.54","4.43","0","0","-"
"354","Viktor Arvidsson","L.A","R","17","284.36666666667","16.727450980392","0.84","1.69","0.63","1.05","2.53","57.14","11.82","7.14","1.22","20.04","16.04","9.28","3.38","0.42","1.9","2.95","1.48","1.48","0","0","1.27","1.05","1.69","1.69","6.75","3.59","0.63","1.27","7.03"
"75","Ryan O'Reilly","NSH","C","82","1620.8","19.765853658537","0.96","1.59","0.56","1.04","2.55","59.48","6.66","14.44","1.02","10.88","9.18","8.44","4.89","0.15","1.3","0.67","0.33","0.33","0","0","0.48","1.11","2.37","0.78","2.18","2.07","30.65","26.21","2.00"
"799","Hendrix Lapierre","WSH","C","51","583.3","11.437254901961","0.82","1.44","0.41","1.03","2.26","68.75","5.25","15.69","0.57","9.87","8.02","5.25","2.88","0.31","0.51","0.41","0.1","0.1","0","0","0.82","1.95","1.95","2.57","3.81","3.19","10.8","18","3.86"
"138","Mikael Granlund","S.J","C","68","1424.9166666667","20.954656862745","0.51","1.98","0.97","1.01","2.48","71.95","5.6","9.02","0.64","10.78","7.79","5.77","2.06","0.42","0.93","1.35","0.67","0.67","0","0","0.76","0.88","1.98","2.15","4.08","2.32","20.46","23.2","1.97"
"177","Dougie Hamilton","N.J","D","20","419.5","20.975","0.72","1.57","0.57","1","2.29","59.26","8.72","8.20","0.44","21.45","12.59","7.01","0.57","0.57","2.29","2.86","1.43","1.43","0","0","0","2","0.72","1.57","2.15","3.43","0","0","-"
"727","Jakob Pelletier","CGY","L","13","120.51666666667","9.2705128205128","0.5","1","0","1","1.49","60.00","4.48","11.11","0.46","8.96","5.48","3.98","2.49","0.5","0.5","1","0.5","0.5","0","0","0","1.49","2.49","4.98","2.49","1.49","1.99","1.99","24.89"
"669","Cole Koepke","T.B","L","9","60.316666666667","6.7018518518519","0","1.99","0.99","0.99","1.99","66.67","8.95","0.00","1.15","14.92","12.93","5.97","3.98","0","0.99","0","0","0","0","0","0.99","0.99","1.99","16.91","6.96","0.99","0","0","-"
"318","Leon Draisaitl","EDM","C","80","1657","20.7125","1.48","2.35","1.38","0.98","3.84","69.74","7.79","19.07","1.02","15.28","11.73","8.51","2.93","0.29","1.3","2.75","1.09","1.01","0","0.07","0.72","3.33","2.97","1.96","4.53","0.94","29.47","22.41","2.06"
"640","Akil Thomas","L.A","C","7","61.1","8.7285714285714","2.95","0.98","0","0.98","3.93","100.00","8.84","33.33","0.74","15.71","11.78","8.84","2.95","2.95","0.98","1.96","0.98","0.98","0","0","3.93","0","1.96","7.86","10.8","2.95","3.93","5.89","39.28"
"832","Josh Doan","ARI","R","10","122.93333333333","12.293333333333","2.44","1.95","0.98","0.98","4.39","90.00","11.23","21.74","1.82","17.08","14.64","14.64","10.25","0.98","1.46","0","0","0","0","0","0.98","0.49","4.39","2.93","7.32","3.42","1.46","0.49","36.61"
"879","Tristan Luneau","ANA","D","7","122.85","17.55","0.49","0.98","0","0.98","1.47","50.00","4.88","10.00","0.25","8.79","6.84","2.44","0.49","0","0.98","1.95","0.49","0.49","0","0","0.49","1.47","0","2.44","3.42","1.95","0","0","-"
"700","Alex Turcotte","L.A","C","20","185.6","9.28","0.32","0.97","0","0.97","1.29","44.44","4.53","7.14","0.73","11.64","8.73","6.14","3.88","0","0.65","1.94","0.97","0.97","0","0","0.97","0.32","1.94","2.26","11.31","3.23","6.79","6.79","16.16"
"801","Brendan Brisson","VGK","C","15","185.05","12.336666666667","0.65","1.95","0.97","0.97","2.59","66.67","6.48","10.00","0.72","15.24","11.35","7.78","2.27","0.32","1.3","0.65","0.32","0.32","0","0","0.32","1.3","1.62","4.22","7.78","1.3","1.3","1.3","16.21"
"78","Victor Hedman","T.B","D","78","1934.7333333333","24.804273504274","0.4","1.95","0.99","0.96","2.36","50.33","5.21","7.74","0.39","12.5","8.31","4.12","0.62","0.19","1.05","2.36","0.81","0.71","0","0.09","0.28","1.67","0.9","1.74","1.92","3.16","0","0","-"
"219","Mackenzie MacEachern","STL","L","8","62.95","7.86875","0","0.95","0","0.95","0.95","50.00","3.81","0.00","0.21","5.72","5.72","1.91","0.95","0","0","0","0","0","0","0","0.95","0.95","1.91","8.58","7.63","1.91","0","0","-"
"297","Josh Morrissey","WPG","D","81","1958.9","24.183950617284","0.31","1.81","0.86","0.95","2.11","52.27","6","5.10","0.36","13.69","8.94","4.1","0.58","0.12","0.7","1.35","0.67","0.67","0","0","0.67","1.29","1.38","2.48","2.73","3.15","0","0","-"
"323","Kevin Fiala","L.A","L","81","1459.3166666667","18.016255144033","1.19","1.81","0.86","0.95","3","73.74","9.05","13.18","1","18.79","13.77","9.29","3.17","0.33","1.56","2.55","1.07","1.03","0","0.04","0.74","2.3","1.85","2.3","3.54","1.15","0.41","1.11","1.11"
"409","Zach Werenski","CBJ","D","70","1711.6","24.451428571429","0.39","1.61","0.67","0.95","2","50.89","7.12","5.42","0.4","15.53","10.03","4.84","1.02","0.21","1.44","0.77","0.39","0.39","0","0","0.11","0.91","1.23","0.7","1.54","4.56","0","0","-"
"483","Josh Mahura","FLA","D","30","377.76666666667","12.592222222222","0","1.43","0.48","0.95","1.43","69.23","3.97","0.00","0.17","7.62","5.24","2.22","0.32","0.16","0.16","3.18","1.59","1.59","0","0","1.27","0.95","0.48","5.56","7.78","4.29","0","0","-"
"146","Mark Stone","VGK","R","56","1086.8","19.407142857143","0.88","2.04","1.1","0.94","2.93","73.61","6.46","13.68","0.96","11.7","8.94","7.56","3.81","0.22","1.1","1.21","0.61","0.61","0","0","0.66","1.6","3.42","1.6","1.6","2.21","0","0.22","0.00"
"508","Hardy Haman Aktell","WSH","D","6","63.783333333333","10.630555555556","0","0.94","0","0.94","0.94","50.00","4.7","0.00","0.21","13.17","7.53","4.7","0","0","0","1.88","0.94","0.94","0","0","0","1.88","0.94","7.53","6.58","4.7","0","0","-"
"811","Marat Khusnutdinov","MIN","C","15","194.31666666667","12.954444444444","0.31","0.93","0","0.93","1.24","80.00","1.85","16.67","0.35","6.18","4.94","3.4","1.85","0.62","0","1.85","0.93","0.93","0","0","0.93","1.24","1.85","4.94","3.71","2.78","14.2","15.75","14.64"
"278","Nic Petan","MIN","C","6","65","10.833333333333","0","1.85","0.92","0.92","1.85","66.67","10.15","0.00","1.16","17.54","12.92","8.31","3.69","0","0.92","1.85","0.92","0.92","0","0","0","0.92","1.85","2.77","0.92","0.92","1.85","2.77","36.92"
"287","Aleksander Barkov","FLA","C","73","1433.4833333333","19.636757990868","0.96","2.39","1.46","0.92","3.35","69.57","8.12","11.86","1.01","15.61","11.93","9.17","3.77","0.59","1.46","1","0.46","0.46","0","0","0.67","1.3","2.55","3.56","3.47","2.09","26.37","19.67","2.40"
"502","Filip Hronek","VAN","D","81","1898.75","23.441358024691","0.16","1.36","0.44","0.92","1.52","41.38","4.68","3.38","0.24","11.98","7.27","3.16","0.35","0.19","0.85","1.2","0.6","0.6","0","0","0.47","1.58","0.76","3.1","3.1","2.75","0","0","-"
"554","Elias Pettersson","VAN","C","81","1592.9666666667","19.666255144033","1.28","2.07","1.17","0.9","3.35","64.96","7.8","16.43","1.07","15.07","11.3","8.02","3.31","0.56","1.21","0.45","0.23","0.23","0","0","1.05","1.13","1.85","3.99","4.33","2.56","15.14","14.58","1.92"
"631","Andrei Svechnikov","CAR","R","59","1001.8","16.979661016949","1.14","1.98","1.08","0.9","3.11","68.42","8.62","13.19","1.17","18.27","13.36","8.56","3.29","0.48","1.62","3.47","1.68","1.68","0","0","0.84","2.58","1.5","7.97","5.27","1.32","0.24","0.24","2.99"
"53","Steven Stamkos","T.B","C","78","1421.05","18.21858974359","1.69","1.65","0.76","0.89","3.34","67.52","10.94","15.44","1.19","20.22","15.28","10.68","3","0.17","1.6","1.44","0.72","0.72","0","0","0.59","2.2","0.97","2.96","2.79","1.82","14.82","11.78","2.35"
"201","Mark Jankowski","NSH","C","32","405.35","12.6671875","1.04","1.18","0.3","0.89","2.22","71.43","7.1","14.58","1","13.32","10.81","10.81","4.29","0.3","0.59","1.18","0.59","0.59","0","0","0.3","1.78","2.66","1.18","3.7","1.63","12.14","11.99","7.45"
"33","Jamie Benn","DAL","L","81","1223.35","15.103086419753","1.03","1.91","1.03","0.88","2.94","68.18","7.85","13.13","1.07","14.08","10.54","8.04","4.66","0.49","1.52","2.01","0.83","0.78","0.05","0","1.13","1.57","2.35","4.56","2.89","2.45","21.24","13.49","3.00"
"334","David Pastrnak","BOS","R","82","1634.2333333333","19.929674796748","1.73","2.31","1.43","0.88","4.04","80.88","14.02","12.30","1.37","26.36","19.46","12.34","3.86","0.88","2.2","1.73","0.66","0.59","0.04","0.04","1.1","3.6","1.98","2.31","4.7","0.7","0.29","0.59","1.22"
"335","Adrian Kempe","L.A","R","76","1438.7333333333","18.930701754386","1.13","1.92","1.04","0.88","3.04","73.74","10.22","11.02","0.95","20.56","14.6","8.76","2.67","0.42","1.63","3","1.25","1.21","0","0.04","1.42","0.96","1.29","4.25","2.75","1.33","0.13","0.42","0.96"
"559","Robert Thomas","STL","C","81","1699.5333333333","20.981893004115","0.88","2.12","1.24","0.88","3","73.91","5.93","14.88","0.79","11.44","8.51","6.95","2.79","0.28","0.85","1.69","0.71","0.67","0","0.04","0.6","1.91","2.44","0.49","2.65","1.62","30.68","26.94","1.88"
"265","Oliver Bjorkstrand","SEA","R","81","1312.6833333333","16.205967078189","0.91","1.69","0.82","0.87","2.61","76.00","8.5","10.75","0.83","19.43","13.53","9","2.93","0.41","1.83","0.46","0.23","0.23","0","0","0.73","1.1","2.88","2.7","4.07","1.28","0.41","0.87","1.47"
"389","Mikko Rantanen","COL","R","79","1813.2","22.951898734177","1.36","2.05","1.19","0.86","3.41","62.05","8.87","15.30","1.05","17.24","13.07","10.13","3.84","0.33","1.32","1.65","0.79","0.79","0","0","0.69","1.42","1.42","1.49","4.43","1.59","8.97","7.64","1.79"
"423","Dennis Gilbert","CGY","D","34","417.63333333333","12.283333333333","0.14","0.86","0","0.86","1.01","63.64","3.3","4.35","0.13","7.76","5.46","2.16","0.14","0.14","0.72","2.3","0.72","0.43","0.29","0","0.86","1.44","0.72","7.76","5.6","7.04","0","0","-"
"110","Mats Zuccarello","MIN","R","68","1278.1","18.795588235294","0.52","2.39","1.55","0.85","2.91","65.96","8.03","6.43","0.75","15.44","11.36","7.09","2.07","0.42","1.69","1.31","0.66","0.66","0","0","0.99","1.74","1.74","1.08","2.91","2.21","1.27","2.07","1.79"
"380","Pavel Zacha","BOS","C","78","1412.2666666667","18.105982905983","0.89","1.61","0.76","0.85","2.51","59.00","6.29","14.19","0.84","10.96","8.96","7.99","4.12","0.47","0.89","0.76","0.38","0.38","0","0","0.59","1.49","1.19","3.91","2.76","1.44","24.85","20.52","2.33"
"180","J.T. Miller","VAN","C","81","1578.6333333333","19.489300411523","1.41","2.51","1.67","0.84","3.91","75.18","7.37","19.07","1.08","14.29","11.55","8.82","4.29","0.57","1.22","2.2","0.99","0.91","0.08","0","0.72","1.9","1.37","7.45","3.15","2.32","31.28","24.25","2.14"
"822","Ilya Solovyov","CGY","D","9","142.56666666667","15.840740740741","0","1.26","0.42","0.84","1.26","60.00","3.37","0.00","0.14","9.68","5.89","1.68","0.42","0","1.68","1.68","0.84","0.84","0","0","0","1.26","0","3.37","6.73","5.89","0","0","-"
"173","Ryan Strome","ANA","C","78","1232.8833333333","15.806196581197","0.54","1.36","0.54","0.83","1.9","60.94","6.33","8.46","0.63","10.37","8.42","5.55","2.68","0.44","0.88","4.09","1.56","1.31","0.19","0.05","0.68","2.04","1.27","2.58","1.9","0.97","10.8","12.51","2.26"
"396","Tommy Novak","NSH","C","71","1008.2166666667","14.200234741784","1.07","1.61","0.77","0.83","2.68","70.31","6.72","15.93","0.86","14.28","10.77","8.81","3.33","0.48","1.49","0.48","0.24","0.24","0","0","0.83","1.49","2.86","0.18","6.19","1.84","12.56","17.2","2.51"
"715","Jack Hughes","N.J","C","62","1300.35","20.973387096774","1.25","2.17","1.34","0.83","3.41","75.51","12.64","9.85","1.26","24.04","16.66","11.63","3.23","0.55","2.54","0.55","0.28","0.28","0","0","1.25","3.28","2.95","0.42","2.63","1.11","5.44","9.18","1.72"
"296","Max Domi","TOR","C","80","1102.8","13.785","0.49","2.07","1.25","0.82","2.56","61.04","7.45","6.57","0.65","13.76","10.34","6.37","2.61","0.65","1.03","6.42","1.85","1.31","0.33","0.22","1.03","2.29","1.41","2.56","3.65","1.2","12.3","12.3","2.72"
"321","William Nylander","TOR","R","81","1615.4333333333","19.943621399177","1.49","2.12","1.3","0.82","3.6","74.62","11.55","12.86","1.13","21.17","15.41","10.77","3.68","0.78","1.82","0.89","0.45","0.45","0","0","0.74","1.67","2.53","1.11","3.34","1.08","2.08","2.34","1.75"
"211","Filip Forsberg","NSH","L","82","1550.25","18.905487804878","1.86","1.78","0.97","0.81","3.64","72.31","13.43","13.83","1.42","27.09","19.31","12.15","5.03","0.7","2.71","1.66","0.77","0.74","0.04","0","1.16","3.1","2.94","4.95","3.13","1.7","0.43","0.43","1.94"
"546","Casey Mittelstadt","BUF, COL","C","79","1403.05","17.760126582278","0.77","1.63","0.81","0.81","2.39","57.73","5.39","14.29","0.6","10.14","7.27","5.56","2.35","0.21","0.81","1.28","0.6","0.6","0","0","0.3","1.75","1.88","0.86","3.85","1.33","22.41","25.23","2.01"
"566","Miro Heiskanen","DAL","D","70","1712.0166666667","24.457380952381","0.32","1.58","0.77","0.81","1.89","45.38","5.57","5.66","0.37","13.84","8.24","4.03","0.46","0.25","1.61","1.26","0.46","0.42","0","0.04","0.7","1.26","1.12","1.82","4.87","3.33","0","0","-"
"886","Matthew Poitras","BOS","C","33","442.06666666667","13.39595959596","0.68","1.36","0.54","0.81","2.04","75.00","5.43","12.50","0.52","10.45","6.65","6.24","2.58","0.41","0.68","0.81","0.41","0.41","0","0","1.76","2.04","2.58","2.04","5.84","2.04","15.07","19.41","5.93"
"186","Rickard Rakell","PIT","R","69","1141.6666666667","16.545893719807","0.74","1.16","0.37","0.79","1.89","49.32","8.46","8.70","1.1","16.87","12.51","9.78","4.89","0.42","1.79","1.16","0.58","0.58","0","0","0.79","0.95","1.47","5.57","5.36","2.05","0.16","0.53","1.21"
"403","Roope Hintz","DAL","C","79","1360.0166666667","17.215400843882","1.32","1.54","0.75","0.79","2.87","57.02","7.94","16.67","1.13","14.47","11.38","9.18","4.63","0.53","1.37","0.97","0.49","0.49","0","0","0.84","1.59","1.01","1.41","3.04","1.59","13.76","10.85","2.47"
"418","Mitchell Marner","TOR","R","68","1448.3333333333","21.299019607843","1.08","2.44","1.66","0.79","3.52","71.43","6.55","16.46","0.82","15","10.23","8","2.94","0.5","1.2","0.66","0.33","0.33","0","0","0.58","2.44","2.36","2.03","2.94","2.11","0.17","0.5","1.04"
"583","Calle Rosen","STL","D","6","75.983333333333","12.663888888889","0","0.79","0","0.79","0.79","100.00","3.95","0.00","0.14","8.69","6.32","1.58","0.79","0","0.79","1.58","0.79","0.79","0","0","0","4.74","0","1.58","5.53","5.53","0","0","-"
"152","Travis Boyd","ARI","C","16","153.95","9.621875","0.78","2.34","1.56","0.78","3.12","80.00","4.68","16.67","0.56","10.13","7.02","7.79","2.73","0.39","1.95","0.78","0.39","0.39","0","0","0","1.17","0.39","2.73","6.63","3.9","8.96","7.79","20.85"
"582","Neal Pionk","WPG","D","81","1686.6833333333","20.823251028807","0.18","1","0.21","0.78","1.17","38.82","5.19","3.42","0.22","10.89","7.54","2.24","0.28","0.28","0.82","2.24","1.07","1.03","0.04","0","0.64","1.96","1.21","7.15","5.26","4.09","0","0","-"
"896","Milos Kelemen","ARI","L","10","76.816666666667","7.6816666666667","0","0.78","0","0.78","0.78","50.00","3.91","0.00","0.46","9.37","6.25","5.47","3.91","0.78","0","0","0","0","0","0","0","0.78","0.78","10.94","15.62","2.34","0.78","2.34","19.53"
"170","Ryan Nugent-Hopkins","EDM","C","79","1553.7","19.667088607595","0.7","1.89","1.12","0.77","2.59","52.76","7.03","9.89","0.94","14.06","10.08","9.08","4.05","0.31","1.2","1.39","0.7","0.7","0","0","0.27","1.27","2.36","2.32","2.16","1.31","9.08","9.89","1.85"
"193","Morgan Rielly","TOR","D","72","1709.3666666667","23.741203703704","0.25","1.79","1.02","0.77","2.04","46.03","6.11","4.02","0.32","12.67","8.53","3.93","1.12","0.53","1.16","0.95","0.28","0.21","0.04","0.04","0.21","2.14","0.95","2.74","4.56","4.81","0","0","-"
"203","Mike Matheson","MTL","D","82","2095.3333333333","25.552845528455","0.31","1.46","0.69","0.77","1.78","57.94","5.35","5.88","0.29","11.54","7.22","3.29","0.66","0.17","0.86","1.66","0.83","0.83","0","0","0.66","2.18","1.4","1.26","3.21","5.33","0","0","-"
