"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"760","Dylan Holloway","EDM","L","32","344.88333333333","391","257","60.34","257","196","56.73","179","137","56.65","7","10","41.18","16.52","12.43","57.06","168","118","58.74","79","48","62.20","3","7","30.00","89","70","55.97","2","2","50.00","220","151","59.30","2","1","66.67","3.91","92.70","0.966","52","91","39","270","57.14","96","124","83","53.63"
"4","Brent Burns","CAR","D","75","1254.5","1617","1072","60.13","1097","797","57.92","707","540","56.70","70","54","56.45","68.05","55.93","54.89","704","472","59.86","284","196","59.17","42","18","70.00","420","276","60.34","18","23","43.90","970","646","60.02","8","7","53.33","9.90","90.00","0.999","174","252","147","938","54.21","464","420","386","54.59"
"628","Jack Drury","CAR","C","67","730.23333333333","826","550","60.03","574","406","58.57","373","280","57.12","32","26","55.17","30.97","23.74","56.61","303","243","55.49","112","98","53.33","22","8","73.33","191","145","56.85","6","15","28.57","551","312","63.85","4","2","66.67","8.58","90.71","0.993","142","168","61","571","69.95","264","229","160","62.26"
"618","Evan Bouchard","EDM","D","73","1407.3333333333","1702","1137","59.95","1256","831","60.18","893","604","59.65","100","68","59.52","92.49","62.63","59.62","885","560","61.25","392","229","63.12","63","34","64.95","493","331","59.83","21","22","48.84","991","618","61.59","14","6","70.00","11.20","88.74","0.999","230","237","158","803","59.28","564","379","362","60.91"
"232","Jaccob Slavin","CAR","D","75","1347.8666666667","1705","1141","59.91","1194","847","58.50","761","585","56.54","67","54","55.37","76.12","53.52","58.72","756","510","59.72","306","221","58.06","39","21","65.00","450","289","60.89","18","25","41.86","994","672","59.66","8","6","57.14","8.80","90.77","0.996","170","269","146","992","53.80","463","434","396","53.90"
"94","Mattias Ekholm","EDM","D","71","1288.8166666667","1569","1056","59.77","1150","767","59.99","799","556","58.97","89","51","63.57","84.81","52.97","61.55","821","515","61.45","354","214","62.32","53","30","63.86","467","301","60.81","21","13","61.76","909","591","60.60","13","4","76.47","11.14","90.83","1.020","214","218","167","766","56.17","505","352","357","58.58"
"626","Andrei Svechnikov","CAR","R","54","780.6","1004","680","59.62","722","523","57.99","457","365","55.60","42","30","58.33","46.94","37.55","55.56","435","321","57.54","161","135","54.39","22","13","62.86","274","186","59.57","11","11","50.00","631","389","61.86","7","4","63.64","9.19","91.78","1.010","166","133","103","580","61.71","318","200","221","59.00"
"379","Connor McDavid","EDM","C","71","1260.1833333333","1591","1082","59.52","1180","802","59.54","841","585","58.98","102","69","59.65","92.69","59.38","60.95","868","545","61.43","380","211","64.30","61","31","66.30","488","334","59.37","26","25","50.98","894","594","60.08","12","7","63.16","12.13","88.21","1.003","266","221","134","707","66.50","518","334","329","61.16"
"131","Zach Hyman","EDM","L","72","1171.1833333333","1500","1025","59.41","1109","735","60.14","786","537","59.41","96","60","61.54","87.43","55.21","61.29","799","513","60.90","369","185","66.61","57","28","67.06","430","328","56.73","25","21","54.35","841","543","60.77","12","5","70.59","12.21","88.83","1.010","259","216","126","716","67.27","477","302","293","61.95"
"92","Dmitry Orlov","CAR","D","75","1179.9","1304","893","59.35","928","656","58.59","599","467","56.19","51","44","53.68","51.2","43.6","54.01","535","414","56.38","197","175","52.96","25","21","54.35","338","239","58.58","15","15","50.00","824","500","62.24","11","5","68.75","8.51","90.58","0.991","164","244","104","870","61.19","392","377","272","59.04"
"208","Teuvo Teravainen","CAR","L","71","896.31666666667","1053","725","59.22","772","545","58.62","490","388","55.81","44","32","57.89","48.57","36.39","57.16","438","338","56.44","163","146","52.75","19","16","54.29","275","192","58.89","15","10","60.00","681","423","61.68","8","4","66.67","8.98","91.75","1.007","186","188","115","678","61.79","332","284","253","56.75"
"263","Carter Verhaeghe","FLA","C","75","1104.6833333333","1424","983","59.16","978","764","56.14","691","534","56.41","69","49","58.47","67.32","48.8","57.98","692","425","61.95","274","185","59.69","30","21","58.82","418","240","63.53","24","20","54.55","824","599","57.91","12","4","75.00","9.99","90.82","1.008","226","255","136","794","62.43","423","346","281","60.09"
"286","Aleksander Barkov","FLA","C","67","952.91666666667","1171","812","59.05","826","576","58.92","563","378","59.83","64","33","65.98","58.04","38.17","60.33","544","368","59.65","217","129","62.72","32","12","72.73","327","239","57.77","15","10","60.00","734","500","59.48","12","7","63.16","11.37","91.27","1.026","203","240","181","646","52.86","374","322","319","53.97"
"872","Shane Wright","SEA","C","4","38.133333333333","43","30","58.90","29","20","59.18","18","14","56.25","1","1","50.00","2.24","0.88","71.80","16","13","55.17","10","4","71.43","1","1","50.00","6","9","40.00","0","0","-","31","19","62.00","0","0","-","5.56","92.86","0.984","5","10","4","31","55.56","15","12","8","65.22"
"625","Jesperi Kotkaniemi","CAR","C","75","874.9","1064","744","58.85","764","549","58.19","503","388","56.45","35","36","49.30","45.29","38.1","54.31","447","355","55.74","167","163","50.61","16","17","48.48","280","192","59.32","7","13","35.00","648","403","61.66","12","4","75.00","6.96","90.72","0.977","155","179","90","687","63.27","312","274","213","59.43"
"177","Dougie Hamilton","N.J","D","20","381.23333333333","496","347","58.84","339","273","55.39","239","197","54.82","18","25","41.86","24.67","24.61","50.07","239","151","61.28","91","65","58.33","10","14","41.67","148","86","63.25","4","6","40.00","278","204","57.68","3","3","50.00","7.53","87.31","0.948","52","79","37","310","58.43","140","119","105","57.14"
