"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"578","Calle Rosen","STL","D","6","75.983333333333","12.663888888889","0","0.79","0","0.79","0.79","100.00","3.95","0.00","0.14","8.69","6.32","1.58","0.79","0","0.79","1.58","0.79","0.79","0","0","0","4.74","0","1.58","5.53","5.53","0","0","-"
"152","Travis Boyd","ARI","C","16","153.95","9.621875","0.78","2.34","1.56","0.78","3.12","80.00","4.68","16.67","0.56","10.13","7.02","7.79","2.73","0.39","1.95","0.78","0.39","0.39","0","0","0","1.17","0.39","2.73","6.63","3.9","8.96","7.79","20.85"
"378","Pavel Zacha","BOS","C","72","1305.6833333333","18.134490740741","0.87","1.56","0.78","0.78","2.44","56.99","6.2","14.07","0.83","10.75","8.87","7.81","4","0.51","0.97","0.74","0.37","0.37","0","0","0.64","1.42","1.1","3.95","2.71","1.33","24.36","20.17","2.51"
"542","Casey Mittelstadt","BUF, COL","C","73","1310.2333333333","17.948401826484","0.82","1.65","0.87","0.78","2.47","58.06","5.54","14.88","0.62","10.26","7.46","5.54","2.43","0.23","0.87","1.28","0.6","0.6","0","0","0.27","1.69","1.83","0.64","3.76","1.24","22.53","25.05","2.17"
"704","Adam Beckman","MIN","L","8","77.1","9.6375","0","1.56","0.78","0.78","1.56","100.00","5.45","0.00","0.71","14.01","10.89","8.56","2.33","2.33","0","7.78","0.78","0","0","0.78","0.78","0","1.56","7.78","5.45","2.33","0","0","-"
"879","Milos Kelemen","ARI","L","10","76.816666666667","7.6816666666667","0","0.78","0","0.78","0.78","50.00","3.91","0.00","0.46","9.37","6.25","5.47","3.91","0.78","0","0","0","0","0","0","0","0.78","0.78","10.94","15.62","2.34","0.78","2.34","19.53"
"639","Noah Dobson","NYI","D","75","1869.7166666667","24.929555555556","0.26","1.86","1.09","0.77","2.12","55.46","5.39","4.76","0.21","13.96","7.89","3.37","0.32","0.32","0.99","1.03","0.51","0.51","0","0","0.22","1.89","1.03","2.25","4.3","5.42","0","0","-"
"61","Roman Josi","NSH","D","75","1847.2166666667","24.629555555556","0.62","1.85","1.1","0.75","2.47","58.02","7.96","7.76","0.49","17.77","11.3","6.37","0.71","0.29","1.49","1.4","0.65","0.62","0.03","0","0.42","1.85","0.91","1.23","3.22","4.42","0","0","-"
"180","J.T. Miller","VAN","C","74","1447.6166666667","19.562387387387","1.45","2.45","1.7","0.75","3.9","74.60","7.17","20.23","1.08","14.05","11.36","8.7","4.31","0.54","1.12","2.03","0.95","0.91","0.04","0","0.7","1.95","1.41","7.67","3.27","2.36","30.88","24.54","2.31"
"566","Josh Norris","OTT","C","50","881.86666666667","17.637333333333","1.09","0.95","0.2","0.75","2.04","62.50","7.82","13.91","0.78","14.15","10.48","8.16","3.27","0.34","1.16","1.5","0.75","0.75","0","0","1.16","1.84","1.5","4.97","4.22","2.04","22.32","20.48","3.55"
