"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"10","Blake Wheeler","NYR","R","54","54.266666666667","88","11","88.89","69","10","87.34","44","7","86.27","2","0","100.00","6.08","0.62","90.75","43","6","87.76","20","2","90.91","1","0","100.00","23","4","85.19","0","0","-","63","4","94.03","1","0","100.00","4.55","100.00","1.045","27","9","2","43","93.10","34","11","4","89.47"
"120","Nick Bjugstad","ARI","C","73","120.3","176","22","88.89","131","21","86.18","90","19","82.57","12","2","85.71","12.62","1.15","91.67","106","10","91.38","35","3","92.11","4","0","100.00","71","7","91.03","5","2","71.43","98","8","92.45","3","0","100.00","13.33","89.47","1.028","51","16","3","84","94.44","77","28","7","91.67"
"302","Frederick Gaudreau","MIN","C","61","83.833333333333","136","17","88.89","106","14","88.33","75","12","86.21","7","3","70.00","10.06","1.34","88.22","71","8","89.87","29","4","87.88","4","1","80.00","42","4","91.30","2","1","66.67","91","4","95.79","1","0","100.00","9.33","75.00","0.843","31","11","3","84","91.18","57","14","5","91.94"
"372","Timo Meier","N.J","R","62","141","248","31","88.89","174","31","84.88","131","24","84.52","21","2","91.30","19.02","2.04","90.30","131","17","88.51","58","6","90.63","9","1","90.00","73","11","86.90","9","1","90.00","166","4","97.65","3","0","100.00","16.03","91.67","1.077","63","10","2","61","96.92","115","20","7","94.26"
"649","Samuel Fagemo","L.A, NSH","L","8","10","16","2","88.89","14","2","87.50","13","2","86.67","2","0","100.00","1.66","0.04","97.71","11","0","100.00","4","0","100.00","1","0","100.00","7","0","100.00","1","0","100.00","10","1","90.91","0","0","-","15.38","100.00","1.154","4","1","0","7","100.00","10","1","0","100.00"
"727","Daemon Hunt","MIN","D","12","5.25","8","1","88.89","7","1","87.50","4","1","80.00","0","1","0.00","0.45","0.15","74.47","3","1","75.00","1","0","100.00","0","0","-","2","1","66.67","0","1","0.00","6","0","100.00","0","0","-","0.00","0.00","0.000","0","0","0","7","-","1","1","0","100.00"
"748","Brendan Brisson","VGK","C","13","14.15","16","2","88.89","13","2","86.67","10","2","83.33","2","1","66.67","1.2","0.23","84.06","10","2","83.33","5","1","83.33","1","1","50.00","5","1","83.33","1","0","100.00","6","1","85.71","0","0","-","20.00","50.00","0.700","2","5","2","10","50.00","4","5","2","66.67"
"775","Matty Beniers","SEA","C","69","167.7","280","35","88.89","183","30","85.92","107","23","82.31","15","2","88.24","17.63","1.67","91.35","151","12","92.64","61","5","92.42","9","1","90.00","90","7","92.78","6","0","100.00","197","14","93.36","0","1","0.00","14.02","91.30","1.053","79","17","2","55","97.53","140","26","4","97.22"
"311","Nikolaj Ehlers","WPG","L","75","169","279","35","88.85","195","30","86.67","130","21","86.09","6","0","100.00","19.5","1.74","91.79","140","16","89.74","63","6","91.30","5","0","100.00","77","10","88.51","0","0","-","197","13","93.81","1","0","100.00","4.62","100.00","1.046","70","18","5","64","93.33","152","24","9","94.41"
"52","Steven Stamkos","T.B","C","71","260.2","515","65","88.79","392","56","87.50","278","42","86.88","53","4","92.98","40.26","5.39","88.19","296","32","90.24","105","18","85.37","16","3","84.21","191","14","93.17","21","1","95.45","344","19","94.77","16","0","100.00","19.06","90.48","1.095","127","17","1","11","99.22","252","38","7","97.30"
