"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"43","David Perron","DET","L","76","1187.8","17","30","17","13","47","59.49","151","11.26","17.16","261","200","141","50","11","18","45","21","20","1","0","10","12","31","98","61","27","16","18","47.06"
"44","Patrick Kane","DET","R","50","918.81666666667","20","27","18","9","47","74.60","147","13.61","12.53","266","194","132","41","1","19","16","7","7","0","0","10","30","14","14","26","13","0","0","-"
"198","Brady Skjei","CAR","D","80","1702.25","13","34","16","18","47","52.22","185","7.03","8.74","432","282","112","17","8","34","40","20","20","0","0","13","36","44","60","80","90","0","0","-"
"296","Max Domi","TOR","C","80","1102.8","9","38","23","15","47","61.04","137","6.57","11.86","253","190","117","48","12","19","118","34","24","6","4","19","42","26","47","67","22","226","226","50.00"
"375","Noah Hanifin","CGY, VGK","D","80","1889.1166666667","13","34","19","15","47","41.96","164","7.93","11.43","413","268","108","19","11","36","24","12","12","0","0","7","67","59","52","87","121","0","0","-"
"462","Charlie McAvoy","BOS","D","74","1838.6","12","35","16","19","47","43.93","133","9.02","9.19","288","198","114","23","6","25","76","31","28","2","1","32","57","29","145","168","159","0","0","-"
"699","Dylan Cozens","BUF","C","79","1360.8166666667","18","29","22","7","47","65.28","200","9.00","22.75","367","262","203","82","13","42","42","14","11","2","1","20","36","28","93","95","27","522","624","45.55"
"723","Thomas Harley","DAL","D","78","1635.3166666667","15","32","14","18","47","47.00","144","10.42","7.66","341","208","123","14","5","29","18","9","9","0","0","8","59","37","61","152","134","0","0","-"
"839","Luke Hughes","N.J","D","82","1760.8333333333","9","38","16","22","47","43.93","135","6.67","6.99","401","199","122","11","6","33","28","14","14","0","0","23","69","42","19","121","55","0","0","-"
"130","Jeff Skinner","BUF","L","74","1183.7166666667","24","22","13","9","46","62.16","211","11.37","23.52","412","295","229","81","7","48","34","13","12","0","1","17","33","37","22","45","13","52","72","41.94"
"383","Vince Dunn","SEA","D","59","1362.1333333333","11","35","19","16","46","58.23","120","9.17","6.78","328","172","110","11","4","33","78","24","19","2","3","15","34","30","34","61","64","0","0","-"
"788","Brock Faber","MIN","D","81","2022.1666666667","7","39","18","21","46","42.59","133","5.26","7.33","290","183","87","14","3","24","26","13","13","0","0","6","35","15","57","120","150","0","0","-"
"81","Brayden Schenn","STL","C","81","1437.95","20","25","17","8","45","55.56","169","11.83","22.88","325","258","193","79","11","26","56","22","18","4","0","19","38","58","150","77","50","453","463","49.45"
"122","Nick Bjugstad","ARI","C","76","1325.8","22","23","12","11","45","60.00","166","13.25","20.33","297","246","161","82","13","29","59","24","22","1","1","16","34","32","110","72","48","617","636","49.24"
"337","Ivan Barbashev","VGK","C","81","1302.7","19","26","19","7","45","52.94","121","15.70","16.89","235","179","179","82","4","32","42","17","15","2","0","23","37","28","157","79","43","37","50","42.53"
"396","Tommy Novak","NSH","C","71","1008.2166666667","18","27","13","14","45","70.31","113","15.93","14.4","240","181","148","56","8","25","8","4","4","0","0","14","25","48","3","104","31","211","289","42.20"
"427","Anthony Cirelli","T.B","C","79","1462.9833333333","20","25","13","12","45","51.72","129","15.50","17.72","241","188","151","88","10","29","38","15","14","0","1","28","24","48","53","103","75","461","474","49.30"
"436","Conor Garland","VAN","R","81","1176.0166666667","19","26","18","8","45","66.18","199","9.55","20.3","357","274","188","86","12","31","35","12","10","1","1","24","9","50","45","113","34","2","8","20.00"
"836","William Eklund","S.J","L","79","1474.5166666667","16","29","16","13","45","62.50","128","12.50","19.5","271","205","164","79","8","33","28","14","14","0","0","18","23","24","30","48","72","71","158","31.00"
"901","Andrei Kuzmenko","CGY, VAN","L","71","1054.7166666667","22","23","12","11","45","51.72","118","18.64","18.63","260","193","177","94","4","39","12","5","5","0","0","15","23","26","9","72","17","1","0","100.00"
"59","Jordan Eberle","SEA","R","77","1343.2833333333","17","27","18","9","44","56.41","165","10.30","22.79","306","239","184","101","13","32","15","6","5","1","0","11","20","59","28","80","23","31","42","42.47"
"80","Evander Kane","EDM","L","77","1291.8166666667","24","20","12","8","44","68.75","220","10.91","30.02","427","320","241","127","22","43","85","29","24","3","2","18","41","25","236","134","29","35","38","47.95"
"94","Mattias Ekholm","EDM","D","78","1639.65","11","33","22","11","44","40.37","175","6.29","10.43","354","244","121","26","5","28","45","21","20","1","0","16","58","39","127","117","93","0","0","-"
"184","Phillip Danault","L.A","C","77","1387.3833333333","17","27","18","9","44","60.27","157","10.83","17.56","274","217","164","77","8","36","18","9","9","0","0","15","37","22","68","56","59","590","553","51.62"
"241","Alex Kerfoot","ARI","C","81","1409.8666666667","13","31","21","10","44","67.69","104","12.50","17.65","194","162","127","84","4","17","26","13","13","0","0","17","26","41","68","114","76","403","440","47.81"
"267","Nicholas Paul","T.B","L","81","1393.2666666667","23","21","12","9","44","41.12","149","15.44","23.34","280","217","174","96","12","28","27","12","11","1","0","13","24","35","85","96","42","517","443","53.85"
"274","Ryan Hartman","MIN","R","73","1205.6666666667","21","23","12","11","44","62.86","173","12.14","20.33","345","263","182","89","12","21","72","28","26","0","2","26","37","39","63","57","64","368","414","47.06"
"302","Anthony Mantha","VGK, WSH","R","74","1052.5833333333","23","21","11","10","44","65.67","112","20.54","13.69","218","162","126","68","9","19","25","10","9","1","0","9","22","23","52","40","31","3","8","27.27"
"327","Travis Sanheim","PHI","D","81","1928.3833333333","10","34","17","17","44","50.00","146","6.85","9.38","320","214","123","38","8","25","48","24","24","0","0","17","47","37","84","154","149","0","0","-"
"873","Logan Cooley","ARI","C","81","1281.8166666667","20","24","18","6","44","68.75","151","13.25","16.53","284","217","149","57","10","21","18","9","9","0","0","26","50","30","45","132","27","257","419","38.02"
"4","Brent Burns","CAR","D","82","1763.0666666667","10","33","14","19","43","35.83","185","5.41","8.7","536","300","130","12","10","56","18","9","9","0","0","7","56","35","33","33","87","0","0","-"
"283","Tyler Bertuzzi","TOR","L","79","1269.6666666667","21","22","13","9","43","53.75","159","13.21","24.64","306","238","201","123","9","28","53","21","19","1","1","23","45","44","94","119","44","4","9","30.77"
"290","Elias Lindholm","CGY, VAN","C","74","1459.6","14","29","14","15","43","62.32","170","8.24","20.32","304","246","164","79","9","26","25","11","10","1","0","13","30","40","76","56","61","743","576","56.33"
"412","Daniel Sprong","DET","R","76","912.03333333333","18","25","14","11","43","74.14","160","11.25","14.25","299","232","143","38","11","25","22","11","11","0","0","11","26","16","27","34","15","8","4","66.67"
"587","Fabian Zetterlund","S.J","L","81","1526.3666666667","23","20","17","3","43","48.86","200","11.50","23.51","417","303","219","88","9","27","33","15","14","1","0","14","31","43","95","70","71","28","57","32.94"
"165","Brandon Saad","STL","L","81","1256.1","26","16","7","9","42","65.63","139","18.71","19.45","241","195","166","78","15","18","20","10","10","0","0","11","17","33","13","35","16","12","16","42.86"
