"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"95","Craig Smith","DAL","C","69","5.45","0.078985507246377","33.03","55.05","37.50","22.02","55.05","28.57","22.02","44.04","33.33","0","0","-","2.5","2.87","46.58","22.02","33.03","40.00","0","0","-","0","0","-","29.36","44.04","40.00","0","0","-","79.51","15.9","83.33","0","0","-","0.00","100.00","1.000","55.05","33.03","0","165.14","100.00","55.05","33.03","11.01","83.33"
"364","Jonas Siegenthaler","N.J","D","50","3.3333333333333","0.066666666666667","72","54","57.14","18","54","25.00","18","36","33.33","0","0","-","2.74","3.51","43.82","18","18","50.00","18","18","50.00","0","0","-","0","0","-","0","0","-","78","52","60.00","0","0","-","0.00","100.00","1.000","18","72","18","180","50.00","18","72","18","50.00"
"380","Keegan Kolesar","VGK","R","71","3.3666666666667","0.047417840375587","17.82","53.47","25.00","17.82","35.64","33.33","17.82","35.64","33.33","17.82","0","100.00","2.2","6.65","24.81","17.82","35.64","33.33","17.82","35.64","33.33","17.82","0","100.00","0","0","-","0","0","-","25.74","77.23","25.00","0","0","-","100.00","100.00","2.000","53.47","53.47","17.82","124.75","75.00","53.47","53.47","53.47","50.00"
"20","Ryan Reaves","TOR","R","43","2.3333333333333","0.054263565891473","77.14","51.43","60.00","51.43","51.43","50.00","51.43","25.71","66.67","0","25.71","0.00","4.92","1.81","73.09","25.71","25.71","50.00","0","0","-","0","0","-","34.29","34.29","50.00","0","34.29","0.00","185.71","37.14","83.33","0","0","-","0.00","0.00","0.000","51.43","51.43","0","102.86","100.00","102.86","51.43","0","100.00"
"644","Jake Christiansen","CBJ","D","12","1.1666666666667","0.097222222222222","51.43","51.43","50.00","51.43","51.43","50.00","0","51.43","0.00","0","51.43","0.00","2.67","7.78","25.54","0","51.43","0.00","0","51.43","0.00","0","51.43","0.00","0","0","-","0","0","-","148.57","0","100.00","0","0","-","-","0.00","0.00","0","0","0","0","-","51.43","0","0","100.00"
"828","Uvis Balinskis","FLA","D","22","2.4166666666667","0.10984848484848","49.66","49.66","50.00","24.83","49.66","33.33","24.83","24.83","50.00","0","0","-","2.93","0.6","82.99","24.83","0","100.00","0","0","-","0","0","-","33.1","0","100.00","0","0","-","107.59","35.86","75.00","0","0","-","0.00","100.00","1.000","124.14","0","0","173.79","100.00","124.14","0","0","100.00"
"290","Curtis Lazar","N.J","C","69","4.95","0.071739130434783","72.73","48.48","60.00","48.48","48.48","50.00","48.48","48.48","50.00","0","12.12","0.00","2.45","5.85","29.52","12.12","48.48","20.00","0","48.48","0.00","0","12.12","0.00","16.16","0","100.00","0","0","-","157.58","17.51","90.00","0","0","-","0.00","75.00","0.750","121.21","72.73","12.12","193.94","90.91","133.33","96.97","12.12","91.67"
"245","Tyler Motte","T.B","C","64","3.8","0.059375","0","47.37","0.00","0","31.58","0.00","0","31.58","0.00","0","0","-","0","4.3","0.00","0","15.79","0.00","0","0","-","0","0","-","0","21.05","0.00","0","0","-","0","68.42","0.00","0","0","-","-","100.00","1.00","0","63.16","15.79","126.32","0.00","0","63.16","15.79","0.00"
"531","Jack Studnicka","S.J, VAN","C","14","2.5333333333333","0.18095238095238","94.74","47.37","66.67","47.37","47.37","50.00","47.37","47.37","50.00","23.68","0","100.00","4.88","10.2","32.36","47.37","47.37","50.00","0","47.37","0.00","0","0","-","63.16","0","100.00","31.58","0","100.00","136.84","0","100.00","0","0","-","50.00","100.00","1.500","47.37","47.37","0","71.05","100.00","47.37","71.05","0","100.00"
"208","Radek Faksa","DAL","C","67","3.85","0.057462686567164","0","46.75","0.00","0","46.75","0.00","0","31.17","0.00","0","0","-","0","2.02","0.00","0","15.58","0.00","0","0","-","0","0","-","0","20.78","0.00","0","0","-","90.04","22.51","80.00","0","0","-","-","100.00","1.00","62.34","46.75","15.58","218.18","80.00","77.92","46.75","15.58","83.33"
"27","Cal Clutterbuck","NYI","R","75","3.9","0.052","15.38","46.15","25.00","15.38","46.15","25.00","15.38","30.77","33.33","0","0","-","1.52","3.15","32.59","0","15.38","0.00","0","0","-","0","0","-","0","20.51","0.00","0","0","-","88.89","0","100.00","0","0","-","0.00","100.00","1.000","76.92","0","0","246.15","100.00","92.31","0","0","100.00"
"103","Nick Jensen","WSH","D","72","4.2","0.058333333333333","57.14","42.86","57.14","42.86","42.86","50.00","42.86","14.29","75.00","0","0","-","6.55","4.98","56.80","28.57","28.57","50.00","28.57","14.29","66.67","0","0","-","0","19.05","0.00","0","0","-","41.27","0","100.00","0","0","-","0.00","100.00","1.000","57.14","57.14","0","314.29","100.00","57.14","57.14","0","100.00"
"187","Luke Glendening","T.B","C","74","2.8166666666667","0.038063063063063","0","42.6","0.00","0","21.3","0.00","0","21.3","0.00","0","0","-","0","4.43","0.00","0","21.3","0.00","0","0","-","0","0","-","0","28.4","0.00","0","0","-","0","30.77","0.00","0","0","-","-","100.00","1.00","21.3","85.21","0","213.02","100.00","21.3","85.21","0","100.00"
"87","Brayden McNabb","VGK","D","74","4.25","0.057432432432432","98.82","42.35","70.00","70.59","28.24","71.43","70.59","28.24","71.43","14.12","0","100.00","11.75","4.07","74.28","28.24","28.24","50.00","14.12","14.12","50.00","0","0","-","18.82","18.82","50.00","0","0","-","61.18","0","100.00","0","0","-","20.00","100.00","1.200","42.35","28.24","0","310.59","100.00","42.35","28.24","0","100.00"
"125","Austin Watson","T.B","L","30","2.85","0.095","21.05","42.11","33.33","21.05","42.11","33.33","21.05","42.11","33.33","0","0","-","1.33","3.49","27.58","0","21.05","0.00","0","0","-","0","0","-","0","28.07","0.00","0","0","-","30.41","0","100.00","0","0","-","0.00","100.00","1.000","42.11","0","0","63.16","100.00","42.11","0","0","100.00"
"687","Jayden Struble","MTL","D","49","4.2833333333333","0.087414965986395","14.01","42.02","25.00","14.01","42.02","25.00","0","42.02","0.00","0","0","-","0.59","5.72","9.29","0","28.02","0.00","0","28.02","0.00","0","0","-","0","0","-","0","0","-","20.23","20.23","50.00","0","0","-","-","100.00","1.00","14.01","0","0","196.11","100.00","14.01","0","0","100.00"
"562","Jacob Peterson","S.J","C","6","2.8833333333333","0.48055555555556","83.24","41.62","66.67","41.62","20.81","66.67","20.81","20.81","50.00","20.81","0","100.00","6.84","0.44","93.94","20.81","20.81","50.00","20.81","20.81","50.00","0","0","-","0","0","-","0","0","-","60.12","30.06","66.67","30.06","0","100.00","100.00","100.00","2.000","41.62","20.81","20.81","20.81","66.67","41.62","20.81","20.81","66.67"
