"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"672","Rafael Harvey-Pinard","MTL","L","37","466.53333333333","1","7","6","1","8","66.67","23","4.35","5.02","54","42","39","25","1","8","6","3","3","0","0","5","10","5","34","21","39","13","25","34.21"
"695","Trevor Zegras","ANA","C","24","408","4","4","1","3","8","61.54","56","7.14","5.84","110","84","57","24","2","9","30","10","9","0","1","4","13","14","11","23","13","43","61","41.35"
"698","Nikita Okhotiuk","CGY, S.J","D","48","770.61666666667","1","7","4","3","8","38.10","50","2.00","2.75","128","85","33","7","3","10","44","14","12","0","2","3","30","11","111","46","76","0","0","-"
"722","Jayden Struble","MTL","D","49","773.33333333333","3","5","2","3","8","28.57","41","7.32","2","105","58","29","6","1","6","47","14","11","1","2","9","28","21","94","58","48","0","0","-"
"848","Ryker Evans","SEA","D","28","521.35","1","7","7","0","8","44.44","32","3.13","1.38","78","49","15","2","1","6","12","6","6","0","0","4","5","6","42","50","29","0","0","-"
"147","Michael Sgarbossa","WSH","C","22","250.15","4","3","3","0","7","63.64","26","15.38","3.36","43","37","32","14","1","3","2","1","1","0","0","5","9","8","14","26","3","57","68","45.60"
"233","Andreas Athanasiou","CHI","C","21","275.95","0","7","4","3","7","63.64","36","0.00","2.53","66","47","23","11","1","6","5","1","0","1","0","5","6","13","6","10","11","46","59","43.81"
"250","Kyle Burroughs","S.J","D","65","1249.2166666667","1","6","3","3","7","17.50","69","1.45","3.41","175","107","39","7","3","16","67","29","26","3","0","14","13","26","179","107","119","0","0","-"
"256","Josh Brown","ARI","D","43","617.75","1","6","3","3","7","25.93","34","2.94","1.59","64","45","15","3","2","8","69","19","12","5","2","12","7","6","76","53","73","0","0","-"
"342","Christian Dvorak","MTL","C","25","398.51666666667","3","4","3","1","7","63.64","32","9.38","3.98","57","41","29","14","0","5","4","2","2","0","0","1","12","9","8","17","15","169","113","59.93"
"363","Sammy Blais","STL","L","47","447.75","1","6","5","1","7","77.78","28","3.57","3.03","56","40","36","20","2","4","29","9","7","1","1","9","13","13","147","45","19","2","7","22.22"
"405","Noah Juulsen","VAN","D","53","785.95","1","6","3","3","7","29.17","28","3.57","1.24","100","54","23","4","4","11","22","11","11","0","0","7","17","8","148","108","85","0","0","-"
"421","Dennis Gilbert","CGY","D","33","408.75","1","6","0","6","7","63.64","23","4.35","0.84","52","37","13","1","1","5","16","5","3","2","0","6","10","5","53","38","49","0","0","-"
