"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"339","Max Willman","N.J","C","18","0.033333333333333","0.0018518518518519","0","1800","0.00","0","1800","0.00","0","1800","0.00","0","0","-","0","84.36","0.00","0","1800","0.00","0","0","-","0","0","-","0","2400","0.00","0","0","-","0","2600","0.00","0","0","-","-","100.00","1.00","0","0","1800","0","0.00","0","0","1800","0.00"
"236","Dominik Kubalik","OTT","L","70","0.066666666666667","0.00095238095238095","0","900","0.00","0","900","0.00","0","900","0.00","0","900","0.00","0","46.28","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1300","0.00","0","1300","0.00","-","0.00","0.00","0","0","0","1800","-","0","0","0","-"
"624","Joe Snively","WSH","C","3","0.21666666666667","0.072222222222222","0","553.85","0.00","0","553.85","0.00","0","276.92","0.00","0","0","-","0","83.73","0.00","0","553.85","0.00","0","0","-","0","0","-","0","738.46","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","276.92","0","0.00","0","0","276.92","0.00"
"122","Austin Watson","T.B","L","30","0.11666666666667","0.0038888888888889","0","514.29","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","742.86","0.00","0","0","-","-","-","-","0","0","0","514.29","-","0","0","0","-"
"468","Jacob MacDonald","S.J","D","30","0.75","0.025","0","400","0.00","0","320","0.00","0","160","0.00","0","0","-","0","32.09","0.00","0","320","0.00","0","160","0.00","0","0","-","0","213.33","0.00","0","0","-","0","346.67","0.00","0","0","-","-","100.00","1.00","80","0","160","0","33.33","80","0","160","33.33"
"642","Bobby Brink","PHI","R","51","0.5","0.0098039215686275","0","360","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","120","0.00","0","0","-","0","0","-","0","160","0.00","0","0","-","0","346.67","0.00","0","0","-","-","-","-","0","0","0","120","-","0","0","0","-"
"711","Cole Perfetti","WPG","C","67","0.16666666666667","0.0024875621890547","0","360","0.00","0","360","0.00","0","0","-","0","0","-","0","16.66","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","520","0.00","0","0","-","-","-","-","0","0","0","360","-","0","0","0","-"
"743","Logan Stankoven","DAL","C","17","0.16666666666667","0.0098039215686275","360","360","50.00","360","360","50.00","360","0","100.00","360","0","100.00","31.51","11.46","73.33","360","0","100.00","360","0","100.00","360","0","100.00","0","0","-","0","0","-","0","520","0.00","0","0","-","100.00","-","1.00","0","0","0","720","-","0","0","0","-"
"716","Shakir Mukhamadullin","S.J","D","3","0.18333333333333","0.061111111111111","0","327.27","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","945.45","0.00","0","0","-","-","-","-","0","0","327.27","0","0.00","0","0","327.27","0.00"
"636","Nils Hoglander","VAN","L","72","0.38333333333333","0.0053240740740741","0","313.04","0.00","0","313.04","0.00","0","0","-","0","0","-","0","33.8","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","452.17","0.00","0","0","-","-","-","-","0","0","0","156.52","-","0","0","0","-"
"722","Adam Raska","MIN","R","5","0.4","0.08","0","300","0.00","0","300","0.00","0","300","0.00","0","0","-","0","15.38","0.00","0","300","0.00","0","0","-","0","0","-","0","400","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","150","-","0","0","0","-"
"733","Daniil Miromanov","CGY, VGK","D","16","1.2","0.075","0","300","0.00","0","200","0.00","0","150","0.00","0","50","0.00","0","18.67","0.00","0","200","0.00","0","150","0.00","0","0","-","0","66.67","0.00","0","0","-","0","72.22","0.00","0","72.22","0.00","-","66.67","0.67","0","0","0","100","-","0","0","50","0.00"
"262","Robert Hagg","ANA","D","5","0.65","0.13","0","276.92","0.00","0","184.62","0.00","0","92.31","0.00","0","0","-","0","14.72","0.00","0","276.92","0.00","0","0","-","0","0","-","0","369.23","0.00","0","0","-","0","133.33","0.00","0","0","-","-","100.00","1.00","0","0","92.31","92.31","0.00","0","0","92.31","0.00"
"255","Andre Burakovsky","SEA","L","41","0.7","0.017073170731707","85.71","257.14","25.00","85.71","85.71","50.00","85.71","85.71","50.00","0","85.71","0.00","2.87","42.08","6.39","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","123.81","123.81","50.00","0","0","-","0.00","0.00","0.000","0","0","0","85.71","-","0","0","0","-"
"221","Dominic Toninato","WPG","C","15","0.71666666666667","0.047777777777778","0","251.16","0.00","0","167.44","0.00","0","83.72","0.00","0","0","-","0","12.8","0.00","0","83.72","0.00","0","83.72","0.00","0","0","-","0","0","-","0","0","-","0","483.72","0.00","0","0","-","-","100.00","1.00","0","0","167.44","0","0.00","0","0","167.44","0.00"
"535","Calle Rosen","STL","D","6","0.48333333333333","0.080555555555556","0","248.28","0.00","0","248.28","0.00","0","248.28","0.00","0","0","-","0","13.6","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","358.62","0.00","0","0","-","-","100.00","1.00","0","0","0","124.14","-","0","0","0","-"
"631","Kirby Dach","MTL","C","2","0.25","0.125","0","240","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","346.67","0.00","0","0","-","-","-","-","0","0","240","240","0.00","0","0","240","0.00"
"168","Mark Scheifele","WPG","C","68","3.25","0.047794117647059","0","221.54","0.00","0","184.62","0.00","0","92.31","0.00","0","0","-","0","17.53","0.00","0","110.77","0.00","0","36.92","0.00","0","0","-","0","98.46","0.00","0","0","-","53.33","240","18.18","0","0","-","-","100.00","1.00","55.38","36.92","92.31","276.92","37.50","55.38","55.38","92.31","37.50"
"242","Jonny Brodzinski","NYR","C","53","0.28333333333333","0.0053459119496855","0","211.76","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","305.88","0.00","0","0","-","-","-","-","0","0","0","423.53","-","0","0","0","-"
"124","Chris Wagner","COL","R","10","4.35","0.435","13.79","193.1","6.67","0","165.52","0.00","0","124.14","0.00","0","13.79","0.00","0","24.11","0.00","0","110.34","0.00","0","68.97","0.00","0","13.79","0.00","0","55.17","0.00","0","0","-","19.92","219.16","8.33","0","0","-","-","88.89","0.89","0","0","179.31","0","0.00","0","0","179.31","0.00"
"712","Brendan Brisson","VGK","C","13","0.63333333333333","0.048717948717949","0","189.47","0.00","0","189.47","0.00","0","94.74","0.00","0","0","-","0","9.31","0.00","0","94.74","0.00","0","0","-","0","0","-","0","126.32","0.00","0","0","-","0","136.84","0.00","0","0","-","-","100.00","1.00","0","0","0","94.74","-","0","0","0","-"
