"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"582","Fabian Zetterlund","S.J","L","74","1162.0166666667","15","9","8","1","24","46.15","150","10.00","16.23","311","225","162","62","8","21","27","12","11","1","0","14","24","33","82","63","65","19","38","33.33"
"592","Nick Perbix","T.B","D","71","1162.8333333333","2","22","9","13","24","39.34","53","3.77","2.07","140","81","31","4","1","17","10","5","5","0","0","10","25","27","57","89","102","0","0","-"
"716","Connor McMichael","WSH","C","72","963.05","14","10","8","2","24","75.00","109","12.84","15.71","211","165","133","64","6","18","28","14","14","0","0","13","25","28","30","44","31","294","390","42.98"
"791","Cole Perfetti","WPG","C","67","763.13333333333","12","12","11","1","24","63.16","106","11.32","9.93","175","137","92","54","6","19","10","5","5","0","0","3","10","15","22","51","22","26","53","32.91"
"808","Artem Zub","OTT","D","61","1107.9166666667","4","20","11","9","24","40.68","76","5.26","4.08","167","116","34","5","3","21","28","14","14","0","0","6","24","13","102","92","81","0","0","-"
"827","Owen Power","BUF","D","70","1357.4","6","18","8","10","24","32.00","80","7.50","5.41","180","126","69","16","3","17","26","9","8","0","1","1","28","18","35","89","82","0","0","-"
"886","Zach Benson","BUF","L","65","832.16666666667","9","15","8","7","24","68.57","77","11.69","11.6","146","113","99","56","5","12","34","17","17","0","0","12","16","27","26","77","31","4","9","30.77"
"888","Adam Fantilli","CBJ","C","49","656.65","11","13","9","4","24","77.42","92","11.96","9.03","198","135","93","27","5","27","14","7","7","0","0","12","14","17","44","40","25","155","203","43.30"
"43","David Perron","DET","L","69","850.85","8","15","7","8","23","62.16","92","8.70","9.03","149","119","79","31","9","12","38","19","19","0","0","10","9","26","91","48","22","14","8","63.64"
"54","Alex Pietrangelo","VGK","D","63","1162.3666666667","4","19","10","9","23","34.33","116","3.45","4.84","251","163","61","15","6","20","20","6","5","0","1","8","31","38","36","99","126","0","0","-"
"57","Tyler Myers","VAN","D","69","1135.9833333333","3","20","10","10","23","41.07","71","4.23","3.6","176","120","37","7","3","23","61","24","22","1","1","6","25","8","67","66","101","0","0","-"
"73","Marcus Johansson","MIN","L","70","943.61666666667","9","14","6","8","23","63.89","79","11.39","7.78","184","123","91","34","6","14","16","8","8","0","0","12","23","20","34","60","24","5","19","20.83"
"178","Jonas Brodin","MIN","D","54","1071.9166666667","7","16","6","10","23","39.66","90","7.78","4.74","193","129","62","18","5","11","14","7","7","0","0","5","17","20","13","75","99","0","0","-"
"192","Yanni Gourde","SEA","C","72","1080.2666666667","8","15","10","5","23","62.16","128","6.25","16.52","248","187","139","65","10","25","58","22","19","2","1","16","23","43","109","92","39","405","445","47.65"
"216","Esa Lindell","DAL","D","75","1250.95","5","18","7","11","23","34.33","85","5.88","4.15","207","126","73","12","5","17","12","6","6","0","0","2","29","22","59","141","106","0","0","-"
"223","Jimmy Vesey","NYR","L","73","805.33333333333","13","10","5","5","23","76.67","94","13.83","13.47","168","134","89","48","14","17","15","6","5","1","0","6","17","24","60","28","22","8","11","42.11"
"341","Ryan Donato","CHI","C","71","854.8","10","13","9","4","23","71.88","118","8.47","11.8","191","150","107","57","14","17","22","8","6","2","0","16","22","39","83","72","20","77","96","44.51"
"369","Darren Raddysh","T.B","D","74","1297.9333333333","5","18","5","13","23","35.94","87","5.75","3.6","208","135","59","11","3","18","19","8","7","1","0","13","21","12","62","111","82","0","0","-"
"600","Sean Walker","COL, PHI","D","74","1230.8666666667","7","16","7","9","23","34.85","120","5.83","6.17","250","167","72","17","12","23","38","18","18","0","0","4","20","29","72","118","99","0","0","-"
"608","Kiefer Sherwood","NSH","L","61","696.45","9","14","9","5","23","67.65","88","10.23","8.62","177","135","80","34","9","11","39","15","12","3","0","17","16","29","191","68","18","14","15","48.28"
"617","Ryan McLeod","EDM","C","72","898.4","12","11","9","2","23","65.71","86","13.95","10.12","159","130","92","44","6","14","10","5","5","0","0","7","36","47","56","86","24","275","267","50.74"
"765","Jake Neighbours","STL","L","75","993.23333333333","18","5","5","0","23","57.50","105","17.14","14.19","176","144","121","67","5","11","15","6","5","1","0","16","16","36","119","111","43","8","15","34.78"
