"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"165","Nikita Kucherov","T.B","R","73","290.1","12","35","21","14","47","82.46","73","16.44","8.59","137","108","40","9","0","10","6","3","3","0","0","2","18","5","1","4","0","0","0","-"
"275","Nathan MacKinnon","COL","C","75","347.01666666667","10","34","16","18","44","72.13","111","9.01","10.78","188","147","78","8","0","9","0","0","0","0","0","4","16","2","2","8","0","48","39","55.17"
"367","Connor McDavid","EDM","C","71","237.9","7","35","23","12","42","77.78","53","13.21","8.18","89","66","59","17","0","8","8","4","4","0","0","3","8","3","3","19","0","15","18","45.45"
"374","Mikko Rantanen","COL","R","75","357.03333333333","14","26","16","10","40","64.52","77","18.18","11.76","153","114","87","28","1","9","2","1","1","0","0","1","13","0","6","17","1","89","63","58.55"
"414","Artemi Panarin","NYR","L","75","267.46666666667","10","28","15","13","38","73.08","75","13.33","6.4","171","102","57","5","0","11","2","1","1","0","0","1","12","1","2","3","3","0","1","0.00"
"307","Leon Draisaitl","EDM","C","73","245.56666666667","19","18","9","9","37","68.52","80","23.75","12.4","144","115","72","22","0","9","6","3","3","0","0","1","9","3","1","11","0","149","112","57.09"
"176","J.T. Miller","VAN","C","74","275.51666666667","10","26","19","7","36","78.26","60","16.67","10.7","115","92","66","46","1","11","0","0","0","0","0","1","4","3","4","9","1","138","75","64.79"
"52","Steven Stamkos","T.B","C","71","260.2","16","19","8","11","35","66.04","98","16.33","11.12","161","129","80","9","0","15","0","0","0","0","0","1","7","1","2","7","1","54","43","55.67"
"423","Kirill Kaprizov","MIN","L","67","278.91666666667","14","21","14","7","35","83.33","83","16.87","14.39","174","128","104","41","1","26","4","2","2","0","0","1","8","3","0","8","1","0","0","-"
"544","Cale Makar","COL","D","70","296.4","7","28","14","14","35","67.31","66","10.61","5.68","163","105","52","3","2","11","4","2","2","0","0","2","6","2","1","2","5","0","0","-"
"310","William Nylander","TOR","R","74","246.86666666667","11","23","11","12","34","79.07","76","14.47","8.83","143","103","74","25","0","13","2","1","1","0","0","0","10","2","0","10","1","0","0","-"
"591","Evan Bouchard","EDM","D","73","250.16666666667","7","27","12","15","34","62.96","54","12.96","4","117","71","32","1","0","8","2","1","1","0","0","0","5","6","2","3","4","0","0","-"
"306","Sam Reinhart","FLA","C","76","277.43333333333","27","6","3","3","33","67.35","72","37.50","16.18","137","112","120","72","1","15","6","3","3","0","0","0","1","2","1","12","1","33","45","42.31"
"323","David Pastrnak","BOS","R","76","290.8","12","21","9","12","33","73.33","93","12.90","9.3","182","128","75","10","1","13","4","2","2","0","0","1","16","3","4","20","1","0","3","0.00"
"588","Quinn Hughes","VAN","D","74","289.25","2","30","14","16","32","69.57","39","5.13","2.92","112","60","39","1","0","9","6","3","3","0","0","4","5","5","5","7","2","0","0","-"
"438","Matthew Tkachuk","FLA","L","74","292.21666666667","5","26","17","9","31","62.00","91","5.49","14.61","147","123","96","70","1","18","4","2","2","0","0","1","12","1","1","4","0","0","2","0.00"
"530","Nick Suzuki","MTL","C","74","283.35","12","19","10","9","31","83.78","49","24.49","6.63","75","63","48","18","1","7","4","1","1","0","0","2","9","2","2","14","0","84","56","60.00"
"675","Jack Hughes","N.J","C","59","226.01666666667","9","22","13","9","31","73.81","63","14.29","6.87","128","78","50","12","0","12","2","1","1","0","0","2","11","3","1","11","0","18","18","50.00"
"60","Roman Josi","NSH","D","75","293.36666666667","8","22","12","10","30","73.17","55","14.55","5.29","125","82","50","6","0","4","2","1","1","0","0","0","8","0","1","11","4","0","0","-"
"377","Sebastian Aho","CAR","C","72","213.56666666667","9","21","12","9","30","76.92","51","17.65","5.92","80","59","40","14","0","8","4","2","2","0","0","0","9","4","0","4","1","121","70","63.35"
"109","Mats Zuccarello","MIN","R","64","252.66666666667","5","24","15","9","29","72.50","62","8.06","5.2","108","76","48","9","0","20","4","2","2","0","0","2","9","1","0","9","2","0","0","-"
"312","Kevin Fiala","L.A","L","74","224.86666666667","11","18","6","12","29","82.86","47","23.40","7.29","101","74","56","13","0","7","14","3","2","0","1","0","8","3","3","8","1","0","0","-"
"334","Brayden Point","T.B","C","73","262.38333333333","14","15","9","6","29","56.86","54","25.93","10.68","104","78","100","51","0","17","4","2","2","0","0","0","5","2","1","4","3","16","27","37.21"
"444","Adam Fox","NYR","D","65","230.8","5","24","7","17","29","65.91","32","15.63","2.94","65","42","22","2","0","6","8","4","4","0","0","3","6","3","1","3","5","0","0","-"
"527","Elias Pettersson","VAN","C","74","279.33333333333","12","17","6","11","29","63.04","65","18.46","8.35","124","94","47","14","0","9","2","1","1","0","0","1","9","1","2","8","0","26","17","60.47"
"77","Victor Hedman","T.B","D","71","244.83333333333","4","24","9","15","28","59.57","36","11.11","2.98","85","50","35","1","0","8","4","2","2","0","0","0","7","2","3","1","3","0","0","-"
"276","Aleksander Barkov","FLA","C","67","227.73333333333","5","23","11","12","28","70.00","53","9.43","6.09","92","73","47","16","0","4","0","0","0","0","0","0","5","1","4","11","2","125","74","62.81"
"8","Alex Ovechkin","WSH","L","71","334.71666666667","12","15","8","7","27","60.00","100","12.00","9.69","218","134","63","14","0","23","6","3","3","0","0","0","2","4","4","4","2","0","0","-"
"199","Mike Matheson","MTL","D","74","288.06666666667","5","22","11","11","27","71.05","52","9.62","4.02","105","69","36","2","0","5","10","5","5","0","0","3","4","4","2","8","6","0","0","-"
"207","Filip Forsberg","NSH","L","75","270","9","18","10","8","27","69.23","83","10.84","8.08","176","112","73","18","1","16","6","3","3","0","0","1","13","3","7","11","0","0","2","0.00"
"214","Shayne Gostisbehere","DET","D","74","253.78333333333","2","25","8","17","27","69.23","44","4.55","3.44","96","65","27","3","0","9","4","2","2","0","0","1","7","3","2","1","6","0","0","-"
"452","Clayton Keller","ARI","R","70","232.98333333333","9","18","10","8","27","81.82","53","16.98","5.99","93","76","36","3","1","11","4","2","2","0","0","0","6","2","1","9","1","7","2","77.78"
"170","Mika Zibanejad","NYR","C","74","256.21666666667","11","15","7","8","26","52.00","67","16.42","8.94","135","113","48","12","0","7","0","0","0","0","0","0","8","3","0","5","0","22","13","62.86"
"441","Auston Matthews","TOR","C","73","245.66666666667","15","11","5","6","26","60.47","60","25.00","9.73","126","89","75","23","0","12","0","0","0","0","0","1","6","5","3","8","0","45","23","66.18"
"534","Jason Robertson","DAL","L","75","208.55","8","18","3","15","26","72.22","48","16.67","5.78","98","68","55","18","0","9","2","1","1","0","0","1","5","1","3","6","0","0","0","-"
"21","Brad Marchand","BOS","L","76","257.75","7","18","8","10","25","67.57","51","13.73","6.56","100","74","50","14","0","5","4","2","2","0","0","2","21","3","2","15","0","5","7","41.67"
"386","Mathew Barzal","NYI","C","74","227.25","5","20","7","13","25","71.43","39","12.82","3.81","66","50","31","5","0","3","12","6","6","0","0","0","11","1","1","7","2","0","0","-"
"476","Jesper Bratt","N.J","L","75","253.1","6","19","8","11","25","56.82","45","13.33","6.7","83","64","62","18","2","6","6","3","3","0","0","1","5","1","5","6","0","0","1","0.00"
