"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"581","Drake Caggiula","PIT","C","4","26.4","22","26","45.83","18","21","46.15","13","16","44.83","1","2","33.33","0.89","1.51","37.07","9","16","36.00","3","9","25.00","1","2","33.33","6","7","46.15","0","0","-","10","11","47.62","0","0","-","7.69","87.50","0.952","1","6","5","27","16.67","3","9","14","17.65"
"40","Phil Kessel","VGK","C, R","82","930.5","888","1050","45.82","650","759","46.13","466","533","46.65","41","48","46.07","41.3","44.87","47.93","450","511","46.83","190","193","49.61","22","27","44.90","260","318","44.98","13","17","43.33","368","484","43.19","6","3","66.67","8.80","90.99","0.998","158","175","114","774","58.09","276","261","241","53.38"
"296","Tyler Motte","NYR, OTT","C, L","62","635.66666666667","553","654","45.82","404","471","46.17","292","346","45.77","24","22","52.17","29.39","29.52","49.89","281","316","47.07","130","120","52.00","12","10","54.55","151","196","43.52","10","5","66.67","214","281","43.23","1","7","12.50","8.22","93.64","1.019","62","142","90","553","40.79","113","201","219","34.04"
"612","Gavin Bayreuther","CBJ","D","51","747.95","696","823","45.82","489","601","44.86","346","436","44.25","26","46","36.11","32.1","38.85","45.24","335","436","43.45","142","171","45.37","10","27","27.03","193","265","42.14","9","13","40.91","298","340","46.71","7","6","53.85","7.51","89.45","0.970","96","125","100","639","48.98","215","193","206","51.07"
"702","Pius Suter","DET","C","79","967.58333333333","773","915","45.79","567","637","47.09","406","420","49.15","34","39","46.58","37.85","40.74","48.16","388","456","45.97","157","184","46.04","19","19","50.00","231","272","45.92","12","13","48.00","342","391","46.66","2","6","25.00","8.37","90.71","0.991","156","208","151","697","50.81","256","282","325","44.06"
"95","Mike Hoffman","MTL","L","67","874.71666666667","726","861","45.75","520","617","45.73","388","459","45.81","36","45","44.44","33.07","50.26","39.68","347","442","43.98","147","191","43.49","17","28","37.78","200","251","44.35","16","9","64.00","315","359","46.74","3","3","50.00","9.28","90.20","0.995","130","206","111","608","53.94","253","286","249","50.40"
"937","Juraj Slafkovsky","MTL","L","39","426.2","370","439","45.74","257","313","45.09","182","221","45.16","10","22","31.25","13.81","23.3","37.21","168","219","43.41","59","99","37.34","4","13","23.53","109","120","47.60","4","6","40.00","168","186","47.46","2","2","50.00","5.49","90.05","0.955","74","69","58","308","56.06","113","105","126","47.28"
"387","Ivan Barbashev","STL, VGK","C","82","1152.3833333333","1039","1233","45.73","790","925","46.06","580","658","46.85","58","54","51.79","51.56","61.41","45.64","552","644","46.15","219","250","46.70","28","28","50.00","333","394","45.80","22","13","62.86","403","525","43.43","5","12","29.41","10.00","91.79","1.018","151","242","134","857","52.98","304","346","294","50.84"
"803","Nikita Okhotiuk","N.J","D","10","114","91","108","45.73","69","83","45.39","52","57","47.71","6","5","54.55","5.33","4.61","53.63","44","45","49.44","22","21","51.16","4","3","57.14","22","24","47.83","1","1","50.00","59","67","46.83","1","1","50.00","11.54","91.23","1.028","20","18","14","100","58.82","34","28","38","47.22"
"155","Austin Watson","OTT","L","75","603.6","509","605","45.69","373","416","47.28","270","276","49.45","14","24","36.84","21.2","25.38","45.52","231","316","42.23","101","113","47.20","10","9","52.63","130","203","39.04","2","8","20.00","221","242","47.73","2","7","22.22","5.19","91.30","0.965","56","148","157","627","26.29","95","191","280","25.33"
"529","Julien Gauthier","NYR, OTT","R","57","487.83333333333","413","491","45.69","301","351","46.17","212","245","46.39","19","25","43.18","17.95","22.78","44.07","193","246","43.96","81","102","44.26","9","14","39.13","112","144","43.75","6","8","42.86","181","203","47.14","4","3","57.14","8.96","89.80","0.988","54","100","42","490","56.25","119","160","115","50.85"
"846","Matias Maccelli","ARI","L","64","859","734","874","45.65","552","662","45.47","393","474","45.33","43","40","51.81","35.52","40.77","46.56","388","435","47.14","152","173","46.77","21","18","53.85","236","262","47.39","17","16","51.52","308","380","44.77","5","5","50.00","10.94","91.56","1.025","103","226","126","699","44.98","195","285","261","42.76"
"783","Egor Zamula","PHI","D","14","181.35","151","180","45.62","112","121","48.07","84","94","47.19","7","7","50.00","5.97","7.44","44.51","64","92","41.03","25","36","40.98","5","3","62.50","39","56","41.05","2","1","66.67","81","83","49.39","0","2","0.00","8.33","92.55","1.009","17","35","28","152","37.78","50","48","51","49.50"
"416","Sammy Blais","NYR, STL","L","71","776.43333333333","626","747","45.59","443","534","45.34","319","371","46.23","33","25","56.90","24.28","33.56","41.98","288","379","43.18","113","148","43.30","22","16","57.89","175","231","43.10","9","4","69.23","294","330","47.12","2","5","28.57","10.34","93.26","1.036","103","166","88","607","53.93","210","238","186","53.03"
"112","Nick Leddy","STL","D","78","1492.2166666667","1217","1454","45.56","917","1097","45.53","656","784","45.56","73","71","50.69","61.16","70.97","46.29","645","765","45.74","250","292","46.13","30","41","42.25","395","473","45.51","33","18","64.71","511","611","45.54","9","12","42.86","11.13","90.94","1.021","132","361","250","1137","34.55","309","496","489","38.72"
"620","Mario Ferraro","S.J","D","72","1302.1166666667","1154","1379","45.56","820","1008","44.86","591","714","45.29","48","81","37.21","62.59","65.58","48.83","638","736","46.43","262","282","48.16","20","39","33.90","376","454","45.30","15","29","34.09","592","731","44.75","9","12","42.86","8.12","88.66","0.968","116","161","161","966","41.88","375","331","473","44.22"
