"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"127","Byron Froese","VGK","C","9","86.016666666667","9.5574074074074","50.22","46.74","51.80","39.76","32.09","55.34","25.11","23.72","51.43","1.4","1.4","50.00","2.24","1.32","62.94","25.81","18.83","57.81","12.56","6.28","66.67","0.7","0.7","50.00","17.67","16.74","51.35","0.93","0.93","50.00","26.2","38.29","40.63","0","0","-","5.56","94.12","0.997","4.19","14.65","8.37","58.59","33.33","8.37","20.93","15.35","35.29"
"194","Blake Coleman","CGY","C","82","1121.6666666667","13.678861788618","69.75","46.7","59.90","52.21","35.41","59.58","37.6","24.77","60.29","2.57","2.19","53.93","3.4","2.39","58.72","34.56","24.77","58.25","14.71","10.27","58.89","1.55","1.18","56.86","26.46","19.33","57.79","0.93","0.78","54.17","43.66","25.88","62.78","0.39","0.62","38.46","6.83","91.14","0.980","9.47","13.43","8.18","48.46","53.64","21.61","20.17","17.87","54.74"
"865","Seth Jarvis","CAR","C","82","1147.4666666667","13.993495934959","66.56","46.69","58.77","50.15","35.87","58.30","35.19","26.41","57.13","2.98","2.35","55.88","3.35","2.27","59.65","32.37","22.75","58.73","14.95","10.67","58.37","1.78","0.99","64.15","23.22","16.11","59.04","0.77","1.32","36.67","44.56","28.78","60.76","0.83","0.45","64.71","8.47","91.09","0.996","11.61","11.29","5.86","43.98","66.47","21.33","16.37","14.8","59.04"
"249","Teuvo Teravainen","CAR","L","68","867.81666666667","12.762009803922","59.25","46.67","55.94","45.29","35.68","55.94","31.8","25.93","55.09","2.97","2.35","55.84","3.01","2.33","56.34","27.66","23.3","54.27","12.1","11.2","51.93","1.87","1.31","58.70","20.74","16.13","56.25","0.37","1.2","23.53","41.64","27.66","60.09","0.9","0.2","81.82","9.35","90.93","1.003","12.31","11.41","5.95","45.36","67.42","22.54","17.15","15.9","58.63"
"193","Steven Fogarty","MIN","C","2","19.3","9.65","31.09","46.63","40.00","21.76","37.31","36.84","15.54","24.87","38.46","0","0","-","0.96","1.03","48.22","12.44","12.44","50.00","3.11","3.11","50.00","0","0","-","12.44","12.44","50.00","0","0","-","17.96","35.92","33.33","0","0","-","0.00","100.00","1.000","6.22","3.11","12.44","59.07","33.33","9.33","3.11","18.65","33.33"
"827","Philip Broberg","EDM","D","46","529.61666666667","11.513405797101","61.29","46.34","56.95","44.18","33.99","56.52","33.42","25.83","56.41","3.29","2.95","52.73","3.14","2.22","58.60","32.63","23.22","58.42","13.93","9.52","59.42","1.36","1.81","42.86","24.92","18.28","57.69","2.11","1.06","66.67","35.02","29.29","54.45","0.49","0.49","50.00","9.83","88.60","0.984","8.16","10.54","7.48","52.34","52.17","21.19","17.33","16.77","55.82"
"239","Brady Skjei","CAR","D","81","1501.8833333333","18.541769547325","65.72","46.3","58.67","49.62","35.91","58.01","33.52","26.25","56.08","2.68","2.56","51.15","3.13","2.33","57.39","30.8","22.57","57.71","14.3","10.99","56.56","1.72","1.16","59.72","22","15.45","58.75","0.69","1.33","34.21","45.3","28.33","61.52","0.4","0.58","41.18","7.99","90.26","0.982","9.51","11.23","7.15","42.91","57.07","22.21","18.58","17.3","56.22"
"575","Jacob Moverare","L.A","D","2","29.933333333333","14.966666666667","64.14","46.1","58.18","42.09","28.06","60.00","40.09","24.05","62.50","2","4.01","33.33","2.46","1.49","62.35","28.06","16.04","63.64","6.01","6.01","50.00","0","2","0.00","29.4","13.36","68.75","2.67","2.67","50.00","49.22","26.06","65.38","0","0","-","5.00","83.33","0.883","4.01","4.01","6.01","54.12","40.00","20.04","14.03","8.02","71.43"
"137","Chris Tanev","CGY","D","65","1103.0666666667","16.970256410256","67.23","45.96","59.39","49.28","33.83","59.29","34.54","23.93","59.07","2.72","2.61","51.02","3.38","2.05","62.30","34","22.85","59.81","12.89","8.76","59.55","1.36","1.31","51.02","28.14","18.78","59.97","1.16","1.02","53.33","40.46","27.26","59.74","0.63","0.79","44.44","7.87","89.09","0.970","7.13","15.23","9.46","58.53","42.95","20.62","22.63","19.47","51.42"
"704","James Hamblin","EDM","L","10","80.966666666667","8.0966666666667","50.39","45.94","52.31","35.57","35.57","50.00","25.94","26.68","49.30","0.74","2.96","20.00","2.34","2.21","51.40","26.68","22.23","54.55","10.37","11.12","48.28","0","2.96","0.00","21.74","14.82","59.46","0.99","0","100.00","28.9","28.9","50.00","0","0","-","2.86","88.89","0.917","14.08","9.63","6.67","61.51","67.86","20.01","11.86","12.6","61.36"
"824","Sam Poulin","PIT","R","3","26.35","8.7833333333333","61.48","45.54","57.45","43.26","31.88","57.58","34.16","18.22","65.22","0","6.83","0.00","2.21","3.16","41.17","22.77","20.49","52.63","4.55","13.66","25.00","0","2.28","0.00","24.29","9.11","72.73","0","0","-","55.91","16.45","77.27","0","6.58","0.00","0.00","62.50","0.625","9.11","6.83","0","61.48","100.00","13.66","13.66","13.66","50.00"
"59","Mikael Backlund","CGY","C","82","1155.4","14.090243902439","69.9","45.49","60.58","52.4","34.48","60.31","37.86","24.1","61.11","3.27","2.18","60.00","3.47","2.36","59.53","35.57","24.51","59.20","13.87","10.54","56.81","1.51","1.14","56.86","28.94","18.63","60.84","1.52","0.83","64.71","42.83","25.13","63.02","0.75","0.6","55.56","8.64","90.95","0.996","10.07","13.81","9.19","46.63","52.29","22.28","20.98","18.69","54.37"
"298","Tucker Poolman","VAN","D","3","38.35","12.783333333333","62.58","45.37","57.97","39.11","29.73","56.82","28.16","23.47","54.55","1.56","1.56","50.00","1.93","2.76","41.21","21.9","23.47","48.28","7.82","12.52","38.46","1.56","1.56","50.00","18.77","14.6","56.25","0","0","-","51.98","27.12","65.71","0","0","-","5.56","93.33","0.989","9.39","9.39","14.08","64.15","40.00","26.6","14.08","20.34","56.67"
