"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"893","Alexander Barabanov","S.J","L","68","1039.3833333333","12","22","14","8","34","64.15","93","12.90","13.53","175","133","132","74","5","17","16","8","8","0","0","9","32","28","36","91","7","1","2","33.33"
"926","Wyatt Johnston","DAL","C","82","1109.25","21","13","9","4","34","59.65","133","15.79","16.06","242","177","166","87","8","26","18","9","9","0","0","4","45","46","20","69","25","135","184","42.32"
"113","Chris Kreider","NYR","L","79","1051.35","24","9","6","3","33","60.00","149","16.11","18.62","246","208","161","99","11","24","16","8","8","0","0","8","27","23","119","53","12","34","38","47.22"
"403","Viktor Arvidsson","L.A","L, R","77","1138.85","15","18","15","3","33","64.71","182","8.24","17.11","348","256","188","54","11","19","24","12","12","0","0","23","29","19","24","162","6","22","31","41.51"
"528","Charlie McAvoy","BOS","D","67","1176.6","5","28","16","12","33","45.83","87","5.75","5.14","179","116","70","16","5","8","44","20","20","0","0","12","37","22","77","125","95","0","0","-"
"679","Drake Batherson","OTT","R","82","1204.7333333333","8","25","17","8","33","66.00","181","4.42","18.45","323","262","187","76","17","24","29","13","12","1","0","17","28","35","110","88","28","13","23","36.11"
"865","Seth Jarvis","CAR","C","82","1147.4666666667","13","20","11","9","33","57.89","154","8.44","19.03","259","211","171","104","12","24","6","3","3","0","0","14","27","35","69","161","40","9","15","37.50"
"38","Jordan Staal","CAR","C","81","1105.5833333333","16","16","6","10","32","64.00","114","14.04","14.2","183","154","138","79","5","15","26","13","13","0","0","9","28","26","151","90","28","655","511","56.17"
"103","Victor Hedman","T.B","D","76","1465.4833333333","7","25","15","10","32","41.03","153","4.58","7.12","322","231","90","11","10","24","40","16","15","0","1","12","65","37","86","99","17","0","0","-"
"156","Jaden Schwartz","SEA","C","71","1054","15","17","10","7","32","71.11","132","11.36","14.96","232","169","134","54","11","16","20","10","10","0","0","7","27","44","53","82","22","28","39","41.79"
"210","Adam Larsson","SEA","D","82","1692.1166666667","7","25","12","13","32","32.32","137","5.11","6.28","291","201","70","18","5","17","43","20","19","1","0","6","29","31","203","101","129","0","0","-"
