"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"807","J.J. Moser","ARI","D","82","235.83333333333","2.8760162601626","10.94","127.21","7.92","9.92","96.93","9.29","8.65","68.69","11.18","0.25","9.41","2.63","0.55","10.13","5.13","5.09","76.58","6.23","2.04","30.28","6.30","0","4.58","0.00","4.07","61.74","6.19","0.34","4.07","7.69","3.31","76.81","4.13","0","2.57","0.00","2.94","86.30","0.892","0.25","3.82","43.51","33.33","0.58","1.02","6.87","62.59","1.60"
"291","Josh Brown","ARI","D","68","189.36666666667","2.7848039215686","9.82","127.06","7.18","8.55","99.49","7.92","7.29","70.02","9.43","0","9.51","0.00","0.56","10.02","5.28","4.12","76.36","5.12","2.22","30.1","6.86","0","5.07","0.00","2.53","61.68","3.95","0","3.8","0.00","4.12","79.18","4.95","0","2.29","0.00","0.00","86.43","0.864","0.63","5.7","46.58","28.83","1.34","1.9","7.92","70.34","2.63"
"666","Jonathan Gruden","PIT","C","3","1.4166666666667","0.47222222222222","0","127.06","0.00","0","84.71","0.00","0","42.35","0.00","0","42.35","0.00","0","10.15","0.00","0","127.06","0.00","0","42.35","0.00","0","0","-","0","112.94","0.00","0","56.47","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","42.35","42.35","0.00","0","0","42.35","0.00"
"557","Tanner Jeannot","NSH, T.B","L","76","148.91666666667","1.9594298245614","10.07","126.92","7.35","9.27","95.49","8.85","6.85","67.29","9.24","0.4","8.46","4.55","0.66","9.6","6.44","4.83","75.34","6.03","2.01","28.2","6.67","0.4","4.43","8.33","3.76","62.85","5.65","0","4.83","0.00","1.75","86.13","1.99","0","0.58","0.00","5.88","87.43","0.933","0.4","5.64","57.21","24.17","0.70","2.01","6.45","76.55","2.56"
"455","Ivan Provorov","PHI","D","82","221.68333333333","2.7034552845528","14.62","126.13","10.38","13.53","92.84","12.72","10.83","64.96","14.29","1.89","10.01","15.91","0.95","9.58","9.01","7.04","70.91","9.03","2.98","32.48","8.40","1.35","5.41","20.00","5.41","51.24","9.55","0.36","2.53","12.50","3.91","86.4","4.33","0.39","3.91","9.09","17.50","84.58","1.021","0","9.74","41.14","29.23","0.00","0.81","12.72","64.15","1.25"
"82","Adam Henrique","ANA","C","62","155.15","2.5024193548387","11.99","126.07","8.68","10.44","102.09","9.28","9.28","67.29","12.12","0","9.67","0.00","0.38","11.36","3.26","3.48","78.89","4.23","1.93","32.87","5.56","0","3.87","0.00","2.06","61.36","3.25","0","3.61","0.00","2.79","77.65","3.47","0","4.47","0.00","0.00","85.63","0.856","0.39","8.12","53.37","24.36","0.72","0.77","10.44","74.25","1.03"
"816","Mason McTavish","ANA","C","80","3.8166666666667","0.047708333333333","31.44","125.76","20.00","31.44","94.32","25.00","31.44","62.88","33.33","0","15.72","0.00","0.05","7.16","0.69","0","62.88","0.00","0","15.72","0.00","0","0","-","0","62.88","0.00","0","20.96","0.00","0","90.83","0.00","0","0","-","0.00","75.00","0.750","0","0","94.32","125.76","0.00","0","0","94.32","0.00"
"276","Jayson Megna","ANA, COL","C","55","51.933333333333","0.94424242424242","10.4","124.78","7.69","9.24","101.67","8.33","5.78","70.47","7.58","0","9.24","0.00","0.24","10.19","2.31","3.47","75.1","4.41","0","24.26","0.00","0","2.31","0.00","4.62","67.78","6.38","0","4.62","0.00","3.34","76.77","4.17","0","5.01","0.00","0.00","86.89","0.869","3.47","2.31","27.73","63.54","11.11","3.47","4.62","32.35","9.68"
"140","Patrik Nemeth","ARI","D","75","244.93333333333","3.2657777777778","8.57","124.44","6.45","7.35","97.25","7.03","6.12","67.12","8.36","0.49","8.08","5.71","0.47","10.19","4.41","2.94","77.16","3.67","1.96","31.36","5.88","0","3.43","0.00","1.31","61.08","2.09","0.65","3.59","15.38","3.54","72.18","4.67","0","2.83","0.00","8.00","87.96","0.960","0.24","4.41","45.81","31.36","0.53","0.98","7.59","66.63","1.45"
"200","Ryan Nugent-Hopkins","EDM","C","82","153.4","1.8707317073171","13.3","124.38","9.66","10.95","94.26","10.41","9.78","69.23","12.38","1.56","7.82","16.67","0.98","9.96","8.97","7.04","72.75","8.82","4.69","27.38","14.63","1.17","4.3","21.43","3.13","60.5","4.92","0.52","2.61","16.67","4.52","83.05","5.16","0","2.26","0.00","16.00","88.70","1.047","1.56","7.04","52.02","30.12","2.92","1.56","10.95","68.06","2.25"
