"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"219","Barclay Goodrow","NYR","C","82","147.73333333333","1.8016260162602","0","0.41","0.41","0","0.41","33.33","2.84","0.00","0.35","4.87","4.06","2.03","1.62","1.22","0","0","0","0","0","0","0.41","0.41","2.03","0.81","0","3.66","15.43","21.12","17.15"
"220","Brad Hunt","COL","D","47","1.6333333333333","0.034751773049645","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"221","Torey Krug","STL","D","63","3.5833333333333","0.056878306878307","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"222","Luke Glendening","DAL","C","70","158.76666666667","2.2680952380952","0.76","0","0","0","0.76","66.67","3.78","20.00","0.27","4.91","4.53","1.89","0.76","0","0","0","0","0","0","0","0.76","0.38","1.13","1.89","1.51","6.42","34.01","28.34","20.61"
"223","Yanni Gourde","SEA","C","81","167.55","2.0685185185185","0.36","0","0","0","0.36","33.33","2.86","12.50","0.57","5.37","3.94","3.58","1.79","0.72","0.36","1.79","0.36","0","0.36","0","1.43","0","4.3","3.22","1.43","2.15","11.1","14.32","15.64"
"224","Ryan Murray","EDM","D","13","9.6666666666667","0.74358974358974","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.21","0","0","-"
"225","Morgan Rielly","TOR","D","65","62.016666666667","0.95410256410256","0","0","0","0","0","-","4.84","0.00","0.15","4.84","4.84","0.97","0.97","0","0","1.93","0.97","0.97","0","0","1.93","4.84","0","2.9","0","9.67","0","0","-"
"226","Hampus Lindholm","BOS","D","80","181.56666666667","2.2695833333333","0","0","0","0","0","0.00","3.97","0.00","0.3","4.63","4.3","2.31","0.66","1.32","0.66","1.98","0.99","0.99","0","0","0.33","1.32","1.65","1.98","0.66","5.29","0","0","-"
"227","Matt Dumba","MIN","D","79","143.5","1.8164556962025","0","0","0","0","0","0.00","0.84","0.00","0","0.84","0.84","0","0","0","0","0","0","0","0","0","0.84","0.84","0.84","2.51","0","8.36","0","0","-"
"228","Phillip Di Giuseppe","VAN","L","30","28.233333333333","0.94111111111111","0","2.13","2.13","0","2.13","100.00","2.13","0.00","0.57","4.25","4.25","4.25","2.13","2.13","0","0","0","0","0","0","0","0","2.13","2.13","0","0","0","4.25","0.00"
"229","Brendan Gaunce","CBJ","C","5","0.43333333333333","0.086666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.46","0.00"
"230","Brady Skjei","CAR","D","81","187.5","2.3148148148148","0.32","0","0","0","0.32","20.00","0.96","33.33","0.03","1.92","1.6","0.32","0","0.64","0","0.64","0.32","0.32","0","0","0.64","0.96","3.84","1.6","0.96","1.6","0","0","-"
"231","Tanner Pearson","VAN","L","14","7.2333333333333","0.51666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","16.59","8.29","8.29","0","0","0","0","0","0","0","8.29","0","8.29","0.00"
"232","Scott Laughton","PHI","C","78","170.01666666667","2.1797008547009","1.06","1.41","1.41","0","2.47","100.00","5.29","20.00","0.74","6.71","6","3.88","1.76","1.41","0.35","0.71","0.35","0.35","0","0","0","2.12","3.88","0.71","1.06","4.23","33.88","39.53","16.29"
"233","Mark Jankowski","NSH","C","50","92.233333333333","1.8446666666667","1.95","0","0","0","1.95","100.00","3.25","60.00","0.56","5.2","4.55","3.9","1.95","0.65","0","0","0","0","0","0","0.65","0","1.95","1.3","0","3.25","17.56","24.07","27.44"
"234","Olli Maatta","DET","D","78","126.06666666667","1.6162393162393","0","0","0","0","0","0.00","0.48","0.00","0","0.48","0.48","0","0","0.48","0","0","0","0","0","0","0","0.95","0","4.76","0.48","10.47","0","0","-"
"236","Zemgus Girgensons","BUF","L","80","116.7","1.45875","0","0","0","0","0","-","4.11","0.00","0.44","6.68","5.66","1.54","0.51","0.51","0","0","0","0","0","0","0","0","1.03","2.06","0.51","4.11","17.48","18.51","24.97"
"237","Cody Ceci","EDM","D","80","233.73333333333","2.9216666666667","0","0","0","0","0","0.00","1.28","0.00","0.02","1.54","1.54","0.26","0","0.51","0","0","0","0","0","0","0.26","1.54","1.03","4.11","2.05","4.62","0","0","-"
"238","Tom Wilson","WSH","R","33","55.933333333333","1.6949494949495","0","0","0","0","0","-","3.22","0.00","0.21","3.22","3.22","1.07","1.07","0","0","2.15","1.07","1.07","0","0","3.22","1.07","3.22","3.22","1.07","8.58","1.07","4.29","21.45"
"239","Tomas Hertl","S.J","C","79","17.583333333333","0.22257383966245","0","0","0","0","0","-","3.41","0.00","0.53","3.41","3.41","3.41","3.41","0","0","0","0","0","0","0","0","0","6.82","0","0","0","30.71","47.77","133.53"
"240","Teuvo Teravainen","CAR","L","68","121.13333333333","1.7813725490196","0.99","0.5","0.5","0","1.49","75.00","6.44","15.38","0.77","10.9","8.92","6.93","2.48","0","0.5","0.99","0.5","0.5","0","0","0","0.99","1.49","0.5","0.5","0.5","1.49","0.5","37.15"
"241","Derrick Pouliot","S.J","D","8","0.56666666666667","0.070833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"242","Jacob Trouba","NYR","D","82","168.71666666667","2.0575203252033","0.36","0.36","0.36","0","0.71","40.00","1.78","20.00","0.13","2.13","2.13","0.71","0.36","0.71","0","0.71","0.36","0.36","0","0","0.36","1.07","0.71","5.69","0.71","8.54","0","0.36","0.00"
"243","Filip Forsberg","NSH","L","50","2.1666666666667","0.043333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"244","Radek Faksa","DAL","C","81","151.05","1.8648148148148","0.4","0.4","0.4","0","0.79","66.67","2.38","16.67","0.19","2.78","2.38","1.19","1.19","0.4","0.4","0","0","0","0","0","0.4","0.79","1.99","1.59","1.59","3.97","24.23","21.85","20.89"
"245","Matt Grzelcyk","BOS","D","75","13.95","0.186","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"247","Oskar Sundqvist","DET, MIN","C","67","51.166666666667","0.7636815920398","0","0","0","0","0","0.00","2.35","0.00","0.06","4.69","3.52","0","0","1.17","0","0","0","0","0","0","1.17","1.17","3.52","3.52","0","1.17","0","3.52","0.00"
"249","Chandler Stephenson","VGK","C","81","114.05","1.408024691358","0.53","1.05","1.05","0","1.58","60.00","2.63","20.00","0.53","4.21","4.21","3.16","3.16","0.53","0.53","0","0","0","0","0","0","1.05","5.79","3.16","0.53","2.1","21.04","24.2","24.47"
"250","Shayne Gostisbehere","ARI, CAR","D","75","44.75","0.59666666666667","2.68","0","0","0","2.68","100.00","4.02","66.67","0.31","4.02","4.02","2.68","0","0","0","0","0","0","0","0","0","1.34","2.68","5.36","0","9.39","0","0","-"
"251","Devin Shore","EDM","C","47","13.633333333333","0.29007092198582","0","0","0","0","0","-","4.4","0.00","0.37","4.4","4.4","4.4","0","0","0","0","0","0","0","0","0","0","4.4","4.4","0","4.4","13.2","8.8","264.06"
"252","Jujhar Khaira","CHI","L","51","83.183333333333","1.631045751634","0.72","0","0","0","0.72","100.00","2.16","33.33","0.38","5.05","3.61","2.89","1.44","1.44","0","0","0","0","0","0","0","0","3.61","2.89","0","7.21","12.98","18.03","30.19"
"254","Jimmy Vesey","NYR","L","81","120.85","1.491975308642","0.5","0","0","0","0.5","100.00","5.46","9.09","0.65","8.44","7.94","5.46","2.48","0.99","0","0.99","0.5","0.5","0","0","0.5","0","5.46","0","1.49","1.49","0.5","1.49","12.41"
"255","Chris Tierney","FLA, MTL","C","36","43.533333333333","1.2092592592593","0","1.38","1.38","0","1.38","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.38","0","4.13","26.19","28.94","65.47"
"256","Jordan Martinook","CAR","L","82","165.01666666667","2.0123983739837","0.36","0.36","0.36","0","0.73","66.67","3.64","10.00","0.78","5.09","4.73","4","1.82","1.82","0","0","0","0","0","0","0","0.73","2.55","1.09","0.73","2.55","1.82","3.27","12.99"
"257","Damon Severson","N.J","D","81","83.55","1.0314814814815","0.72","0","0","0","0.72","33.33","2.15","33.33","0.17","2.15","2.15","1.44","0.72","0.72","0.72","0","0","0","0","0","0.72","0.72","2.15","0","0","0","0","0","-"
"258","Colton Sissons","NSH","C","82","233.26666666667","2.8447154471545","0.26","0","0","0","0.26","100.00","2.31","11.11","0.23","4.37","3.6","2.83","0.51","0.26","0.51","0.51","0.26","0.26","0","0","0.77","0.77","2.57","2.06","0.51","2.06","40.13","46.04","11.98"
"259","Teddy Blueger","PIT, VGK","C","63","131.23333333333","2.0830687830688","0","0.46","0.46","0","0.46","100.00","4.11","0.00","0.45","4.57","4.11","3.2","2.74","0.46","0.91","0","0","0","0","0","0","0.46","2.74","0.46","0.46","4.57","28.35","35.66","20.25"
"260","Jake McCabe","CHI, TOR","D","76","150.03333333333","1.9741228070175","0","0","0","0","0","0.00","2.8","0.00","0.07","2.8","2.8","0.4","0.4","0.4","0.4","0.8","0.4","0.4","0","0","1.2","1.2","2","6","0.8","8.4","0","0","-"
"261","Brock McGinn","ANA, PIT","L","75","172.05","2.294","0.7","0","0","0","0.7","50.00","5.93","11.76","0.42","8.02","7.67","4.18","1.39","1.39","0","1.39","0.7","0.7","0","0","2.09","1.05","1.74","1.05","1.74","4.18","0","2.09","0.00"
"262","Charles Hudon","COL","L","9","0.13333333333333","0.014814814814815","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"263","Jaccob Slavin","CAR","D","76","205.7","2.7065789473684","0","0.29","0.29","0","0.29","20.00","1.46","0.00","0.13","2.33","1.75","1.17","0.58","0.88","0.29","0","0","0","0","0","0.29","0.29","4.96","2.63","1.17","4.67","0","0","-"
"264","Andreas Athanasiou","CHI","C","81","4.4","0.054320987654321","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.27","0","0","0","13.64","0","1363.64"
"265","Brett Kulak","EDM","D","82","142.61666666667","1.7392276422764","0","1.26","1.26","0","1.26","37.50","1.26","0.00","0.02","1.26","1.26","0.42","0","0.42","0","0","0","0","0","0","0","1.26","0.42","3.37","1.26","7.57","0","0","-"
"266","Erik Gustafsson","TOR, WSH","D","70","11.45","0.16357142857143","0","0","0","0","0","-","5.24","0.00","0","10.48","5.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.24","0","0","-"
"267","Josh Anderson","MTL","R","69","88.75","1.286231884058","0.68","0","0","0","0.68","100.00","5.41","12.50","0.85","10.14","9.46","6.76","4.73","2.03","0","0","0","0","0","0","0.68","2.03","6.76","2.03","0.68","4.73","0","2.03","0.00"
"268","Matthew Benning","S.J","D","77","217.05","2.8188311688312","0","0.28","0.28","0","0.28","50.00","0.83","0.00","0","1.11","0.83","0","0","0","0","1.11","0.55","0.55","0","0","0.55","1.66","1.38","3.04","1.38","2.76","0","0","-"
"269","Vinnie Hinostroza","BUF","C","26","7.0333333333333","0.27051282051282","0","8.53","8.53","0","8.53","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.53","0","8.53","0","0","0","-"
"270","Connor Brown","WSH","R","4","8.2333333333333","2.0583333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"271","Ben Hutton","VGK","D","31","5.1666666666667","0.16666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.23","0","0","-"
"272","Alexander Kerfoot","TOR","C","82","131.75","1.6067073170732","0.46","0.46","0.46","0","0.91","66.67","3.64","12.50","0.65","5.46","5.46","3.19","2.73","0.46","0.46","0","0","0","0","0","0.91","1.82","2.73","0.46","3.64","2.73","3.19","5.92","15.94"
"273","Jaycob Megna","S.J, SEA","D","54","93.416666666667","1.7299382716049","0","0.64","0.64","0","0.64","100.00","1.28","0.00","0","1.28","1.28","0","0","0","0","1.28","0.64","0.64","0","0","0.64","0.64","1.28","4.5","0.64","1.28","0","0","-"
"274","Liam O'Brien","ARI","C","56","52.966666666667","0.94583333333333","0","0","0","0","0","0.00","3.4","0.00","0.24","3.4","3.4","2.27","1.13","0","0","11.33","1.13","0","0","1.13","1.13","1.13","1.13","4.53","2.27","2.27","0","0","-"
"275","Kurtis MacDermid","COL","D","44","11.016666666667","0.25037878787879","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","5.45","0","0","0","0","0","0","-"
"276","Jayson Megna","ANA, COL","C","55","51.933333333333","0.94424242424242","0","0","0","0","0","-","3.47","0.00","0.23","4.62","4.62","3.47","0","0","0","0","0","0","0","0","0","0","1.16","0","0","3.47","12.71","17.33","48.88"
"277","Buddy Robinson","CHI","R","9","3.1333333333333","0.34814814814815","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"278","Nate Schmidt","WPG","D","71","77.416666666667","1.0903755868545","0","0","0","0","0","0.00","3.1","0.00","0.15","3.88","3.88","0.78","0","0.78","0","0","0","0","0","0","0","3.88","0","0.78","1.55","9.3","0","0","-"
