"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"639","Owen Tippett","PHI","R","77","1341.9","27","22","11","11","49","61.25","231","11.69","22.67","414","315","216","89","10","31","16","8","8","0","0","16","25","44","125","107","66","19","11","63.33"
"742","Noah Dobson","NYI","D","78","1589.7166666667","13","36","22","14","49","50.00","206","6.31","11.3","481","309","116","16","12","32","20","10","10","0","0","7","49","39","60","120","96","0","0","-"
"846","Matias Maccelli","ARI","L","64","1003.6166666667","11","38","22","16","49","87.50","61","18.03","7.18","131","85","74","31","5","9","18","9","9","0","0","12","46","23","24","55","18","0","7","0.00"
"116","Tomas Tatar","N.J","L","82","1239.6","20","28","12","16","48","53.33","153","13.07","24.29","276","215","194","99","9","35","30","15","15","0","0","9","35","35","65","86","2","17","26","39.53"
"141","Jason Zucker","PIT","L","78","1221.1666666667","27","21","9","12","48","69.57","197","13.71","26.03","338","283","220","131","6","26","47","17","15","1","1","24","39","35","197","115","27","4","11","26.67"
"153","Cam Fowler","ANA","D","82","1982.2166666667","10","38","21","17","48","51.06","130","7.69","7.57","294","181","99","19","2","15","14","7","7","0","0","4","48","34","18","72","92","0","0","-"
"231","Yanni Gourde","SEA","C","81","1387.8833333333","14","34","17","17","48","64.00","141","9.93","18.12","244","200","142","77","9","23","76","27","22","4","1","31","27","65","118","103","49","483","489","49.69"
"343","Valeri Nichushkin","COL","R","53","1074.3666666667","17","30","15","15","47","58.02","158","10.76","19.21","257","210","168","82","9","23","2","1","1","0","0","11","26","31","54","62","32","0","4","0.00"
"893","Alexander Barabanov","S.J","L","68","1227.6166666667","15","32","21","11","47","58.75","120","12.50","17.69","217","168","164","92","5","24","20","10","10","0","0","9","35","28","40","96","7","1","2","33.33"
"96","Marcus Johansson","MIN, WSH","L","80","1319.2","19","27","17","10","46","57.50","137","13.87","14.51","233","176","152","70","5","23","8","4","4","0","0","16","31","31","26","105","19","23","29","44.23"
"169","Bryan Rust","PIT","R","81","1449.8666666667","20","26","15","11","46","58.97","211","9.48","28.09","364","301","248","139","9","48","31","14","13","1","0","16","58","37","98","101","45","5","5","50.00"
"472","Daniel Sprong","SEA","R","66","753.65","21","25","19","6","46","80.70","147","14.29","12.38","280","211","115","34","3","18","14","7","7","0","0","6","21","21","33","42","13","2","3","40.00"
"500","Conor Garland","VAN","R","81","1224.2166666667","17","29","13","16","46","71.88","167","10.18","17.5","280","234","167","58","10","20","31","10","8","1","1","28","37","46","47","93","16","3","11","21.43"
"645","Morgan Frost","PHI","C","81","1323.7833333333","19","27","14","13","46","68.66","155","12.26","17.88","277","206","180","91","5","37","24","12","12","0","0","15","26","37","85","60","45","436","515","45.85"
"144","Charlie Coyle","BOS","C","82","1392.8833333333","16","29","16","13","45","71.43","140","11.43","14.89","241","191","164","83","10","20","30","15","15","0","0","24","42","59","68","68","58","536","483","52.60"
"200","Boone Jenner","CBJ","C","68","1374.1","26","19","11","8","45","56.96","214","12.15","30.64","386","316","241","147","16","31","51","20","18","1","1","23","25","28","129","70","65","758","628","54.69"
"292","Dominik Kubalik","DET","L","81","1208","20","25","17","8","45","63.38","174","11.49","20.87","315","244","173","64","11","21","24","12","12","0","0","19","19","12","89","45","24","17","18","48.57"
"310","Oliver Bjorkstrand","SEA","R","81","1265.5","20","25","12","13","45","62.50","198","10.10","23.89","358","299","211","75","5","25","16","8","8","0","0","12","20","56","63","101","29","18","41","30.51"
"387","Ivan Barbashev","STL, VGK","C","82","1374","16","29","16","13","45","56.96","126","12.70","17.4","218","177","169","89","8","13","42","17","15","2","0","24","40","49","182","114","41","55","89","38.19"
"476","Lawson Crouse","ARI","L","77","1367.25","24","21","13","8","45","64.29","151","15.89","17.49","259","206","179","70","8","22","35","16","15","1","0","10","32","32","194","60","52","33","49","40.24"
"540","Dillon Dube","CGY","C","82","1243.2","18","27","14","13","45","69.23","151","11.92","18.16","267","207","183","78","10","20","47","18","16","1","1","19","28","24","136","142","20","45","55","45.00"
