"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"529","Julien Gauthier","NYR, OTT","R","57","487.83333333333","8.5584795321637","1.11","0.61","0.37","0.25","1.72","73.68","6.52","16.98","0.63","11.44","8.98","7.13","3.2","0.74","0.98","0.74","0.37","0.37","0","0","1.72","1.23","1.6","12.91","5.29","1.48","0.37","0.61","4.61"
"554","Dante Fabbro","NSH","D","79","1214.2333333333","15.370042194093","0.1","0.4","0.15","0.25","0.49","25.64","4.74","2.08","0.21","9.64","6.18","2.52","0.4","0.2","0.99","2.37","1.19","1.19","0","0","0.4","1.68","0.89","5.09","8.01","4.45","0","0","-"
"605","Mathieu Olivier","CBJ","R","66","729.26666666667","11.049494949495","0.41","0.82","0.58","0.25","1.23","62.50","6.01","6.85","0.74","11.19","8.72","6.66","4.36","0.41","1.48","6.66","2.22","1.48","0.74","0","1.4","0.66","1.32","14.56","5.02","4.03","0.08","0.82","0.75"
"652","Martin Necas","CAR","C","82","1220.0666666667","14.878861788618","0.93","1.23","0.98","0.25","2.16","61.11","9.39","9.95","0.9","16.43","13.23","9.84","3.79","0.49","1.13","1.38","0.69","0.69","0","0","1.13","2.36","1.97","2.7","4.92","0.93","7.48","9.39","2.18"
"695","Sean Walker","L.A","D","70","955.4","13.648571428571","0.19","0.57","0.31","0.25","0.75","27.91","5.78","3.26","0.27","11.3","7.91","3.2","0.69","0.19","0.75","2.26","1.13","1.13","0","0","0.44","1.95","0.75","4.21","7.16","0.94","0","0","-"
"855","Cole Smith","NSH","L","69","732.78333333333","10.620048309179","0.33","0.9","0.66","0.25","1.23","68.18","4.34","7.55","0.69","8.27","6.71","6.06","3.36","0.25","0.66","4.75","1.64","1.15","0.49","0","1.64","1.15","1.72","15.56","9.17","1.39","0","0.08","0.00"
"863","Jake Neighbours","STL","L","43","485.16666666667","11.282945736434","0.62","0.37","0.12","0.25","0.99","53.33","6.06","10.20","0.56","9.65","7.79","6.18","2.97","0.49","0.62","2.97","1.11","0.87","0.25","0","0.99","0.37","1.61","7.67","7.79","2.6","0.49","1.24","3.53"
"124","Casey Cizikas","NYI","C","81","1015.7166666667","12.539711934156","0.35","0.77","0.53","0.24","1.12","57.58","6.03","5.88","0.65","10.46","8.21","6.38","3.6","0.3","1.06","3.19","1.18","1","0.12","0.06","1.06","1.42","1.54","10.75","5.61","2.07","25.7","20.03","3.32"
"171","Sam Carrick","ANA","C","52","500.58333333333","9.6266025641026","0.36","0.48","0.24","0.24","0.84","50.00","5.75","6.25","0.43","9.59","7.91","4.31","2.52","0.24","1.08","10.31","2.76","1.56","0.96","0.24","2.52","0.84","1.44","11.51","6.95","2.64","18.58","18.94","5.94"
"292","Dominik Kubalik","DET","L","81","1006.4833333333","12.425720164609","0.77","0.89","0.66","0.24","1.67","58.33","7.21","10.74","0.86","13.11","10.19","7.81","3.46","0.6","1.13","1.19","0.6","0.6","0","0","1.01","0.89","0.66","5.13","2.56","1.43","0.72","0.72","2.98"
"393","Ryan Donato","SEA","C","71","754.28333333333","10.623708920188","1.11","0.88","0.64","0.24","1.99","59.52","9.39","11.86","0.89","15.51","11.77","8.99","4.3","0.48","1.19","3.66","1.27","1.03","0.16","0.08","1.27","1.19","2.78","5.41","6.68","0.64","4.77","6.36","3.41"
"464","Caleb Jones","CHI","D","73","1246.5833333333","17.076484018265","0.14","0.43","0.19","0.24","0.58","24.49","3.66","3.95","0.25","8.13","5.39","2.84","0.63","0.29","0.82","1.73","0.87","0.87","0","0","0.34","2.17","1.35","5.39","4.57","4.62","0","0","-"
"494","Kevin Stenlund","WPG","C","54","501.53333333333","9.2876543209877","0.48","0.36","0.12","0.24","0.84","46.67","6.58","7.27","0.8","12.32","9.69","5.98","3.23","0.48","0.84","2.15","0.84","0.84","0","0","0.6","0.96","2.15","3.47","6.1","1.79","25.12","18.54","6.88"
"559","Givani Smith","DET, FLA","R","36","250.26666666667","6.9518518518519","0.24","0.72","0.48","0.24","0.96","57.14","6.71","3.57","0.62","13.91","9.83","5.99","3.84","0.24","0.96","17.26","4.56","2.64","1.44","0.48","3.12","1.44","1.44","16.06","7.67","1.92","0","0","-"
"710","Martin Fehervary","WSH","D","67","1226.3","18.302985074627","0.29","0.49","0.24","0.24","0.78","32.00","4.31","6.82","0.32","8.95","5.87","3.33","1.17","0.24","0.73","1.42","0.64","0.59","0.05","0","0.68","1.57","0.59","10.47","7.44","4.26","0","0","-"
"913","Kent Johnson","CBJ","C","79","1005.6833333333","12.730168776371","0.66","1.01","0.78","0.24","1.67","62.22","6.32","10.38","0.57","10.92","8.29","6.15","2.74","0.18","0.84","0.84","0.42","0.42","0","0","0.6","1.85","1.55","0.78","3.88","1.55","2.27","5.49","1.74"
"921","Cole Sillinger","CBJ","C","64","750.45","11.72578125","0.08","0.56","0.32","0.24","0.64","36.36","6.48","1.23","0.77","12.95","9.83","7.92","3.28","0.16","1.6","1.6","0.8","0.8","0","0","0.24","1.2","1.2","8.16","5.36","2.48","23.03","28.46","3.58"
"6","Corey Perry","T.B","R","81","791.61666666667","9.7730452674897","0.45","0.53","0.3","0.23","0.99","48.15","6.67","6.82","0.81","11.75","9.78","7.73","4.55","0.45","0.76","6.59","1.67","0.83","0.68","0.15","1.82","1.74","2.12","3.49","5.38","0.3","0","0","-"
"96","Marcus Johansson","MIN, WSH","L","80","1036.6","12.9575","0.69","0.81","0.58","0.23","1.5","50.98","6.02","11.54","0.51","10.48","7.76","6.37","2.49","0.17","0.93","0.46","0.23","0.23","0","0","0.81","1.45","1.39","1.1","5.21","1.04","1.1","1.27","2.68"
"97","Kyle Palmieri","NYI","C","55","797.36666666667","14.497575757576","0.98","1.13","0.9","0.23","2.11","56.00","6.62","14.77","0.8","13.47","10.23","9.78","4.67","0.45","1.28","1.5","0.75","0.75","0","0","1.28","1.43","0.9","5.27","4.59","0.98","0.6","1.13","2.62"
"170","Jani Hakanpää","DAL","D","82","1310.4666666667","15.981300813008","0.27","0.46","0.23","0.23","0.73","24.62","3.57","7.69","0.19","9.16","5.54","2.29","0.5","0.18","0.55","2.56","1.14","1.05","0.09","0","0.69","1.92","0.55","8.88","8.06","3.57","0","0","-"
"242","Mark Jankowski","NSH","C","50","526.13333333333","10.522666666667","0.46","0.57","0.34","0.23","1.03","69.23","5.93","7.69","0.59","11.18","8.44","7.18","3.54","0.34","0.68","2.05","0.91","0.91","0","0","0.57","1.37","1.37","4.9","4.79","2.85","18.47","13","6.69"
"398","Jake Walman","DET","D","63","1054.6833333333","16.741005291005","0.51","0.4","0.17","0.23","0.91","32.00","6.88","7.44","0.33","12.91","9.05","3.75","0.46","0.4","0.51","2.45","1.08","1.02","0.06","0","0.85","1.88","1.59","2.39","2.28","5.46","0","0","-"
