"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"154","Taylor Hall","BOS","L","61","137.11666666667","2.2478142076503","1.75","1.75","0","1.75","3.5","50.00","11.38","15.38","1.89","18.82","14.88","14.44","7.44","0.44","0.88","0.88","0.44","0.44","0","0","0","2.19","0","1.75","6.13","0","0.44","0.44","21.88"
"546","Ross Colton","T.B","C","81","102.75","1.2685185185185","2.34","2.92","1.17","1.75","5.26","75.00","15.18","15.38","1.63","22.77","18.1","14.01","2.92","0","1.75","0","0","0","0","0","0","0","1.17","2.92","2.34","0","5.26","4.09","32.85"
"613","Cale Makar","COL","D","60","241.18333333333","4.0197222222222","1.24","6.22","4.48","1.74","7.46","75.00","9.95","12.50","0.95","23.14","15.67","7.96","0.5","0","1.99","1","0.5","0.5","0","0","0","1.74","0.75","1","1.24","0.75","0","0","-"
"601","Max Comtois","ANA","L","64","69.266666666667","1.0822916666667","0","1.73","0","1.73","1.73","28.57","9.53","0.00","1.32","15.59","13.86","7.8","6.93","0","1.73","0","0","0","0","0","0","1.73","0","0.87","2.6","0","0","4.33","0.00"
"214","Jonathan Marchessault","VGK","C, R","76","174.71666666667","2.2989035087719","3.09","2.4","0.69","1.72","5.49","66.67","18.89","16.36","2.22","33.31","25.07","18.54","3.43","0","3.43","0","0","0","0","0","0","1.72","0.34","2.06","2.06","0","0","0.69","0.00"
"385","Viktor Arvidsson","L.A","L, R","77","173.91666666667","2.258658008658","3.45","5.17","3.45","1.72","8.62","69.44","15.18","22.73","2.3","23.11","19.32","12.42","6.9","0","2.07","0","0","0","0","0","0.34","2.07","0","0.34","5.52","0","1.72","3.1","12.32"
"861","Marcus Bjork","CBJ","D","33","69.883333333333","2.1176767676768","0.86","4.29","2.58","1.72","5.15","66.67","6.01","14.29","0.39","7.73","7.73","0.86","0","0","0","1.72","0.86","0.86","0","0","0.86","0","0","0","3.43","3.43","0","0","-"
"366","Jared McCann","SEA","L","79","211","2.6708860759494","1.99","2.56","0.85","1.71","4.55","61.54","15.36","12.96","1.38","28.72","20.19","10.24","1.71","0","2.27","0","0","0","0","0","0","1.71","1.14","0.57","1.71","0","3.13","7.39","8.45"
"434","Brock Boeser","VAN","R","74","212.35","2.8695945945946","1.7","2.83","1.13","1.7","4.52","51.61","13.28","12.77","2.77","23.73","20.34","18.37","12.15","0","2.83","1.13","0.57","0.57","0","0","0","0.85","0","0.28","1.13","0.28","1.98","1.13","17.98"
"19","Anze Kopitar","L.A","C","82","248.86666666667","3.0349593495935","1.69","3.13","1.45","1.69","4.82","52.63","7.47","22.58","1.06","12.54","9.88","7.23","3.13","0","0.72","0","0","0","0","0","0","1.69","0.24","1.21","1.69","0","38.33","25.31","14.52"
"415","Jack Eichel","VGK","C","67","177.53333333333","2.6497512437811","0.68","4.06","2.37","1.69","4.73","77.78","14.19","4.76","1.39","24.33","19.26","8.79","1.35","0","1.35","0","0","0","0","0","0","1.01","0.34","0.34","2.37","1.01","8.11","7.1","18.02"
"101","Brayden Schenn","STL","C","82","214.03333333333","2.610162601626","1.68","2.52","0.84","1.68","4.2","62.50","8.97","18.75","2","22.43","16.26","15.42","7.57","0.28","1.12","0","0","0","0","0","0.28","1.68","0.56","1.12","2.24","0.28","17.38","15.98","14.61"
"146","Kevin Hayes","PHI","C","81","213.93333333333","2.6411522633745","1.68","2.8","1.12","1.68","4.49","72.73","7.85","21.43","0.83","19.91","12.06","5.61","0.84","0.28","1.68","0","0","0","0","0","0","1.4","0.28","0.56","0.84","0","14.58","13.46","14.58"
"801","Dawson Mercer","N.J","C","82","107.25","1.3079268292683","1.12","4.48","2.8","1.68","5.59","58.82","8.95","12.50","1.75","13.99","11.19","12.31","6.15","0","1.68","1.12","0.56","0.56","0","0","0","1.12","0.56","0","3.92","0","2.24","3.36","22.38"
"654","Kiefer Sherwood","NSH","L","32","36.166666666667","1.1302083333333","1.66","1.66","0","1.66","3.32","66.67","8.29","20.00","0.89","14.93","11.61","8.29","1.66","0","0","3.32","1.66","1.66","0","0","0","0","0","0","4.98","0","0","0","-"
"626","Eetu Luostarinen","FLA","C","82","72.583333333333","0.88516260162602","1.65","2.48","0.83","1.65","4.13","71.43","8.27","20.00","1.75","14.05","11.57","11.57","7.44","0","1.65","0","0","0","0","0","0","0.83","0.83","0.83","4.13","0","5.79","5.79","41.33"
"745","Kaapo Kakko","NYR","R","82","73.3","0.89390243902439","0","2.46","0.82","1.64","2.46","42.86","6.55","0.00","0.98","11.46","9.82","7.37","4.09","0","0.82","0","0","0","0","0","0","1.64","0.82","0","3.27","0.82","0","0","-"
"14","David Krejci","BOS","C","70","185.56666666667","2.6509523809524","1.29","2.59","0.97","1.62","3.88","48.00","10.99","11.76","1.26","18.75","12.93","8.41","3.23","0","2.26","0.65","0.32","0.32","0","0","0","1.62","0.32","0.32","2.26","0.65","9.38","8.08","17.36"
"92","Marcus Johansson","MIN, WSH","L","80","222.7","2.78375","1.35","3.5","1.89","1.62","4.85","66.67","7.81","17.24","1.35","11.32","8.89","9.16","6.47","0","1.89","0","0","0","0","0","0.27","1.62","1.08","1.89","3.77","0","0.54","1.62","6.74"
"248","Jujhar Khaira","CHI","L","51","37.016666666667","0.72581699346405","1.62","1.62","0","1.62","3.24","50.00","9.73","16.67","1.8","14.59","11.35","9.73","8.1","0","3.24","3.24","1.62","1.62","0","0","0","1.62","0","0","1.62","0","16.21","14.59","85.31"
"398","Pierre Engvall","NYI, TOR","L","76","74.233333333333","0.97675438596491","0.81","1.62","0","1.62","2.42","60.00","5.66","14.29","0.6","10.51","7.27","6.47","1.62","0","0","0","0","0","0","0","0","2.42","0","1.62","0.81","0","8.89","1.62","68.39"
"363","Nick Schmaltz","ARI","C","63","187.55","2.9769841269841","1.92","1.92","0.32","1.6","3.84","63.16","11.52","16.67","1.77","17.28","15.04","12.16","5.76","0","1.6","0.64","0.32","0.32","0","0","0","2.56","0","0.32","1.92","0","5.76","8.32","13.09"
"328","Valeri Nichushkin","COL","R","53","188.93333333333","3.5647798742138","3.18","1.91","0.32","1.59","5.08","53.33","10.48","30.30","2.41","16.83","14.61","15.56","12.07","0","3.18","0","0","0","0","0","0","0.64","0.64","0.64","1.91","0","0","0.64","0.00"
